"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.002218432,125,1,128,1,58,7200,8,"24850353",798132,0,500,"42035371","64024691",3102164,27364,108456,35152,"22406605","435619702",125,"90.892419","1.869086","0.302651",6.687361,2.879777,160.088437,12.309231,11.519108,24.765675,"76.189287",27.002539,25,"3.305272","84070.742","76.749501",1.444759,3.906922,4.623032,6.25,4481880,106909,499084,219700,11927,1890149,879459,469.979593,11.210708,24.775637,11.527746,2546639,2538766,5456980,3273136,0,0,"1142472000","175776000","131836000","417430000",0,2,1,1,"69341906","21970000","725042000","68757912","27882748","81942432","80259680",185965,2.437586,"0","35.917246","7.615137"
"11",6,0,0.003656809,216,1,128,1,58,7200,8,"39910920",1485824,0,864,"78364568","119211011",5783552,50880,201792,65536,"38897699","832002170",216,"97.461294","2.033891","0.337406",7.646914,3.29893,453.858562,14.030392,13.195721,28.314872,"76.227016",27.006704,25,"3.57436","90699.731481","82.993321",1.444759,3.828675,4.622074,6.25,8355840,194803,928704,409600,55031,3516910,1638431,538.385401,12.551592,28.325294,13.19597,4746297,4732408,10145143,6101760,0,0,"2129975296","327707648","245787648","778240000",0,3,1,1,"129129969","40960000","1351735296","128129536","51981312","152757824","149605568",353832,2.849773,"0","41.693932","8.66723"
"17",7,0,0.005669289,343,1,128,1,58,7200,8,"63158451",2485708,0,1372,"131221257","199522112",9684908,85052,337464,109744,"61889055","1405433852",343,"98.078485","2.121904","0.355101",8.151395,3.52073,545.877337,15.132958,14.082919,30.179799,"76.239096",27.009442,25,"3.756395","95642.315598","87.217449",1.444759,3.805131,4.621428,6.25,13992360,323634,1553225,685900,103854,5880948,2743616,574.583086,13.289725,30.186949,14.083001,7946635,7923862,16970983,10217168,0,0,"3566767808","548763904","411583904","1303210000",0,3,1,1,"216106878","68590000","2263557808","214494824","87043460","255788608","250493504",609232,3.127192,"0","44.119786","9.35573"
"23",8,0,0.008794576,512,1,128,1,58,7200,8,"97452951",3856224,0,2048,"203704144","309679348",15034976,131872,523392,170368,"95020830","2192419244",512,"97.533635","2.14314","0.359768",8.23609,3.560283,542.202988,15.242708,14.241131,30.491188,"76.247281",27.011377,25,"3.799794","99464.914062","88.224738",1.444759,3.78922,4.622368,6.25,21721920,499692,2409844,1064800,158360,9123416,4259213,581.038157,13.366227,30.505204,14.241175,12335304,12300184,26325731,15860608,0,0,"5537091072","851905536","638945536","2023120000",0,3,1,1,"335428356","106480000","3513971072","332912448","135124768","397074624","388836416",948092,3.170056,"0","44.389137","9.534562"
"29",9,0,0.012592,729,1,128,1,58,7200,8,"139112004",5655812,0,2916,"298911935","454369691",22062500,193332,767496,250000,"137867218","3224472996",729,"99.105192","2.164322","0.364802",8.449411,3.654764,556.617374,15.549751,14.619058,31.279266,"76.253864",27.012817,25,"3.843486","102507.522291","89.238819",1.444759,3.776266,4.620635,6.25,31875000,730073,3532845,1562500,232390,13375592,6250019,596.457559,13.661414,31.286168,14.619102,18099473,18048430,38615511,23273328,0,0,"8125186624","1250093312","937593312","2968750000",0,3,1,1,"492124306","156250000","5156436624","488441080","198280812","582655712","570547232",1370230,3.205035,"0","45.630872","9.708542"
"35",10,0,0.017471,1000,1,128,1,58,7200,8,"193214859",7942912,0,4000,"419943336","638242140",30996224,271424,1077696,351232,"191518558","4540916900",1000,"99.122065","2.190228","0.370386",8.542037,3.696601,579.057947,15.7455,14.786403,31.620862,"76.257388",27.013929,25,"3.886585","104985.834","90.238986",1.444759,3.7697,4.620377,6.25,44782080,1023187,4960880,2195200,335810,18781884,8781141,603.285231,13.783942,31.627699,14.786977,25426623,25355656,54229457,32696576,0,0,"11415296000","1756288000","1317248000","4170880000",0,3,1,1,"691293601","219520000","7244416000","686139392","278567168","818571712","801538880",1944679,3.274737,"0","46.156906","9.874625"
"41",11,0,0.023691,1331,1,128,1,58,7200,8,"262628088",10775964,0,5324,"569897053","866155678",42064892,368140,1461912,476656,"260313518","6166718244",1331,"99.118689","2.190557","0.37102",8.709411,3.770469,755.343862,16.031598,15.081876,32.239391,"76.25663",27.014814,25,"3.880523","107043.022727","90.098487",1.444759,3.772353,4.620169,6.25,60773640,1388754,6729682,2979100,582820,25477489,11916418,615.340552,14.061304,32.245337,15.081899,34505596,34408918,73584786,44371600,0,0,"15491660736","2383450368","1787630368","5660290000",0,3,1,1,"938156320","297910000","9831370736","931066056","378039412","1110862464","1087724288",2659309,3.365729,"0","46.083646","9.855648"
"47",12,0,0.03108,1728,1,128,1,58,7200,8,"344697048",14213408,0,6912,"751871792","1142697958",55497248,485472,1928064,628864,"342531617","8139229278",1728,"99.371787","2.196352","0.371502",8.707551,3.770833,920.339107,16.012288,15.083333,32.231644,"76.257965",27.015534,25,"3.890674","108777.747685","90.333886",1.444759,3.770191,4.620902,6.25,80180160,1830322,8877456,3930400,936801,33602392,15721618,615.399983,14.048115,32.238199,15.08335,45522165,45395272,97086535,58539648,0,0,"20438522368","3144541184","2358461184","7467760000",0,3,1,1,"1237686588","393040000","12970762368","1228279744","498753120","1465567808","1435016384",3544431,3.400534,"0","46.323564","9.895556"
"53",13,0,0.039917,2197,1,128,1,58,7200,8,"442206933",18313684,0,8788,"968966259","1472597014",71522036,625412,2484072,810448,"440333108","10494134996",2197,"99.576256","2.201495","0.372542",8.736291,3.784253,1.02955,16.075108,15.137013,32.337312,"76.259165",27.016132,25,"3.900295","110260.156919","90.557177",1.444759,3.768193,4.619859,6.25,103332120,2356673,11435462,5065300,1378074,43294809,20261217,617.590148,14.085243,32.345276,15.137026,58665296,58501774,125102282,75441968,0,0,"26340122432","4052521216","3039461216","9624070000",0,3,1,1,"1595004054","506530000","16716052432","1582839128","642763868","1888727584","1849328096",4609730,3.4439,"0","46.535274","9.927908"
"59",14,0,0.05027,2744,1,128,1,58,7200,8,"556413402",23135232,0,10976,"1224279160","1860574694",90368000,789952,3137856,1024000,"555043096","13270114266",2744,"99.737092","2.204824","0.373412",8.760199,3.795433,1.03861,16.107889,15.181733,32.425202,"76.263003",27.016637,25,"3.910043","111541.468659","90.783351",1.444759,3.760241,4.619741,6.25,130560000,2970410,14445376,6400000,1751342,54686621,25600017,619.414705,14.092491,32.431159,15.181743,74122186,73915480,158055235,95319808,0,0,"33280702464","5120351232","3840351232","12160000000",0,3,1,1,"2015210795","640000000","21120702464","1999802880","812127232","2386381632","2336572352",5818231,3.450423,"0","46.728833","9.969454"
"65",15,0,0.062495,3375,1,128,1,58,7200,8,"692002983",28736492,0,13500,"1520909201","2311362292",112263884,981084,3897336,1272112,"689446331","16481734590",3375,"99.689271","2.206036","0.373536",8.751462,3.792351,1.024117,16.116226,15.169404,32.392344,"76.261464",27.017068,25,"3.907569","112659.940815","90.726062",1.444759,3.764124,4.61964,6.25,162194280,3692922,17941923,7950700,2147072,67927312,31802820,618.911671,14.091696,32.400192,15.169413,92079514,91823446,196341467,118414416,0,0,"41344504000","6360992000","4770852000","15106330000",0,3,1,1,"2503509137","795070000","26238174000","2484229672","1008898788","2964569792","2902662080",7234933,3.450942,"0","46.676668","9.962787"
"71",16,0,0.076525,4096,1,128,1,58,7200,8,"846837981",35175904,0,16384,"1861955088","2829673008",137438432,1200800,4770432,1557376,"844377026","20178672946",4096,"99.709395","2.205775","0.373512",8.754272,3.794177,1.024641,16.121513,15.176708,32.402299,"76.262021",27.017441,25,"3.908361","113644.719727","90.744464",1.444759,3.763299,4.62022,6.25,198565440,4518969,21964748,9733600,2628619,83144576,38934601,619.209668,14.092026,32.409923,15.176786,112726365,112412728,240366970,144967040,0,0,"50615768576","7787404288","5840684288","18493840000",0,3,1,1,"3064883145","973360000","32121928576","3041178176","1235134112","3629331904","3553510208",8870804,3.457857,"0","46.695555","9.965526"
