"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.002820655,125,1,128,1,58,7200,8,"24787490",798132,0,500,"42035371","63981392",3102164,27364,108456,35152,"31733329","436454910",125,"88.803602","1.814858","0.214904",5.4114,2.33031,393.854103,9.752661,9.32124,20.040338,"76.203469",27.002539,25,"3.389532","84070.742000","78.702088",1.444759,3.875713,4.623032,6.25,4481880,106055,499084,219700,36262,1701506,747308,380.306612,8.999219,18.047504,7.926533,2546217,2538766,5454431,3273136,0,0,"1142472000","175776000","131836000","417430000",0,2,1,1,"69401738",21970000,"725042000","68757912",27882748,"81942432","80259680",332690,3.52877,"0.000000","36.008335","7.736999"
"11",6,0,0.004487733,216,1,128,1,58,7200,8,"57357625",1485824,0,864,"78364568","119187034",5783552,50880,201792,65536,"50746157","811825882",216,"88.473254","1.749384","0.251514",6.30164,2.71857,481.241241,11.593055,10.87428,23.333613,"76.202517",27.006704,25,"2.743346","90699.731481","63.702103",1.444759,3.882704,4.622074,6.25,8355840,197552,928704,409600,70808,2816358,1389775,443.670606,10.489432,18.692544,9.224122,4745882,4732408,10147416,6101760,0,0,"2129975296","327707648","245787648","778240000",0,2,1,1,"129305477",40960000,"1351735296","128129536",51981312,"152757824","149605568",434527,2.884014,"0.000000","29.011717","5.978532"
"17",7,0,0.006822292,343,1,128,1,58,7200,8,"62175919",2485708,0,1372,"131221257","199486690",9684908,85052,337464,109744,"60895266","1405473206",343,"97.940275","2.155189","0.360681",3.321698,1.434699,233.206255,6.074593,5.738797,12.298285,"76.243511",27.009442,25,"3.820567","95642.315598","88.705544",1.444759,3.795384,4.621428,6.25,13992360,322805,1553225,685900,108878,5002009,2334226,234.142937,5.401699,10.462719,4.882508,7946519,7923862,16968638,10217168,0,0,"3566767808","548763904","411583904","1303210000",0,3,1,1,"216069908",68590000,"2263557808","214494824",87043460,"255788608","250493504",818038,1.711093,"0.000000","44.816987","9.518268"
"23",8,0,0.010471,512,1,128,1,58,7200,8,"136652126",3856224,0,2048,"203704144","310174512",15034976,131872,523392,170368,"113576695","2164344572",512,"82.561430","1.809050","0.329760",3.273441,1.415038,338.401313,5.968069,5.660151,12.11875,"76.199206",27.011377,25,"3.205587","99464.914062","74.433288",1.444759,3.895535,4.622368,6.25,21721920,513712,2409844,1064800,248675,7759245,3621052,230.934146,5.461471,10.311442,4.812101,12336708,12300184,26333193,15860608,0,0,"5537091072","851905536","638945536","2023120000",0,2,1,1,"335908350",106480000,"3513971072","332912448",135124768,"397074624","388836416",1128486,1.499671,"0.000000","31.655947","7.266166"
"29",9,0,0.015103,729,1,128,1,58,7200,8,"198544437",5655812,0,2916,"298911935","454942779",22062500,193332,767496,250000,"136892239","3215387932",729,"80.995535","2.043348","0.365992",7.001534,3.02849,632.508451,12.81198,12.11396,25.919302,"76.253846",27.012817,25,"3.298939","102507.522291","76.599647",1.444759,3.776307,4.620635,6.25,31875000,730081,3532845,1562500,318684,13381753,5938103,494.249567,11.32054,25.936963,11.509431,18099154,18048430,38622671,23273328,0,0,"8125186624","1250093312","937593312","2968750000",0,2,1,1,"492106924",156250000,"5156436624","488441080",198280812,"582655712","570547232",1370321,2.656002,"0.000000","31.971694","7.687332"
"35",10,0,0.021011,1000,1,128,1,58,7200,8,"278994417",7942912,0,4000,"419943336","638265600",30996224,271424,1077696,351232,"191331848","4508641442",1000,"78.336979","2.108346","0.353685",4.52439,1.957948,525.194854,8.293719,7.831791,16.748358,"76.216445",27.013929,25,"3.410236","104985.834000","79.183853",1.444759,3.860355,4.620377,6.25,44782080,1047793,4960880,2195200,575034,15973604,7907931,319.537057,7.476399,14.247212,7.053259,25427522,25355656,54291741,32696576,0,0,"11415296000","1756288000","1317248000","4170880000",0,2,1,1,"692243608",219520000,"7244416000","686139392",278567168,"818571712","801538880",3167368,2.825046,"0.000000","31.965514","7.961873"
"41",11,0,0.028438,1331,1,128,1,58,7200,8,"312321906",10775964,0,5324,"569897053","866885398",42064892,368140,1461912,476656,"280240847","5983607958",1331,"89.728207","1.913375","0.313897",4.520915,1.95719,581.339612,8.274673,7.828759,16.734949,"76.254575",27.014814,25,"3.607390","107043.022727","83.759351",1.444759,3.776903,4.620169,6.25,60773640,1390429,6729682,2979100,864136,22941926,10724672,319.413375,7.3078,15.072238,7.045825,34505415,34408918,73996840,44371600,0,0,"15491660736","2383450368","1787630368","5660290000",0,3,1,1,"939453036",297910000,"9831370736","931066056",378039412,"1110862464","1087724288",4332364,2.846248,"0.000000","38.751236","8.688423"
"47",12,0,0.03735,1728,1,128,1,58,7200,8,"355787341",14213408,0,6912,"751871792","1142924006",55497248,485472,1928064,628864,"352982217","8087086040",1728,"97.842471","1.934982","0.357980",5.883233,2.547753,747.504971,10.81306,10.191012,21.777222,"76.257824",27.015534,25,"3.829084","108777.747685","88.903748",1.444759,3.770504,4.620902,6.25,80180160,1830474,8877456,3930400,1126143,26895173,14149613,415.793305,9.492359,17.433915,9.172023,45523156,45395272,97112698,58539648,0,0,"20438522368","3144541184","2358461184","7467760000",0,3,1,1,"1239341962",393040000,"12970762368","1228279744",498753120,"1465567808","1435016384",4981461,3.229069,"0.000000","44.879606","9.601890"
"53",13,0,0.047815,2197,1,128,1,58,7200,8,"497388957",18313684,0,8788,"968966259","1473191654",71522036,625412,2484072,810448,"456648830","10385713576",2197,"91.152421","2.114607","0.354142",5.383968,2.332145,716.889528,9.84205,9.328581,19.928716,"76.182148",27.016132,25,"3.789486","110260.156919","87.985304",1.444759,3.939035,4.619859,6.25,103332120,2463520,11435462,5065300,1520554,36817719,17222580,380.606113,9.073953,16.951468,7.929552,58667810,58501774,125323607,75441968,0,0,"26340122432","4052521216","3039461216","9624070000",0,3,1,1,"1596732330",506530000,"16716052432","1582839128",642763868,"1888727584","1849328096",5448637,2.50864,"0.000000","41.372492","9.441812"
"59",14,0,0.060583,2744,1,128,1,58,7200,8,"721251219",23135232,0,10976,"1224279160","1863021600",90368000,789952,3137856,1024000,"570839652","13110245530",2744,"84.354787","2.082752","0.358853",5.676961,2.459593,852.359309,10.30053,9.838374,21.012835,"76.226839",27.016637,25,"3.570781","111541.468659","82.911212",1.444759,3.840435,4.619741,6.25,130560000,3033759,14445376,6400000,2165905,46510023,21763717,401.405646,9.327267,17.874335,8.364046,74133623,73915480,158743988,95319808,0,0,"33280702464","5120351232","3840351232","12160000000",0,2,1,1,"2017240505",6.4e+08,"21120702464","1999802880",812127232,"2386381632","2336572352",10328616,3.969406,"0.000000","36.049227","8.470182"
