"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"8602",1792,8,1.6576e-05,46,1,16,1,26,2.12890625,1,13,1,0,160098,13294,11776,46,27508,31926,8604,6440,2300,874,736,131717,749854,46,82.272733,0.208842,0.088793,2.681176,0.0023193564453125,0.004476421875,0.0033340751953125,0.0033340751953125,0.0047836728515625,6.989124,54.734848,69.565217,0.373027,598,7.692629,2.15,2.14,2.578947,13846,4922,2254,1380,1,2841,3248,2129,178.720353,63.53182,5.240536,3.435068,1.652188,3082,552,25775,17595,0,0,0,0,0,0,0,2,1,1,1,0,40530,0,0,177468,2990,109020,34638,0,0,0,0,0.314166
"9538",2048,2,1.9712e-05,78,1,16,1,26,2.12890625,1,13,0,1,182644,22542,19968,78,46644,54464,14267,10920,3900,1482,1248,150145,1463250,78,82.206369,0.31066,0.149609,3.977807,0.003441009765625,0.0068613408203125,0.0049464521484375,0.0049464521484375,0.0070970830078125,6.989124,54.734848,69.565217,0.552786,598,11.444104,2.15,2.14,2.578947,23478,8346,3822,2340,1,4977,5504,3597,265.150462,94.256144,7.769977,5.077872,1.445577,5226,936,43661,30212,0,0,0,0,0,0,0,2,1,1,1,0,68731,0,0,300924,5070,184860,58734,0,0,0,0,0.484671
"27945",3328,7,3.4624e-05,181,1,16,1,26,2.12890625,1,13,0,1,308484,52309,46336,181,108238,119361,30274,25340,9050,3439,2896,278734,3216294,181,90.356064,0.38832,0.178353,5.632785,0.0048726513671875,0.0097478271484375,0.0070044365234375,0.0070044365234375,0.01004984375,6.989124,54.734848,69.565217,0.645451,598,13.42095,2.15,2.14,1.842105,54481,19367,6335,3077,1,11587,12312,8327,375.46705,133.471676,10.606336,7.173405,0.882138,12127,2172,93481,69921,0,0,0,0,0,0,0,3,1,1,1,0,149635,0,0,698298,11765,428970,136293,0,0,0,0,0.59287
"15812",2560,4,2.0192e-05,56,1,16,1,26,2.12890625,1,13,0,5,188228,16184,14336,56,33488,38843,10455,7840,2800,1064,896,150449,1037320,56,79.156661,0.224759,0.107732,2.765728,0.002392498046875,0.004878453125,0.0034392158203125,0.0034392158203125,0.00493452734375,6.989124,54.734848,69.565217,0.40104,598,8.271754,2.15,2.14,2.578947,16856,5992,2744,1680,5,3654,4052,2589,184.356327,65.535306,5.539658,3.53953,6.999765,3752,672,31254,21487,0,0,0,0,0,0,0,2,1,1,1,0,49298,0,0,216048,3640,132720,42168,0,0,0,0,0.340689
"32373",3584,7,3.9648e-05,157,1,16,1,26,2.12890625,1,13,0,0,340056,45373,40192,157,93886,105484,26243,21980,7850,2983,2512,309490,3276452,157,91.01148,0.303357,0.171733,4.12907,0.003571859375,0.0072176591796875,0.0051345478515625,0.0051345478515625,0.0073669599609375,6.989124,54.734848,69.565217,0.51042,598,10.640651,2.15,2.14,1.842105,47257,16799,5495,2669,1,10152,10432,7231,275.233213,97.840378,7.594729,5.26433,0.745495,10535,1884,82965,61458,0,0,0,0,0,0,0,2,1,1,1,0,131727,0,0,605706,10205,372090,118221,0,0,0,0,0.471857
"8365",1792,7,1.6128e-05,57,1,16,1,26,2.12890625,1,13,0,0,158794,16473,14592,57,34086,37166,10093,7980,2850,1083,912,131075,921312,57,82.544051,0.26005,0.10968,3.411157,0.0029508271484375,0.0059129794921875,0.004241814453125,0.004241814453125,0.00608608203125,6.989124,54.734848,69.565217,0.437551,598,9.013733,2.15,2.14,1.842105,17157,6099,1995,969,1,3655,3832,2623,227.378964,80.829067,6.34811,4.345275,1.696362,3819,684,29361,21482,0,0,0,0,0,0,0,2,1,1,1,0,47259,0,0,219906,3705,135090,42921,0,0,0,0,0.370757
"43256",4096,9,1.872e-05,70,1,16,1,26,2.12890625,1,13,0,0,174986,20230,17920,70,41860,48708,12931,9800,3500,1330,1120,145998,1253066,70,83.434103,0.286716,0.134239,3.71153,0.003210666015625,0.006391232421875,0.0046153330078125,0.0046153330078125,0.0066219990234375,6.989124,54.734848,69.565217,0.51076,598,10.554768,2.15,2.14,2.578947,21070,7490,3430,2100,1,4459,4690,3221,247.401106,87.946573,6.883669,4.727569,1.502958,4690,840,39108,27008,0,0,0,0,0,0,0,2,1,1,1,0,61639,0,0,270060,4550,165900,52710,0,0,0,0,0.441753
"19812",2816,6,1.9904e-05,112,1,16,1,26,2.12890625,1,13,0,5,185994,32368,28672,112,66976,78766,19805,15680,5600,2128,1792,155606,2062478,112,81.869308,0.439844,0.211867,5.556947,0.0048070478515625,0.0096395791015625,0.006910130859375,0.006910130859375,0.0099145361328125,6.989124,54.734848,69.565217,0.777398,598,16.183376,2.15,2.14,2.578947,33712,11984,5488,3360,9,7187,7752,5157,370.411869,131.674651,10.646924,7.082841,12.657643,7504,1344,62785,44182,0,0,0,0,0,0,0,3,1,1,1,0,98571,0,0,432096,7280,265440,84336,0,0,0,0,0.725025
"25979",3328,2,1.6352e-05,57,1,16,1,26,2.12890625,1,13,1,4,159976,16473,14592,57,34086,37130,10072,7980,2850,1083,912,130220,910658,57,81.39971,0.261757,0.109475,3.378666,0.0029227216796875,0.0057749384765625,0.004201412109375,0.004201412109375,0.0060281123046875,6.989124,54.734848,69.565217,0.439825,598,9.061972,2.15,2.14,1.842105,17157,6099,1995,969,5,3604,3834,2627,225.213212,80.059182,6.290927,4.31045,8.401029,3819,684,29348,21515,0,0,0,0,0,0,0,2,1,1,1,0,47202,0,0,219906,3705,135090,42921,0,0,0,0,0.373107
"42706",4096,8,2.1664e-05,106,1,16,1,26,2.12890625,1,13,0,5,204720,30634,27136,106,63388,75143,18857,14840,5300,2014,1696,168278,2160932,106,80.451837,0.384867,0.200648,5.122797,0.0044314853515625,0.009074615234375,0.006370259765625,0.006370259765625,0.0091399375,6.989124,54.734848,69.565217,0.685224,598,14.26828,2.15,2.14,2.578947,31906,11342,5194,3180,5,6946,7210,4885,341.472514,121.387239,9.645587,6.535186,6.84957,7105,1272,59831,41621,0,0,0,0,0,0,0,3,1,1,1,0,94000,0,0,408948,6890,251220,79818,0,0,0,0,0.629347
