"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",256,0,0.755856,4.4577e-05,256,5.476829,"GeForce GTX 680 (1)",1,7
"48","[CUDA memcpy DtoH]",256,0,0.757371,4.0864e-05,256,5.974467,"GeForce GTX 680 (1)",1,7
"49","[CUDA memcpy HtoD]",512,0,0.738747,0.000173601,1,5.625328,"GeForce GTX 680 (1)",1,7
"144","[CUDA memcpy DtoH]",512,0,0.742312,0.000157793,1,6.188884,"GeForce GTX 680 (1)",1,7
"145","[CUDA memcpy HtoD]",768,0,0.759821,0.000419327,2.25,5.239981,"GeForce GTX 680 (1)",1,7
"288","[CUDA memcpy DtoH]",768,0,0.766295,0.000453376,2.25,4.846453,"GeForce GTX 680 (1)",1,7
"289","[CUDA memcpy HtoD]",1024,0,0.730216,0.000761438,4,5.130096,"GeForce GTX 680 (1)",1,7
"480","[CUDA memcpy DtoH]",1024,0,0.740814,0.000789694,4,4.946536,"GeForce GTX 680 (1)",1,7
"481","[CUDA memcpy HtoD]",1280,0,0.754893,0.001192571,6.25,5.117947,"GeForce GTX 680 (1)",1,7
"720","[CUDA memcpy DtoH]",1280,0,0.771218,0.001320923,6.25,4.620645,"GeForce GTX 680 (1)",1,7
"721","[CUDA memcpy HtoD]",1536,0,0.749902,0.00175161,9,5.017705,"GeForce GTX 680 (1)",1,7
"1008","[CUDA memcpy DtoH]",1536,0,0.774043,0.001837817,9,4.782338,"GeForce GTX 680 (1)",1,7
"1009","[CUDA memcpy HtoD]",1792,0,0.738679,0.002419894,12.25,4.94356,"GeForce GTX 680 (1)",1,7
"1344","[CUDA memcpy DtoH]",1792,0,0.772679,0.00247407,12.25,4.835308,"GeForce GTX 680 (1)",1,7
"1345","[CUDA memcpy HtoD]",2048,0,0.775612,0.003205267,16,4.874789,"GeForce GTX 680 (1)",1,7
"1728","[CUDA memcpy DtoH]",2048,0,0.822433,0.003038067,16,5.143073,"GeForce GTX 680 (1)",1,7
"1729","[CUDA memcpy HtoD]",2304,0,0.722135,0.003685008,20.25,5.366444,"GeForce GTX 680 (1)",1,7
"2160","[CUDA memcpy DtoH]",2304,0,0.785116,0.003408465,20.25,5.801846,"GeForce GTX 680 (1)",1,7
"2161","[CUDA memcpy HtoD]",2560,0,0.721837,0.004591756,25,5.316934,"GeForce GTX 680 (1)",1,7
"2640","[CUDA memcpy DtoH]",2560,0,0.805149,0.004187726,25,5.829909,"GeForce GTX 680 (1)",1,7
"2641","[CUDA memcpy HtoD]",2816,0,0.790306,0.006009094,30.25,4.916052,"GeForce GTX 680 (1)",1,7
"3168","[CUDA memcpy DtoH]",2816,0,0.897536,0.005007787,30.25,5.899016,"GeForce GTX 680 (1)",1,7
"3169","[CUDA memcpy HtoD]",3072,0,0.777669,0.006828257,36,5.148642,"GeForce GTX 680 (1)",1,7
"3744","[CUDA memcpy DtoH]",3072,0,0.913041,0.005839046,36,6.020889,"GeForce GTX 680 (1)",1,7
"3745","[CUDA memcpy HtoD]",3328,0,0.73427,0.007825182,42.25,5.272691,"GeForce GTX 680 (1)",1,7
"4368","[CUDA memcpy DtoH]",3328,0,0.899596,0.006897537,42.25,5.981811,"GeForce GTX 680 (1)",1,7
"4369","[CUDA memcpy HtoD]",3584,0,0.75417,0.008846073,49,5.409357,"GeForce GTX 680 (1)",1,7
"5040","[CUDA memcpy DtoH]",3584,0,0.954634,0.007894748,49,6.061189,"GeForce GTX 680 (1)",1,7
"5041","[CUDA memcpy HtoD]",3840,0,0.807478,0.012293,56.25,4.468413,"GeForce GTX 680 (1)",1,7
"5760","[CUDA memcpy DtoH]",3840,0,1.05759,0.009097335,56.25,6.038212,"GeForce GTX 680 (1)",1,7
"5761","[CUDA memcpy HtoD]",4096,0,0.755712,0.011609,64,5.383856,"GeForce GTX 680 (1)",1,7
"6528","[CUDA memcpy DtoH]",4096,0,1.040467,0.010248,64,6.098511,"GeForce GTX 680 (1)",1,7
"6529","[CUDA memcpy HtoD]",4352,0,0.723896,0.01298,72.25,5.43562,"GeForce GTX 680 (1)",1,7
"7344","[CUDA memcpy DtoH]",4352,0,1.059782,0.011601,72.25,6.081775,"GeForce GTX 680 (1)",1,7
"7345","[CUDA memcpy HtoD]",4608,0,0.789291,0.014847,81,5.327859,"GeForce GTX 680 (1)",1,7
"8208","[CUDA memcpy DtoH]",4608,0,1.19599,0.012961,81,6.102895,"GeForce GTX 680 (1)",1,7
"8209","[CUDA memcpy HtoD]",4864,0,0.811816,0.016513,90.25,5.337209,"GeForce GTX 680 (1)",1,7
"9120","[CUDA memcpy DtoH]",4864,0,1.280715,0.014444,90.25,6.101731,"GeForce GTX 680 (1)",1,7
"9121","[CUDA memcpy HtoD]",5120,0,0.762192,0.017765,100,5.497203,"GeForce GTX 680 (1)",1,7
"10080","[CUDA memcpy DtoH]",5120,0,1.29387,0.015974,100,6.11346,"GeForce GTX 680 (1)",1,7
"10081","[CUDA memcpy HtoD]",5376,0,0.819142,0.020805,110.25,5.175097,"GeForce GTX 680 (1)",1,7
"11088","[CUDA memcpy DtoH]",5376,0,1.439327,0.017618,110.25,6.111149,"GeForce GTX 680 (1)",1,7
"11089","[CUDA memcpy HtoD]",5632,0,0.822588,0.022075,121,5.352753,"GeForce GTX 680 (1)",1,7
"12144","[CUDA memcpy DtoH]",5632,0,1.530217,0.019258,121,6.135938,"GeForce GTX 680 (1)",1,7
"12145","[CUDA memcpy HtoD]",5888,0,0.753033,0.023341,132.25,5.533243,"GeForce GTX 680 (1)",1,7
"13248","[CUDA memcpy DtoH]",5888,0,1.559691,0.021058,132.25,6.13303,"GeForce GTX 680 (1)",1,7
"13249","[CUDA memcpy HtoD]",6144,0,0.829622,0.026121,144,5.38353,"GeForce GTX 680 (1)",1,7
"14400","[CUDA memcpy DtoH]",6144,0,1.735818,0.022963,144,6.123866,"GeForce GTX 680 (1)",1,7
"14401","[CUDA memcpy HtoD]",6400,0,0.841908,0.02828,156.25,5.395566,"GeForce GTX 680 (1)",1,7
"15600","[CUDA memcpy DtoH]",6400,0,1.852681,0.024835,156.25,6.14412,"GeForce GTX 680 (1)",1,7
"15601","[CUDA memcpy HtoD]",6656,0,0.797,0.029908,169,5.5183,"GeForce GTX 680 (1)",1,7
"16848","[CUDA memcpy DtoH]",6656,0,1.938288,0.026869,169,6.142254,"GeForce GTX 680 (1)",1,7
"16849","[CUDA memcpy HtoD]",6912,0,0.828534,0.031978,182.25,5.565669,"GeForce GTX 680 (1)",1,7
"18144","[CUDA memcpy DtoH]",6912,0,2.094794,0.028967,182.25,6.144225,"GeForce GTX 680 (1)",1,7
"18145","[CUDA memcpy HtoD]",7168,0,0.829274,0.034883,196,5.487029,"GeForce GTX 680 (1)",1,7
"19488","[CUDA memcpy DtoH]",7168,0,2.23584,0.031087,196,6.157171,"GeForce GTX 680 (1)",1,7
"19489","[CUDA memcpy HtoD]",7424,0,0.838636,0.037709,210.25,5.444851,"GeForce GTX 680 (1)",1,7
"20880","[CUDA memcpy DtoH]",7424,0,2.389918,0.033417,210.25,6.144173,"GeForce GTX 680 (1)",1,7
"20881","[CUDA memcpy HtoD]",7680,0,0.795379,0.038806,225,5.662231,"GeForce GTX 680 (1)",1,7
"22320","[CUDA memcpy DtoH]",7680,0,2.520522,0.035833,225,6.131972,"GeForce GTX 680 (1)",1,7
"22321","[CUDA memcpy HtoD]",7936,0,0.857017,0.042445,240.25,5.527554,"GeForce GTX 680 (1)",1,7
"23808","[CUDA memcpy DtoH]",7936,0,2.802897,0.038228,240.25,6.137375,"GeForce GTX 680 (1)",1,7
"23809","[CUDA memcpy HtoD]",8192,0,0.824213,0.044099,256,5.66901,"GeForce GTX 680 (1)",1,7
"25344","[CUDA memcpy DtoH]",8192,0,2.883881,0.04062,256,6.154583,"GeForce GTX 680 (1)",1,7
