"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.002253394,125,1,128,1,58,7200,8,"26478578",798132,0,500,"42035371","63985904",3102164,27364,108456,35152,"23205480","436678966",125,"87.638694","1.798215","0.286110",6.691738,2.881662,126.789961,10.623743,11.526646,24.781883,"76.200031",27.002539,25,"3.215571","84070.742000","74.664296",1.444759,3.883277,4.623032,6.25,4481880,106262,499084,219700,9440,1889687,878806,470.287169,11.150155,24.785792,11.526725,2546315,2538766,5450350,3273136,0,0,"1142472000","175776000","131836000","417430000",0,2,1,1,"69304833",21970000,"725042000","68757912","27882748","81942432","80259680",0,0,"0.000000","33.708617","7.287163"
"11",6,0,0.003313674,216,1,128,1,58,7200,8,"39733974",1485824,0,864,"78364568","119171887",5783552,50880,201792,65536,"37977717","831497972",216,"96.434902","2.050755","0.339997",8.467628,3.652992,395.1076,13.534103,14.611967,31.3538,"76.229762",27.006704,25,"3.627173","90699.731481","84.217495",1.444759,3.822622,4.622074,6.25,8355840,194495,928704,409600,43264,3515914,1639162,596.168274,13.876732,31.356458,14.618763,4745859,4732408,10136752,6101760,0,0,"2129975296","327707648","245787648","778240000",0,3,1,1,"129079882",40960000,"1351735296","128129536","51981312","152757824","149605568",0,0,"0.000000","41.879607","8.814340"
"17",7,0,0.005395956,343,1,128,1,58,7200,8,"64385776",2485708,0,1372,"131221257","199493782",9684908,85052,337464,109744,"62025443","1403875932",343,"97.115604","2.115163","0.353654",8.758655,3.783016,466.686872,13.979057,15.132064,32.428124,"76.241205",27.009442,25,"3.720915","95642.315598","86.393365",1.444759,3.800475,4.621428,6.25,13992360,323238,1553225,685900,82632,5879686,2743605,617.388195,14.262306,32.428846,15.132091,7946378,7923862,16958121,10217168,0,0,"3566767808","548763904","411583904","1303210000",0,3,1,1,"216082367",68590000,"2263557808","214494824","87043460","255788608","250493504",0,0,"0.000000","43.278772","9.193754"
"23",8,0,0.008188749,512,1,128,1,58,7200,8,"97373332",3856224,0,2048,"203704144","309648702",15034976,131872,523392,170368,"94593818","2186107966",512,"97.643788","2.141449","0.359087",8.992421,3.887228,446.201242,14.377251,15.548913,33.291234,"76.251921",27.011377,25,"3.798159","99464.914062","88.186379",1.444759,3.778967,4.622368,6.25,21721920,498340,2409844,1064800,119360,9120340,4259202,634.395664,14.55418,33.295308,15.548921,12334825,12300184,26320982,15860608,0,0,"5537091072","851905536","638945536","2023120000",0,3,1,1,"335385781",106480000,"3513971072","332912448","135124768","397074624","388836416",0,0,"0.000000","44.425433","9.485921"
"29",9,0,0.011732,729,1,128,1,58,7200,8,"139382768",5655812,0,2916,"298911935","454341396",22062500,193332,767496,250000,"137563109","3211597404",729,"98.694488","2.171410","0.364652",9.190917,3.975501,457.057325,14.732012,15.902003,34.024284,"76.252499",27.012817,25,"3.851841","102507.522291","89.432825",1.444759,3.779286,4.620635,6.25,31875000,730657,3532845,1562500,175428,13372944,6250002,648.801711,14.872204,34.025055,15.902008,18099289,18048430,38597684,23273328,0,0,"8125186624","1250093312","937593312","2968750000",0,3,1,1,"492095865",156250000,"5156436624","488441080","198280812","582655712","570547232",0,0,"0.000000","45.542230","9.661274"
"35",10,0,0.016266,1000,1,128,1,58,7200,8,"193276790",7942912,0,4000,"419943336","638251366",30996224,271424,1077696,351232,"191210084","4524172152",1000,"98.784937","2.197124","0.369848",9.172766,3.969551,468.420928,14.713419,15.878205,33.955691,"76.252184",27.013929,25,"3.898636","104985.834000","90.518994",1.444759,3.781217,4.620377,6.25,44782080,1026313,4960880,2195200,252970,18778295,8781140,647.830755,14.846946,33.956543,15.87882,25427038,25355656,54221562,32696576,0,0,"11415296000","1756288000","1317248000","4170880000",0,3,1,1,"691305710",219520000,"7244416000","686139392","278567168","818571712","801538880",0,0,"0.000000","46.142116","9.846721"
"41",11,0,0.022034,1331,1,128,1,58,7200,8,"261545144",10775964,0,5324,"569897053","866147823",42064892,368140,1461912,476656,"259753481","6137978110",1331,"99.378216","2.195575","0.369037",9.19196,3.979373,601.248023,14.730621,15.917494,34.025628,"76.258700",27.014814,25,"3.886403","107043.022727","90.235106",1.444759,3.76777,4.620169,6.25,60773640,1387067,6729682,2979100,439566,25473074,11916409,649.433741,14.822349,34.026006,15.917506,34505283,34408918,73573364,44371600,0,0,"15491660736","2383450368","1787630368","5660290000",0,3,1,1,"938152378",297910000,"9831370736","931066056","378039412","1110862464","1087724288",0,0,"0.000000","46.274459","9.815948"
"47",12,0,0.028841,1728,1,128,1,58,7200,8,"342133008",14213408,0,6912,"751871792","1142701196",55497248,485472,1928064,628864,"340978295","8104184158",1728,"99.601403","2.208329","0.371920",9.169071,3.970696,755.339045,14.722134,15.882784,33.939995,"76.258868",27.015534,25,"3.910768","108777.747685","90.800552",1.444759,3.768191,4.620902,6.25,80180160,1829351,8877456,3930400,730150,33597533,15721931,648.017589,14.78485,33.941988,15.883118,45522361,45395272,97062891,58539648,0,0,"20438522368","3144541184","2358461184","7467760000",0,3,1,1,"1237681526",393040000,"12970762368","1228279744","498753120","1465567808","1435016384",0,0,"0.000000","46.670725","9.893314"
"53",13,0,0.037022,2197,1,128,1,58,7200,8,"439923498",18313684,0,8788,"968966259","1472628894",71522036,625412,2484072,810448,"438105807","10443681704",2197,"99.608830","2.210234","0.372473",9.174694,3.974154,851.71463,14.71501,15.896616,33.960057,"76.259474",27.016132,25,"3.919297","110260.156919","90.998505",1.444759,3.767507,4.619859,6.25,103332120,2356244,11435462,5065300,1060119,43285072,20261206,648.581952,14.789374,33.960782,15.896621,58665720,58501774,125080404,75441968,0,0,"26340122432","4052521216","3039461216","9624070000",0,3,1,1,"1595031439",506530000,"16716052432","1582839128","642763868","1888727584","1849328096",0,0,"0.000000","46.776816","9.919234"
"59",14,0,0.046637,2744,1,128,1,58,7200,8,"553890456",23135232,0,10976,"1224279160","1860624867",90368000,789952,3137856,1024000,"552693752","13202152608",2744,"99.785594","2.215661","0.373326",9.095057,3.940513,831.061221,14.587675,15.762054,33.664654,"76.261330",27.016637,25,"3.926080","111541.468659","91.156139",1.444759,3.763949,4.619741,6.25,130560000,2973339,14445376,6400000,1318136,54678771,25600314,643.091794,14.645603,33.666005,15.762247,74122070,73915480,158031442,95319808,0,0,"33280702464","5120351232","3840351232","12160000000",0,3,1,1,"2015287134",6.4e+08,"21120702464","1999802880","812127232","2386381632","2336572352",0,0,"0.000000","46.941680","9.950464"
