"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"57","[CUDA memcpy HtoD]",13312,0,4.953835,0.000146403,884.066406,5.75884,"Tesla K20c (0)",1,7
"59","[CUDA memcpy DtoH]",13312,0,4.954064,1.0881e-05,52.003906,4.557926,"Tesla K20c (0)",1,7
"60","[CUDA memcpy DtoH]",13312,0,4.95411,0.0001377,884.066406,6.122814,"Tesla K20c (0)",1,7
"61","[CUDA memcpy HtoD]",14336,0,4.911685,1.1137e-05,56.003906,4.79568,"Tesla K20c (0)",1,7
"62","[CUDA memcpy HtoD]",14336,0,4.912155,0.00015722,952.066406,5.7751,"Tesla K20c (0)",1,7
"64","[CUDA memcpy DtoH]",14336,0,4.912378,1.104e-05,56,4.837478,"Tesla K20c (0)",1,7
"65","[CUDA memcpy HtoD]",14336,0,4.912652,1.184e-06,0.066406,0.053488,"Tesla K20c (0)",1,7
"66","[CUDA memcpy HtoD]",14336,0,4.913091,0.000157028,952.066406,5.782162,"Tesla K20c (0)",1,7
"67","[CUDA memcpy HtoD]",14336,0,4.913495,0.000157156,952.066406,5.777452,"Tesla K20c (0)",1,7
"69","[CUDA memcpy DtoH]",14336,0,4.91374,1.1457e-05,56.003906,4.661734,"Tesla K20c (0)",1,7
"70","[CUDA memcpy DtoH]",14336,0,4.913779,0.0001481,952.066406,6.130731,"Tesla K20c (0)",1,7
"71","[CUDA memcpy HtoD]",15360,0,4.854329,1.1776e-05,0.058598,4.859391,"Tesla K20c (0)",1,7
"72","[CUDA memcpy HtoD]",15360,0,4.854911,0.000168324,0.996159,5.779396,"Tesla K20c (0)",1,7
"74","[CUDA memcpy DtoH]",15360,0,4.855155,1.1136e-05,0.058594,5.138331,"Tesla K20c (0)",1,7
"75","[CUDA memcpy HtoD]",15360,0,4.855525,1.12e-06,6.484985e-05,0.056545,"Tesla K20c (0)",1,7
"76","[CUDA memcpy HtoD]",15360,0,4.856093,0.000167716,0.996159,5.800348,"Tesla K20c (0)",1,7
"77","[CUDA memcpy HtoD]",15360,0,4.856546,0.000168964,0.996159,5.757505,"Tesla K20c (0)",1,7
"79","[CUDA memcpy DtoH]",15360,0,4.856807,1.1936e-05,0.058598,4.794251,"Tesla K20c (0)",1,7
"80","[CUDA memcpy DtoH]",15360,0,4.856853,0.000158276,0.996159,6.146296,"Tesla K20c (0)",1,7
"81","[CUDA memcpy HtoD]",16384,0,4.959515,1.3664e-05,0.062504,4.467131,"Tesla K20c (0)",1,7
"82","[CUDA memcpy HtoD]",16384,0,4.960097,0.000182309,1.062565,5.69177,"Tesla K20c (0)",1,7
"84","[CUDA memcpy DtoH]",16384,0,4.960358,1.2224e-05,0.0625,4.993059,"Tesla K20c (0)",1,7
"85","[CUDA memcpy HtoD]",16384,0,4.960723,1.312e-06,6.484985e-05,0.04827,"Tesla K20c (0)",1,7
"86","[CUDA memcpy HtoD]",16384,0,4.96129,0.0001825,1.062565,5.685814,"Tesla K20c (0)",1,7
