"","X","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"1",66925,4,580,0.000309471,8,128,64,4,33,0,7,2500696,6291456,1048576,8192,6238272,4097361,1418062,0,0,196608,32768,2454529,111317720,1024,98.315469,2.537357,0.708624,75.77463,12.637332,25.328368,12.637332,12.637332,81.747744,0,92.693237,100,2.820128,761.507812,56.083625,0,0,1.3125,1,0,0,258048,32768,262701,848140,131073,0,0,81.773583,12.637429,315016,596096,290816,229376,17825792,8388608,0,0,0,0,0,1,3,1,5515423,17825792,0,77330432,4196352,11010048,73926144,0,0,1.856337,0,4.262293
"2",135851,8,840,0.000549534,8,128,64,4,33,0,7,4718704,12582912,2097152,8192,11907136,7599845,2782545,0,0,393216,65536,4658360,212114148,1024,98.855152,2.552615,0.71071,83.335378,13.898278,28.059789,13.898278,13.898278,89.904485,0,92.693237,100,2.822258,1453.507812,55.643611,0,0,1.3125,1,0,0,516096,65536,529253,1696004,262145,0,0,89.91827,13.898331,413315,792704,581632,458752,35651584,16777216,0,0,0,0,0,1,3,1,10382390,35651584,0,152827904,6293504,18350080,136840704,0,0,1.967546,0,4.051054
"3",27161,2,740,0.000172767,8,128,64,4,33,0,7,1413106,3145728,524288,8192,3403840,2343767,735462,0,0,98304,16384,1372506,61544390,1024,96.886504,2.486172,0.700639,71.990021,12.006153,24.013223,12.006153,12.006153,77.664804,0,92.693237,100,2.786258,415.507812,56.226878,0,0,1.3125,1,0,0,129024,16384,131077,424006,65541,0,0,77.677628,12.007069,265864,497792,145408,114688,8912896,4194304,0,0,0,0,0,1,3,1,3079229,8912896,0,39581696,3147776,7340032,42468864,0,0,1.642528,0,4.495657
"4",149766,8,990,0.00055123,8,128,64,4,33,0,7,4690818,12582912,2097152,8192,11907136,7598934,2782282,0,0,393216,65536,4643058,211416090,1024,99.019787,2.56352,0.711187,80.480919,13.422225,27.109521,13.422225,13.422225,86.825018,0,92.693237,100,2.834006,1453.507812,55.875017,0,0,1.3125,1,0,0,516096,65536,529465,1696394,262153,0,0,86.858299,13.422686,413312,792704,581632,458752,35651584,16777216,0,0,0,0,0,1,3,1,10381216,35651584,0,152827904,6293504,18350080,136840704,0,0,1.979243,0,4.076229
"5",84178,4,830,0.000309182,8,128,64,4,33,0,7,2505550,6291456,1048576,8192,6238272,4097010,1418023,0,0,196608,32768,2458654,111280842,1024,98.102293,2.537944,0.707657,75.770708,12.636678,25.327443,12.636678,12.636678,81.743513,0,92.693237,100,2.820606,761.507812,56.092642,0,0,1.3125,1,0,0,258048,32768,262705,848324,131073,0,0,81.78709,12.636775,315008,596096,290816,229376,17825792,8388608,0,0,0,0,0,1,3,1,5515033,17825792,0,77330432,4196352,11010048,73926144,0,0,1.85274,0,4.260497
"6",84379,4,830,0.000309663,8,128,64,4,33,0,7,2512330,6291456,1048576,8192,6238272,4097326,1418264,0,0,196608,32768,2472424,111772088,1024,98.269813,2.52678,0.708896,80.357633,13.401664,26.864369,13.401664,13.401664,86.692014,0,92.693237,100,2.808522,761.507812,55.851542,0,0,1.3125,1,0,0,258048,32768,262741,848520,131081,0,0,86.758269,13.402584,315015,596096,290816,229376,17825792,8388608,0,0,0,0,0,1,3,1,5515590,17825792,0,77330432,4196352,11010048,73926144,0,0,1.84774,0,4.237618
"7",28022,2,750,0.000172767,8,128,64,4,33,0,7,1400872,3145728,524288,8192,3403840,2343172,735507,0,0,98304,16384,1365165,61234866,1024,97.28876,2.497514,0.700864,67.898033,11.323711,22.662109,11.323711,11.323711,73.250256,0,92.693237,100,2.798599,415.507812,56.473317,0,0,1.3125,1,0,0,129024,16384,131157,424328,65541,0,0,73.317988,11.324575,265871,497792,145408,114688,8912896,4194304,0,0,0,0,0,1,2,1,3078679,8912896,0,39581696,3147776,7340032,42468864,0,0,1.656873,0,4.516473
"8",123279,8,680,0.000585182,8,128,64,4,33,0,7,4730764,12582912,2097152,8192,11907136,7598413,2782488,0,0,393216,65536,4679443,212447624,1024,98.915165,2.544563,0.709666,85.245718,14.216875,28.694558,14.216875,14.216875,91.965413,0,92.693237,100,2.813025,1453.507812,55.460132,0,0,1.3125,1,0,0,516096,65536,529097,1696578,262145,0,0,92.010643,14.21693,413328,792704,581632,458752,35651584,16777216,0,0,0,0,0,1,3,1,10380901,35651584,0,152827904,6293504,18350080,136840704,0,0,1.96253,0,4.026678
"9",78894,4,760,0.000309535,8,128,64,4,33,0,7,2492272,6291456,1048576,8192,6238272,4096597,1418127,0,0,196608,32768,2453070,111350098,1024,98.427058,2.543047,0.707615,75.817063,12.644409,25.331361,12.644409,12.644409,81.793522,0,92.693237,100,2.826194,761.507812,56.202269,0,0,1.3125,1,0,0,258048,32768,262585,848332,131073,0,0,81.837898,12.644506,315020,596096,290816,229376,17825792,8388608,0,0,0,0,0,1,3,1,5514724,17825792,0,77330432,4196352,11010048,73926144,0,0,1.862611,0,4.264907
"10",97331,4,970,0.000310078,8,128,64,4,33,0,7,2495206,6291456,1048576,8192,6238272,4096745,1418215,0,0,196608,32768,2462381,111359560,1024,98.296734,2.543424,0.707782,75.765071,12.635738,25.323245,12.635738,12.635738,81.737431,0,92.693237,100,2.826745,761.507812,56.213015,0,0,1.3125,1,0,0,258048,32768,262681,847942,131077,0,0,81.744179,12.63622,315007,596096,290816,229376,17825792,8388608,0,0,0,0,0,1,3,1,5514960,17825792,0,77330432,4196352,11010048,73926144,0,0,1.860421,0,4.276394
