"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.016362,125,1,128,1,58,7200,8,"136442825",798132,0,500,"42035371","123368299",3102164,27364,108456,35152,"121679399","2681345972",125,"89.333681","0.345095","0.344315",1.182131,521.278476,88.807156,1.936814,2.036244,4.377853,"76.204084",27.002539,25,"1.099516","84070.742000","26.396167","1.444759",3.87436,4.623032,6.25,"4481880",106018,499084,219700,37429,1893365,878809,"83.078757",1.965212,4.387066,2.036265,2549819,2538766,5471585,3273136,0,0,"1142472000","175776000","131836000","417430000",0,1,1,1,"128696515","21970000","725042000","68757912","27882748","81942432","80259680",0,0,"0.000000","52.332909","5.142419"
"11",6,0,0.028752,216,1,128,1,58,7200,8,"236822128",1485824,0,864,"78364568","229965049",5783552,50880,201792,65536,"225810774","5180912178",216,"95.350369","0.346821","0.358319",1.251642,552.925889,93.396688,2.042755,2.159867,4.634559,"76.240159",27.006704,25,"1.106305","90699.731481","26.559110","1.444759",3.799705,4.622074,6.25,"8355840",193329,928704,409600,69187,3522408,1638403,"88.122564",2.038891,4.643513,2.159871,4753021,4732408,10186522,6101760,0,0,"2129975296","327707648","245787648","778240000",0,1,1,1,"239893325","40960000","1351735296","128129536","51981312","152757824","149605568",0,0,"0.000000","56.212423","5.350165"
"17",7,0,0.048436,343,1,128,1,58,7200,8,"386022362",2485708,0,1372,"131221257","385060004",9684908,85052,337464,109744,"377595440","8881449764",343,"97.716022","0.347613","0.367617",1.2919,571.386111,96.095998,2.119952,2.231977,4.783143,"76.251634",27.009442,25,"1.108910","95642.315598","26.621660","1.444759",3.777454,4.621428,6.25,"13992360",321280,1553225,685900,115355,5890605,2743600,"91.064662",2.090945,4.792133,2.231977,7958211,7923862,17043007,10217168,0,0,"3566767808","548763904","411583904","1303210000",0,1,1,1,"401674938","68590000","2263557808","214494824","87043460","255788608","250493504",0,0,"0.000000","57.748724","5.469997"
"23",8,0,0.074528,512,1,128,1,58,7200,8,"597828381",3856224,0,2048,"203704144","597743080",15034976,131872,523392,170368,"585361526","13842603002",512,"97.914643","0.347907","0.369425",1.30038,575.616868,91.296468,2.135607,2.248503,4.814192,"76.272818",27.011377,25,"1.109265","99464.914062","26.630218","1.444759",3.732802,4.622368,6.25,"21721920",492252,2409844,1064800,168884,9132232,4259207,"91.738938",2.078945,4.821059,2.248507,12353508,12300184,26436224,15860608,0,0,"5537091072","851905536","638945536","2023120000",0,1,1,1,"623541199","106480000","3513971072","332912448","135124768","397074624","388836416",0,0,"0.000000","57.887548","5.497212"
"29",9,0,0.107381,729,1,128,1,58,7200,8,"866751927",5655812,0,2916,"298911935","877107294",22062500,193332,767496,250000,"858491899","20427547966",729,"99.047014","0.348221","0.371833",1.309781,580.138195,116.727889,2.149984,2.266165,4.848737,"76.275127",27.012817,25,"1.109839","102507.522291","26.644040","1.444759",3.729253,4.620635,6.25,"31875000",720984,3532845,1562500,314386,13402759,6250007,"92.459525",2.091352,4.859658,2.266167,18126778,18048430,38774022,23273328,0,0,"8125186624","1250093312","937593312","2968750000",0,1,1,1,"914948745","156250000","5156436624","488441080","198280812","582655712","570547232",0,0,"0.000000","58.589332","5.531143"
"35",10,0,0.151474,1000,1,128,1,58,7200,8,"1221168757",7942912,0,4000,"419943336","1232248206",30996224,271424,1077696,351232,"1206073081","28755103700",1000,"98.757628","0.348161","0.372498",1.307669,579.480333,141.951035,2.148609,2.263595,4.840719,"76.278595",27.013929,25,"1.109927","104985.834000","26.646170","1.444759",3.722781,4.620377,6.25,"44782080",1010452,4960880,2195200,537742,18810032,8781056,"92.354678",2.083869,4.849022,2.263661,25465672,25355656,54461341,32696576,0,0,"11415296000","1756288000","1317248000","4170880000",0,1,1,1,"1285423950","219520000","7244416000","686139392","278567168","818571712","801538880",0,0,"0.000000","58.424030","5.542012"
"41",11,0,0.205141,1331,1,128,1,58,7200,8,"1647221254",10775964,0,5324,"569897053","1672264277",42064892,368140,1461912,476656,"1636197801","39066854560",1331,"99.334194","0.348296","0.373062",1.315584,583.210151,160.384651,2.16174,2.278165,4.869861,"76.282669",27.014814,25,"1.110188","107043.022727","26.652472","1.444759",3.714715,4.620169,6.25,"60773640",1367535,6729682,2979100,819262,25510179,10426027,"92.949118",2.091551,4.877009,1.993237,34558287,34408918,73899325,44371600,0,0,"15491660736","2383450368","1787630368","5660290000",0,1,1,1,"1744408512","297910000","9831370736","931066056","378039412","1110862464","1087724288",0,0,"0.000000","58.779523","5.553660"
"47",12,0,0.267507,1728,1,128,1,58,7200,8,"2166772844",14213408,0,6912,"751871792","2206240919",55497248,485472,1928064,628864,"2158566714","51611241900",1728,"99.624573","0.348342","0.373617",1.321047,585.813675,172.458513,2.171106,2.288335,4.889953,"76.285321",27.015534,25,"1.110234","108777.747685","26.653589","1.444759",3.709613,4.620902,6.25,"80180160",1800913,8877456,3930400,1157076,29439206,15721610,"93.364054",2.097034,4.284981,2.288336,45592143,45395272,97478898,58539648,0,0,"20438522368","3144541184","2358461184","7467760000",0,1,1,1,"2301418185","393040000","12970762368","1228279744","498753120","1465567808","1435016384",0,0,"0.000000","58.954387","5.553408"
"53",13,0,0.332896,2197,1,128,1,58,7200,8,"2787327777",18313684,0,8788,"968966259","2843273483",71522036,625412,2484072,810448,"2781342431","66583959286",2197,"99.791562","0.348373","0.374047",1.323444,587.027908,158.318713,2.176529,2.293078,4.898719,"76.287481",27.016132,25,"1.110395","110260.156919","26.657458","1.444759",3.705466,4.619859,6.25,"103332120",2317443,11435462,5065300,1366088,43349801,20261201,"93.557573",2.098228,4.906149,2.293078,58755311,58501774,125608533,75441968,0,0,"26340122432","4052521216","3039461216","9624070000",0,1,1,1,"2965916786","506530000","16716052432","1582839128","642763868","1888727584","1849328096",0,0,"0.000000","59.062220","5.563522"
"59",14,0,0.412136,2744,1,128,1,58,7200,8,"3527416296",23135232,0,10976,"1224279160","3592442893",90368000,789952,3137856,1024000,"3514249931","84149994600",2744,"99.626924","0.348376","0.374146",1.323552,587.203169,161.392332,2.176983,2.293762,4.899026,"76.288530",27.016637,25,"1.110445","111541.468659","26.658663","1.444759",3.703679,4.619741,6.25,"130560000",2925729,14445376,6400000,1759035,54770691,25600007,"93.585505",2.097165,4.907459,2.293763,74235910,73915480,158688869,95319808,0,0,"33280702464","5120351232","3840351232","12160000000",0,1,1,1,"3747415012","640000000","21120702464","1999802880","812127232","2386381632","2336572352",0,0,"0.000000","58.967917","5.559268"
