"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"103",18432,0,0.000265,1,1152,16,16,18,1.0625,1,1069884,313344,313344,9216,2458368,2129408,62208,44928,18432,18432,1052311,65769134,1152,98.646143,2.331396,0.975363,4.567106,4.567106,1.836614,3.284123,6.447678,6.716332,59.677419,68,70.833333,2.333625,266.75,54.432016,1,1,5.75,3,62208,44928,105984,55296,15751,57660,55302,29.014553,20.954955,6.723328,6.448378,146304,146304,319104,245376,1751040,276480,0,0,0,0,2359296,2,1,1,2294144,7649280,0,35149824,3538944,2672640,8257536,0,0,0.639322,0,2.920909
"113",19456,0,0.00028,1,1216,16,16,18,1.0625,1,1128256,330752,330752,9728,2594944,2247680,65664,47424,19456,19456,1111749,69277262,1216,98.550105,2.335393,0.975073,4.569533,4.569533,1.631234,3.914232,6.451106,6.719902,59.677419,68,70.833333,2.336758,266.75,54.505054,1,1,5.75,3,65664,47424,111872,58368,14759,60884,58374,29.029976,20.966094,6.729186,6.451769,154432,154432,336832,259008,1848320,291840,0,0,0,0,2490368,2,1,1,2421568,8074240,0,37102592,3735552,2821120,8716288,0,0,0.639926,0,2.923162
"123",20480,0,0.000295,1,1280,16,16,18,1.0625,1,1185596,348160,348160,10240,2731520,2365952,69120,49920,20480,20480,1171083,73199296,1280,98.69158,2.335285,0.976651,4.572236,4.572236,2.219615,4.444693,6.454922,6.723877,59.677419,68,70.833333,2.332134,266.75,54.397156,1,1,5.75,3,69120,49920,117760,61440,21127,64080,61446,29.047147,20.978495,6.732281,6.455552,162560,162560,354560,272640,1945600,307200,0,0,0,0,2621440,2,1,1,2548992,8499200,0,39055360,3932160,2969600,9175040,0,0,0.641028,0,2.919521
"133",21504,0,0.000309,1,1344,16,16,18,1.0625,1,1244924,365568,365568,10752,2868096,2484224,72576,52416,21504,21504,1227477,76726758,1344,98.77711,2.332362,0.976683,4.576498,4.576498,2.539127,4.603339,6.460939,6.730145,59.677419,68,70.833333,2.335028,266.75,54.464632,1,1,5.75,3,72576,52416,123648,64512,25353,67224,64518,29.074225,20.998051,6.732548,6.46154,170688,170688,372288,286272,2042880,322560,0,0,0,0,2752512,2,1,1,2676416,8924160,0,41008128,4128768,3118080,9633792,0,0,0.641003,0,2.922024
"143",22528,0,0.000324,1,1408,16,16,18,1.0625,1,1301724,382976,382976,11264,3004672,2602496,76032,54912,22528,22528,1285215,80373108,1408,98.623991,2.333157,0.976704,4.580145,4.580145,3.691613,4.655632,6.466087,6.735507,59.677419,68,70.833333,2.337675,266.75,54.526333,1,1,5.75,3,76032,54912,129536,67584,38585,70424,67590,29.09739,21.014782,6.737803,6.466661,178816,178816,390016,299904,2140160,337920,0,0,0,0,2883584,2,2,1,2803840,9349120,0,42960896,4325376,3266560,10092544,0,0,0.642225,0,2.926679
"153",23552,0,0.000338,1,1472,16,16,18,1.0625,1,1359676,400384,400384,11776,3141248,2720768,79488,57408,23552,23552,1344813,84260320,1472,98.866948,2.34072,0.97694,4.582902,4.582902,4.528601,4.766042,6.469979,6.739561,59.677419,68,70.833333,2.33827,266.75,54.540177,1,1,5.75,3,79488,57408,135424,70656,49455,73882,70662,29.114905,21.027432,6.765384,6.470528,186944,186944,407744,313536,2237440,353280,0,0,0,0,3014656,2,2,1,2931264,9774080,0,44913664,4521984,3415040,10551296,0,0,0.6428,0,2.927248
"163",24576,0,0.000354,1,1536,16,16,18,1.0625,1,1417024,417792,417792,12288,3277824,2839040,82944,59904,24576,24576,1402143,87722124,1536,98.866033,2.334327,0.977701,4.583298,4.583298,4.24831,4.798404,6.470539,6.740145,59.677419,68,70.833333,2.33449,266.75,54.451989,1,1,5.75,3,82944,59904,141312,73728,48407,76824,73734,29.117425,21.029252,6.742251,6.471066,195072,195072,425472,327168,2334720,368640,0,0,0,0,3145728,2,2,1,3058688,10199040,0,46866432,4718592,3563520,11010048,0,0,0.643602,0,2.920208
"173",25600,0,0.000368,1,1600,16,16,18,1.0625,1,1477696,435200,435200,12800,3414400,2957312,86400,62400,25600,25600,1463728,91414028,1600,99.005377,2.338012,0.977543,4.587464,4.587464,4.390726,4.808151,6.476419,6.74627,59.677419,68,70.833333,2.333024,266.75,54.417761,1,1,5.75,3,86400,62400,147200,76800,52067,80024,76806,29.143886,21.048362,6.748294,6.476925,203200,203200,443200,340800,2432000,384000,0,0,0,0,3276800,2,2,1,3186112,10624000,0,48819200,4915200,3712000,11468800,0,0,0.642893,0,2.919988
"183",26624,0,0.000382,1,1664,16,16,18,1.0625,1,1533404,452608,452608,13312,3550976,3075584,89856,64896,26624,26624,1517906,95083236,1664,99.035452,2.337716,0.978041,4.589915,4.589915,4.492805,4.794196,6.47988,6.749875,59.677419,68,70.833333,2.339729,266.75,54.57413,1,1,5.75,3,89856,64896,153088,79872,55379,83224,79878,29.159462,21.059611,6.751822,6.480367,211328,211328,460928,354432,2529280,399360,0,0,0,0,3407872,2,2,1,3313536,11048960,0,50771968,5111808,3860480,11927552,0,0,0.644318,0,2.930485
"193",27648,0,0.000397,1,1728,16,16,18,1.0625,1,1591548,470016,470016,13824,3687552,3193856,93312,67392,27648,27648,1576110,98627244,1728,99.013073,2.338279,0.977756,4.589804,4.589804,4.60246,4.834638,6.479724,6.749712,59.677419,68,70.833333,2.338033,266.75,54.534551,1,1,5.75,3,93312,67392,158976,82944,58914,86480,82950,29.158756,21.059102,6.755962,6.480192,219456,219456,478656,368064,2626560,414720,0,0,0,0,3538944,2,2,1,3440960,11473920,0,52724736,5308416,4008960,12386304,0,0,0.644655,0,2.926555
"203",28672,0,0.000412,1,1792,16,16,18,1.0625,1,1652732,487424,487424,14336,3824128,3312128,96768,69888,28672,28672,1636480,102398920,1792,99.127894,2.339771,0.978132,4.59366,4.59366,4.629021,4.79587,6.485168,6.755383,59.677419,68,70.833333,2.337415,266.75,54.520131,1,1,5.75,3,96768,69888,164864,86016,61397,89680,86022,29.183255,21.076795,6.761415,6.48562,227584,227584,496384,381696,2723840,430080,0,0,0,0,3670016,2,2,1,3568384,11898880,0,54677504,5505024,4157440,12845056,0,0,0.643783,0,2.926547
"213",29696,0,0.000426,1,1856,16,16,18,1.0625,1,1710684,504832,504832,14848,3960704,3430400,100224,72384,29696,29696,1693239,105936448,1856,99.058705,2.337133,0.978459,4.59464,4.59464,4.603159,4.7506,6.48655,6.756823,59.677419,68,70.833333,2.339431,266.75,54.567134,1,1,5.75,3,100224,72384,170752,89088,63221,92824,89094,29.189476,21.081288,6.758571,6.486987,235712,235712,514112,395328,2821120,445440,0,0,0,0,3801088,2,2,1,3695808,12323840,0,56630272,5701632,4305920,13303808,0,0,0.644187,0,2.928995
"223",30720,0,0.000441,1,1920,16,16,18,1.0625,1,1768088,522240,522240,15360,4097280,3548672,103680,74880,30720,30720,1753004,109573770,1920,99.014719,2.33941,0.978617,4.595044,4.595044,4.633969,4.77855,6.487121,6.757417,59.677419,68,70.833333,2.337583,266.75,54.524006,1,1,5.75,3,103680,74880,176640,92160,65833,96024,92166,29.192043,21.083142,6.759107,6.487543,243840,243840,531840,408960,2918400,460800,0,0,0,0,3932160,2,2,1,3823232,12748800,0,58583040,5898240,4454400,13762560,0,0,0.644764,0,2.925722
"233",31744,0,0.000456,1,1984,16,16,18,1.0625,1,1825276,539648,539648,15872,4233856,3666944,107136,77376,31744,31744,1811621,113424952,1984,99.157095,2.338249,0.978914,4.597408,4.597408,4.626374,4.806982,6.490459,6.760894,59.677419,68,70.833333,2.337241,266.75,54.51602,1,1,5.75,3,107136,77376,182528,95232,67881,99284,95238,29.207064,21.093991,6.766619,6.490868,251968,251968,549568,422592,3015680,476160,0,0,0,0,4063232,2,2,1,3950656,13173760,0,60535808,6094848,4602880,14221312,0,0,0.645382,0,2.924704
"243",32768,0,0.000471,1,2048,16,16,18,1.0625,1,1882648,557056,557056,16384,4370432,3785216,110592,79872,32768,32768,1867561,116967272,2048,99.170569,2.335797,0.97861,4.597996,4.597996,4.663633,4.884579,6.491289,6.761759,59.677419,68,70.833333,2.339916,266.75,54.578392,1,1,5.75,3,110592,79872,188416,98304,70626,102480,98310,29.210801,21.096689,6.767042,6.491685,260096,260096,567296,436224,3112960,491520,0,0,0,0,4194304,2,2,1,4078080,13598720,0,62488576,6291456,4751360,14680064,0,0,0.645899,0,2.928456
"253",33792,0,0.000485,1,2112,16,16,18,1.0625,1,1941852,574464,574464,16896,4507008,3903488,114048,82368,33792,33792,1927825,120748236,2112,99.064055,2.34192,0.979141,4.59847,4.59847,4.661356,4.84156,6.491958,6.762456,59.677419,68,70.833333,2.338138,266.75,54.5369,1,1,5.75,3,114048,82368,194304,101376,72790,105680,101382,29.213809,21.098862,6.767579,6.492342,268224,268224,585024,449856,3210240,506880,0,0,0,0,4325376,2,2,1,4205504,14023680,0,64441344,6488064,4899840,15138816,0,0,0.645775,0,2.927665
"263",34816,0,0.000499,1,2176,16,16,18,1.0625,1,2001628,591872,591872,17408,4643584,4021760,117504,84864,34816,34816,1982721,124269884,2176,99.173603,2.33872,0.97878,4.598331,4.598331,4.676022,4.824257,6.491761,6.762251,59.677419,68,70.833333,2.342284,266.75,54.633607,1,1,5.75,3,117504,84864,200192,104448,75234,108824,104454,29.212925,21.098224,6.763743,6.492134,276352,276352,602752,463488,3307520,522240,0,0,0,0,4456448,2,2,1,4332928,14448640,0,66394112,6684672,5048320,15597568,0,0,0.645475,0,2.933075
"273",35840,0,0.000514,1,2240,16,16,18,1.0625,1,2059640,609280,609280,17920,4780160,4140032,120960,87360,35840,35840,2042655,128002640,2240,99.244521,2.34017,0.979132,4.602265,4.602265,4.687953,4.791709,6.497315,6.768036,59.677419,68,70.833333,2.338962,266.75,54.556102,1,1,5.75,3,120960,87360,206080,107520,77578,112168,107526,29.237917,21.116273,6.778188,6.497677,284480,284480,620480,477120,3404800,537600,0,0,0,0,4587520,2,2,1,4460352,14873600,0,68346880,6881280,5196800,16056320,0,0,0.645744,0,2.928207
"283",36864,0,0.000529,1,2304,16,16,18,1.0625,1,2118840,626688,626688,18432,4916736,4258304,124416,89856,36864,36864,2101350,131625122,2304,99.226828,2.339799,0.979403,4.601229,4.601229,4.67794,4.772859,6.495853,6.766514,59.677419,68,70.833333,2.341709,266.75,54.620178,1,1,5.75,3,124416,89856,211968,110592,79642,115224,110598,29.231339,21.111523,6.767923,6.496206,292608,292608,638208,490752,3502080,552960,0,0,0,0,4718592,2,2,1,4587776,15298560,0,70299648,7077888,5345280,16515072,0,0,0.645636,0,2.931761
