"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",256,0,1.412646,2.3456e-05,256,10.408451,"GeForce GTX 970 (0)",1,7
"48","[CUDA memcpy DtoH]",256,0,1.413539,2.1824e-05,256,11.186796,"GeForce GTX 970 (0)",1,7
"49","[CUDA memcpy HtoD]",512,0,1.400808,8.704e-05,1,11.219698,"GeForce GTX 970 (0)",1,7
"144","[CUDA memcpy DtoH]",512,0,1.40275,7.9328e-05,1,12.310439,"GeForce GTX 970 (0)",1,7
"145","[CUDA memcpy HtoD]",768,0,1.411794,0.000291391,2.25,7.540609,"GeForce GTX 970 (0)",1,7
"288","[CUDA memcpy DtoH]",768,0,1.41535,0.000337312,2.25,6.514045,"GeForce GTX 970 (0)",1,7
"289","[CUDA memcpy HtoD]",1024,0,1.399969,0.000609055,4,6.413624,"GeForce GTX 970 (0)",1,7
"480","[CUDA memcpy DtoH]",1024,0,1.405812,0.000583455,4,6.695032,"GeForce GTX 970 (0)",1,7
"481","[CUDA memcpy HtoD]",1280,0,1.417035,0.001008382,6.25,6.052781,"GeForce GTX 970 (0)",1,7
"720","[CUDA memcpy DtoH]",1280,0,1.425986,0.00094419,6.25,6.464288,"GeForce GTX 970 (0)",1,7
"721","[CUDA memcpy HtoD]",1536,0,1.408511,0.00151942,9,5.784485,"GeForce GTX 970 (0)",1,7
"1008","[CUDA memcpy DtoH]",1536,0,1.421498,0.001504476,9,5.841943,"GeForce GTX 970 (0)",1,7
"1009","[CUDA memcpy HtoD]",1792,0,1.396808,0.002058171,12.25,5.812389,"GeForce GTX 970 (0)",1,7
"1344","[CUDA memcpy DtoH]",1792,0,1.414921,0.001979003,12.25,6.044908,"GeForce GTX 970 (0)",1,7
"1345","[CUDA memcpy HtoD]",2048,0,1.405117,0.002375002,16,6.578942,"GeForce GTX 970 (0)",1,7
"1728","[CUDA memcpy DtoH]",2048,0,1.429256,0.002113691,16,7.392282,"GeForce GTX 970 (0)",1,7
"1729","[CUDA memcpy HtoD]",2304,0,1.417598,0.003286871,20.25,6.016479,"GeForce GTX 970 (0)",1,7
"2160","[CUDA memcpy DtoH]",2304,0,1.449943,0.002961464,20.25,6.677573,"GeForce GTX 970 (0)",1,7
"2161","[CUDA memcpy HtoD]",2560,0,1.401347,0.003843509,25,6.352024,"GeForce GTX 970 (0)",1,7
"2640","[CUDA memcpy DtoH]",2560,0,1.442832,0.003031448,25,8.053598,"GeForce GTX 970 (0)",1,7
"2641","[CUDA memcpy HtoD]",2816,0,1.392588,0.004424147,30.25,6.677223,"GeForce GTX 970 (0)",1,7
"3168","[CUDA memcpy DtoH]",2816,0,1.445036,0.003592629,30.25,8.222674,"GeForce GTX 970 (0)",1,7
"3169","[CUDA memcpy HtoD]",3072,0,1.419938,0.005002962,36,7.027087,"GeForce GTX 970 (0)",1,7
"3744","[CUDA memcpy DtoH]",3072,0,1.485475,0.003266295,36,10.763342,"GeForce GTX 970 (0)",1,7
"3745","[CUDA memcpy HtoD]",3328,0,1.455493,0.00663486,42.25,6.218634,"GeForce GTX 970 (0)",1,7
"4368","[CUDA memcpy DtoH]",3328,0,1.537075,0.00475045,42.25,8.685444,"GeForce GTX 970 (0)",1,7
"4369","[CUDA memcpy HtoD]",3584,0,1.425974,0.006891306,49,6.943758,"GeForce GTX 970 (0)",1,7
"5040","[CUDA memcpy DtoH]",3584,0,1.524161,0.004643601,49,10.304839,"GeForce GTX 970 (0)",1,7
"5041","[CUDA memcpy HtoD]",3840,0,1.418286,0.007309733,56.25,7.514863,"GeForce GTX 970 (0)",1,7
"5760","[CUDA memcpy DtoH]",3840,0,1.5367,0.005006254,56.25,10.972604,"GeForce GTX 970 (0)",1,7
"5761","[CUDA memcpy HtoD]",4096,0,1.405363,0.006905913,64,9.050215,"GeForce GTX 970 (0)",1,7
"6528","[CUDA memcpy DtoH]",4096,0,1.536533,0.005210307,64,11.995454,"GeForce GTX 970 (0)",1,7
"6529","[CUDA memcpy HtoD]",4352,0,1.450855,0.011423,72.25,6.17667,"GeForce GTX 970 (0)",1,7
"7344","[CUDA memcpy DtoH]",4352,0,1.619338,0.006269876,72.25,11.253275,"GeForce GTX 970 (0)",1,7
"7345","[CUDA memcpy HtoD]",4608,0,1.472623,0.012641,81,6.25743,"GeForce GTX 970 (0)",1,7
"8208","[CUDA memcpy DtoH]",4608,0,1.668235,0.013832,81,5.718909,"GeForce GTX 970 (0)",1,7
"8209","[CUDA memcpy HtoD]",4864,0,1.454765,0.014615,90.25,6.030367,"GeForce GTX 970 (0)",1,7
"9120","[CUDA memcpy DtoH]",4864,0,1.681217,0.007531433,90.25,11.702257,"GeForce GTX 970 (0)",1,7
"9121","[CUDA memcpy HtoD]",5120,0,1.484294,0.01536,100,6.357893,"GeForce GTX 970 (0)",1,7
"10080","[CUDA memcpy DtoH]",5120,0,1.740131,0.008394525,100,11.633326,"GeForce GTX 970 (0)",1,7
"10081","[CUDA memcpy HtoD]",5376,0,1.388052,0.013689,110.25,7.864906,"GeForce GTX 970 (0)",1,7
"11088","[CUDA memcpy DtoH]",5376,0,1.669653,0.009029108,110.25,11.924325,"GeForce GTX 970 (0)",1,7
"11089","[CUDA memcpy HtoD]",5632,0,1.488856,0.018914,121,6.247455,"GeForce GTX 970 (0)",1,7
"12144","[CUDA memcpy DtoH]",5632,0,1.82101,0.010111,121,11.686514,"GeForce GTX 970 (0)",1,7
"12145","[CUDA memcpy HtoD]",5888,0,1.523304,0.01967,132.25,6.565929,"GeForce GTX 970 (0)",1,7
"13248","[CUDA memcpy DtoH]",5888,0,1.890746,0.011163,132.25,11.569696,"GeForce GTX 970 (0)",1,7
"13249","[CUDA memcpy HtoD]",6144,0,1.480262,0.015777,144,8.913343,"GeForce GTX 970 (0)",1,7
"14400","[CUDA memcpy DtoH]",6144,0,1.892247,0.011949,144,11.76857,"GeForce GTX 970 (0)",1,7
"14401","[CUDA memcpy HtoD]",6400,0,1.53195,0.022833,156.25,6.682852,"GeForce GTX 970 (0)",1,7
"15600","[CUDA memcpy DtoH]",6400,0,1.986179,0.012867,156.25,11.859104,"GeForce GTX 970 (0)",1,7
"15601","[CUDA memcpy HtoD]",6656,0,1.436406,0.020972,169,7.869484,"GeForce GTX 970 (0)",1,7
"16848","[CUDA memcpy DtoH]",6656,0,1.957253,0.01379,169,11.967982,"GeForce GTX 970 (0)",1,7
"16849","[CUDA memcpy HtoD]",6912,0,1.44409,0.018118,182.25,9.82331,"GeForce GTX 970 (0)",1,7
"18144","[CUDA memcpy DtoH]",6912,0,2.008759,0.014946,182.25,11.907818,"GeForce GTX 970 (0)",1,7
"18145","[CUDA memcpy HtoD]",7168,0,1.458506,0.023712,196,8.072224,"GeForce GTX 970 (0)",1,7
"19488","[CUDA memcpy DtoH]",7168,0,2.082252,0.016044,196,11.930197,"GeForce GTX 970 (0)",1,7
"19489","[CUDA memcpy HtoD]",7424,0,1.507276,0.023067,210.25,8.901095,"GeForce GTX 970 (0)",1,7
"20880","[CUDA memcpy DtoH]",7424,0,2.192039,0.017211,210.25,11.929684,"GeForce GTX 970 (0)",1,7
"20881","[CUDA memcpy HtoD]",7680,0,1.519439,0.033748,225,6.510851,"GeForce GTX 970 (0)",1,7
"22320","[CUDA memcpy DtoH]",7680,0,2.282657,0.018418,225,11.929822,"GeForce GTX 970 (0)",1,7
"22321","[CUDA memcpy HtoD]",7936,0,1.488103,0.035482,240.25,6.612264,"GeForce GTX 970 (0)",1,7
"23808","[CUDA memcpy DtoH]",7936,0,2.319764,0.019451,240.25,12.061752,"GeForce GTX 970 (0)",1,7
"23809","[CUDA memcpy HtoD]",8192,0,1.530466,0.025072,256,9.971354,"GeForce GTX 970 (0)",1,7
"25344","[CUDA memcpy DtoH]",8192,0,2.419234,0.020683,256,12.087203,"GeForce GTX 970 (0)",1,7
