"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.012115,125,1,128,1,64,7200,8,"284061612",782132,0,500,43657632,39009743,4429152,45940,107956,35152,246484948,4400859660,125,"86.680446",0.1771,0.278976,1.438113,634.079708,0,53.196289,2.476874,5.325191,143.239921,27.005847,25,0.177123,87315.264,4.192276,1.043651,5.639182,18.186947,25,4622488,259064,1963390,878800,0,1890644,878806,52.113426,2.920659,5.328729,2.476891,2353396,2353396,5087070,4646064,0,0,1142472000,175776000,131836000,417430000,0,1,1,1,41334749,21970000,725042000,77870508,57552580,115581532,71482680,0,0,"0.000000","50.273953",0.169366
"11",6,0,0.022124,216,1,128,1,64,7200,8,"516080424",1458176,0,864,81388928,72723387,8257536,85376,200928,65536,457433548,12946447194,216,"88.523361",0.177721,0.441806,1.471773,650.097129,2.979082,27.887834,2.539442,5.449037,143.263144,27.009776,25,0.177931,94200.148148,4.21142,1.043651,5.636432,18.182513,25,8617984,481216,3653376,1638400,1877,3515791,1638406,53.429858,2.983447,5.449308,2.539451,4386624,4386624,9482496,8661120,0,0,2129975296,327707648,245787648,778240000,0,1,1,1,77057418,40960000,1351735296,145124768,107281984,215469824,133240576,0,0,"0.000000","51.590198",0.170656
"17",7,0,0.037407,343,1,128,1,64,7200,8,"882941156",2441804,0,1372,136285600,121774930,13827744,142668,336092,109744,765590869,22469732968,343,"84.325314",0.17806,0.458625,1.416577,626.460821,34.228379,36.089769,2.447113,5.24418,143.278367,27.012359,25,0.178184,99333.527697,4.217402,1.043651,5.63462,18.1796,25,14431336,803880,6110018,2743600,37476,5880810,2743606,51.487249,2.868034,5.2453,2.447118,7344620,7344620,15877218,14502672,0,0,3566767808,548763904,411583904,1303210000,0,1,1,1,129031699,68590000,2263557808,242961028,179631772,360799908,223087688,0,0,"0.000000","50.495548",0.170861
"23",8,0,0.056912,512,1,128,1,64,7200,8,"1320013396",3790688,0,2048,211565952,189038933,21466368,221152,521344,170368,1188051138,36340476202,512,"89.910501",0.178169,0.477891,1.434353,634.854762,61.706356,34.714893,2.479901,5.30963,143.289105,27.014185,25,0.178247,103303.6875,4.218911,1.043651,5.633338,18.177541,25,22403392,1245824,9476752,4259200,103496,9119375,4259206,52.177126,2.901503,5.309718,2.479905,11400736,11400736,24646032,22513152,0,0,5537091072,851905536,638945536,2023120000,0,1,1,1,200303671,106480000,3513971072,377111040,278842528,560091424,346289472,0,0,"0.000000","52.434042",0.170961
"29",9,0,0.079104,729,1,128,1,64,7200,8,"1839349164",5562500,0,2916,310448288,277392845,31500000,324164,764580,250000,1741026677,54044978594,729,"94.017728",0.178313,0.484959,1.553146,687.862209,75.264232,35.909268,2.686962,5.749084,143.297081,27.015542,25,0.178328,106463.747599,4.220833,1.043651,5.632384,18.17601,25,32875000,1825816,13897014,6250000,170965,13374244,6250006,56.533675,3.139775,5.749773,2.686964,16728324,16728324,36163734,33034992,0,0,8125186624,1250093312,937593312,2968750000,0,1,1,1,293921631,156250000,5156436624,553306556,409154836,821864012,508111384,0,0,"0.000000","55.217810",0.171029
"35",10,0,0.108598,1000,1,128,1,64,7200,8,"2522211688",7814912,0,4000,436150912,389711106,44255232,455040,1073696,351232,2445085055,76962366578,1000,"97.098724",0.17839,0.491855,1.592814,705.770231,76.829031,34.268694,2.756915,5.895689,143.303236,27.016591,25,0.17838,109037.728,4.222066,1.043651,5.631646,18.174828,25,46187008,2562624,19514240,8780800,238966,18779079,8780806,58.005491,3.218357,5.896083,2.756917,23500736,23500736,50805120,46410624,0,0,11415296000,1756288000,1317248000,4170880000,0,1,1,1,412932445,219520000,7244416000,777279328,574809280,1154637312,713818880,0,0,"0.000000","56.573840",0.171081
"41",11,0,0.146715,1331,1,128,1,64,7200,8,"3394200000",10605596,0,5324,591892128,528869925,60058656,617116,1456588,476656,3319564024,104637409762,1331,"98.182044",0.178304,0.492613,1.577719,699.349366,75.111216,33.25284,2.731833,5.839635,143.308129,27.017426,25,0.178314,111174.329076,4.220512,1.043651,5.631058,18.173887,25,62680264,3475016,26471866,11916400,319960,25472942,11916406,57.477776,3.186588,5.839669,2.731835,31891324,31891324,68944986,62982480,0,0,15491660736,2383450368,1787630368,5660290000,0,1,1,1,560382074,297910000,9831370736,1054761108,780046444,1566930964,968677416,0,0,"0.000000","57.051959",0.171006
"47",12,0,0.188481,1728,1,128,1,64,7200,8,"4470994072",13992224,0,6912,780890240,697744831,79236864,813728,1921152,628864,4377489226,138622599964,1728,"98.343214",0.178395,0.49474,1.605391,711.837493,75.566446,33.336684,2.780615,5.94191,143.312111,27.018106,25,0.178366,112976.018519,4.221742,1.043651,5.630579,18.173121,25,82695616,4581760,34913328,15721600,417239,33595711,15721606,58.504144,3.241429,5.941936,2.780616,42073440,42073440,90958128,83092992,0,0,20438522368,3144541184,2358461184,7467760000,0,1,1,1,739318603,393040000,12970762368,1391483648,1029106912,2067264608,1277952448,0,0,"0.000000","57.141997",0.171055
"53",13,0,0.237334,2197,1,128,1,64,7200,8,"5699033668",18032468,0,8788,1006363552,899211137,102116448,1048212,2475284,810448,5640688127,178805441454,2197,"98.745264",0.178392,0.495262,1.609827,713.98898,75.182463,32.574857,2.789019,5.958203,143.315415,27.01867,25,0.178402,114515.652253,4.222596,1.043651,5.630182,18.172485,25,106573912,5901624,44982062,20261200,533372,43286724,20261206,58.680969,3.24951,5.958557,2.78902,54220436,54220436,117219342,107084592,0,0,26340122432,4052521216,3039461216,9624070000,0,1,1,1,952788623,506530000,16716052432,1793178700,1326231268,2664157884,1646909432,0,0,"0.000000","57.773221",0.171084
"59",14,0,0.295625,2744,1,128,1,64,7200,8,"7212730260",22784000,0,10976,1271530368,1136145738,129024000,1323904,3126880,1024000,7126931475,226575581516,2744,"98.910949",0.178412,0.496775,1.489617,660.817536,70.810212,29.72223,2.581319,5.51319,143.3182,27.019146,25,0.178412,115846.425656,4.222852,1.043651,5.629846,18.171949,25,134656000,7453376,56821504,25600000,685795,54679103,25600006,54.310941,3.006178,5.513445,2.581319,68505664,68505664,148103424,135299712,0,0,33280702464,5120351232,3840351232,1.216e+10,0,1,1,1,1203839076,6.4e+08,21120702464,2265578016,1675660096,3366130432,2080813824,0,0,"0.000000","57.677019",0.171094
