"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",8192,0,0.444904,5e-06,32.003906,6.316495,"GeForce GTX 980 (0)",1,7
"2","[CUDA memcpy HtoD]",8192,0,0.445078,9.6e-05,544.066406,5.404645,"GeForce GTX 980 (0)",1,7
"4","[CUDA memcpy DtoH]",8192,0,0.445356,8e-06,32,3.86103,"GeForce GTX 980 (0)",1,7
"5","[CUDA memcpy HtoD]",8192,0,0.446046,1e-06,0.066406,0.049477,"GeForce GTX 980 (0)",1,7
"6","[CUDA memcpy HtoD]",8192,0,0.446191,6.6e-05,544.066406,7.81019,"GeForce GTX 980 (0)",1,7
"7","[CUDA memcpy HtoD]",8192,0,0.446383,9.7e-05,544.066406,5.34937,"GeForce GTX 980 (0)",1,7
"9","[CUDA memcpy DtoH]",8192,0,0.446522,8e-06,32.003906,3.877198,"GeForce GTX 980 (0)",1,7
"10","[CUDA memcpy DtoH]",8192,0,0.446559,9.6e-05,544.066406,5.404645,"GeForce GTX 980 (0)",1,7
"11","[CUDA memcpy HtoD]",9216,0,0.263914,5e-06,36.003906,6.463856,"GeForce GTX 980 (0)",1,7
"12","[CUDA memcpy HtoD]",9216,0,0.26407,9.8e-05,612.066406,5.972639,"GeForce GTX 980 (0)",1,7
"14","[CUDA memcpy DtoH]",9216,0,0.264222,8e-06,36,4.274437,"GeForce GTX 980 (0)",1,7
"15","[CUDA memcpy HtoD]",9216,0,0.264607,1e-06,0.066406,0.049477,"GeForce GTX 980 (0)",1,7
"16","[CUDA memcpy HtoD]",9216,0,0.264759,7.4e-05,612.066406,7.872362,"GeForce GTX 980 (0)",1,7
"17","[CUDA memcpy HtoD]",9216,0,0.26495,0.000107,612.066406,5.436757,"GeForce GTX 980 (0)",1,7
"19","[CUDA memcpy DtoH]",9216,0,0.26516,8e-06,36.003906,4.111111,"GeForce GTX 980 (0)",1,7
"20","[CUDA memcpy DtoH]",9216,0,0.265198,0.000104,612.066406,5.621101,"GeForce GTX 980 (0)",1,7
"21","[CUDA memcpy HtoD]",10240,0,0.266252,6e-06,40.003906,6.549476,"GeForce GTX 980 (0)",1,7
"22","[CUDA memcpy HtoD]",10240,0,0.266471,0.000119,680.066406,5.46277,"GeForce GTX 980 (0)",1,7
"24","[CUDA memcpy DtoH]",10240,0,0.266652,9e-06,40,4.153634,"GeForce GTX 980 (0)",1,7
"25","[CUDA memcpy HtoD]",10240,0,0.267251,1e-06,0.066406,0.049477,"GeForce GTX 980 (0)",1,7
"26","[CUDA memcpy HtoD]",10240,0,0.267435,8.4e-05,680.066406,7.747352,"GeForce GTX 980 (0)",1,7
"27","[CUDA memcpy HtoD]",10240,0,0.267679,0.000121,680.066406,5.372982,"GeForce GTX 980 (0)",1,7
"29","[CUDA memcpy DtoH]",10240,0,0.26785,1e-05,40.003906,3.934684,"GeForce GTX 980 (0)",1,7
"30","[CUDA memcpy DtoH]",10240,0,0.267891,0.00012,680.066406,5.385832,"GeForce GTX 980 (0)",1,7
"31","[CUDA memcpy HtoD]",11264,0,0.264429,6e-06,44.003906,6.656947,"GeForce GTX 980 (0)",1,7
"32","[CUDA memcpy HtoD]",11264,0,0.264653,0.000127,748.066406,5.628228,"GeForce GTX 980 (0)",1,7
"34","[CUDA memcpy DtoH]",11264,0,0.264845,1e-05,44,4.327284,"GeForce GTX 980 (0)",1,7
"35","[CUDA memcpy HtoD]",11264,0,0.26546,1e-06,0.066406,0.049477,"GeForce GTX 980 (0)",1,7
"36","[CUDA memcpy HtoD]",11264,0,0.265656,9.2e-05,748.066406,7.719402,"GeForce GTX 980 (0)",1,7
"37","[CUDA memcpy HtoD]",11264,0,0.265917,0.000133,748.066406,5.38229,"GeForce GTX 980 (0)",1,7
"39","[CUDA memcpy DtoH]",11264,0,0.266104,1e-05,44.003906,4.285244,"GeForce GTX 980 (0)",1,7
"40","[CUDA memcpy DtoH]",11264,0,0.266147,0.000127,748.066406,5.619716,"GeForce GTX 980 (0)",1,7
"41","[CUDA memcpy HtoD]",12288,0,0.264712,7e-06,48.003906,6.654083,"GeForce GTX 980 (0)",1,7
"42","[CUDA memcpy HtoD]",12288,0,0.264925,0.000137,816.066406,5.661072,"GeForce GTX 980 (0)",1,7
