"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"38177",3072,0,0.000975228,768,768,4,4,13,0,4,16921521,2451645,817215,589824,9463580,6899349,1282503,0,0,153906,51302,15644414,123110612,589824,92.492827,0.604918,0.123071,4.003829,2.667253,2.691984,2.753344,10.66605,12.029158,0,33.284368,25.006946,0.604659,16.044752,13.068028,0,0,5.977226,7.962536,0,0,919931,408494,103099,460930,408500,0,0,12.035189,10.666207,814694,814694,1936296,1731992,1634430,0,0,0,0,0,0,0,1,1,8182160,817215,0,90093702,9437184,3268860,44113080,0,0,0.03773,0,0.630707
"52739",3584,0,0.001323675,896,896,4,4,13,0,4,23101750,871560,290520,802816,10365791,7081348,1642767,0,0,55080,18360,20670300,127289754,802816,89.660513,0.501122,0.09627,1.22704,0.816513,0.837131,0.891295,4.075211,4.709333,0,26.055497,20.036083,0.501836,12.911789,10.557835,0,0,6.770806,9.871895,0,0,372936,181248,37232,209682,181254,0,0,4.714526,4.075346,942136,942136,1993892,1920992,581040,0,0,0,0,0,0,0,1,1,8724111,290520,0,93676244,12845056,1162080,55526590,0,0,0.009825,0,0.460693
"12325",1792,0,0.000352222,448,448,4,4,13,0,4,6080187,3121197,1040399,200704,5141519,4077677,532220,0,0,195840,65280,5702013,81958998,200704,93.806848,0.897359,0.224589,16.588007,11.051452,11.18063,11.39775,44.194972,49.828966,0,33.289888,25.006129,0.900829,25.617422,20.189776,0,0,5.97981,7.966789,0,0,1171086,520072,131570,586602,520078,0,0,49.848596,44.195482,380224,380224,1151108,891008,2080798,0,0,0,0,0,0,0,2,1,4610226,1040399,0,53353134,3211264,4161596,17536532,0,0,0.133682,0,1.039585
"58439",3840,0,0.001572827,960,960,4,4,13,0,4,26781578,7031880,2343960,921600,17632527,13357933,2137759,0,0,441216,147072,24584619,252307576,921600,92.003221,0.717409,0.160502,8.453675,5.632105,5.687812,5.739751,28.142745,32.419547,0,26.075857,20.012636,0.717118,19.132516,15.754514,0,0,6.811195,9.954648,0,0,3005208,1464050,295893,1686779,1464056,0,0,32.42416,28.142861,1436352,1436352,3753604,3166848,4687920,0,0,0,0,0,0,0,1,1,15495859,2343960,0,174083220,14745600,9375840,73075230,0,0,0.068376,0,0.782485
"37569",3072,0,0.000998524,768,768,4,4,13,0,4,17170122,4377789,1459263,589824,11175708,8450484,1362914,0,0,274518,91506,15874232,158576380,589824,93.260012,0.700154,0.155734,8.275844,5.514188,5.554246,5.626738,22.05217,24.854883,0,33.296653,25.005192,0.645131,18.94753,14.161346,0,0,5.982941,7.971936,0,0,1642425,729480,183733,822264,729486,0,0,24.857029,22.052352,913266,913266,2374360,2009544,2918526,0,0,0,0,0,0,0,1,1,9813699,1459263,0,110168038,9437184,5837052,46622600,0,0,0.066397,0,0.739434
"48787",3584,0,0.001615098,896,896,4,4,13,0,4,27448348,18975672,6325224,802816,25614583,20818333,2398423,0,0,1188810,396270,26682047,508460414,802816,97.215975,0.95881,0.297754,22.233244,14.816272,15.146946,15.096893,74.05284,85.249526,0,26.080197,20.007703,0.960897,31.90592,21.773147,0,0,6.81984,9.97235,0,0,8107494,3951743,808299,4549472,3951749,0,0,85.253854,74.052952,1762670,1762670,5900444,4317880,12650448,0,0,0,0,0,0,0,2,1,23216756,6325224,0,273891396,12845056,25300896,75723286,0,0,0.180032,0,1.10774
"57331",3840,0,0.001710906,960,960,4,4,13,0,4,29268429,13041672,4347224,921600,22578038,17802122,2388581,0,0,817449,272483,27647646,403148022,921600,94.537858,0.817957,0.228527,14.352681,9.563869,9.702363,9.748598,47.568369,55.054141,0,26.07012,20.105522,0.815941,24.498739,18.240719,0,0,6.815169,9.918986,0,0,5571053,2702755,551272,3128155,2702761,0,0,55.055391,47.568475,1694243,1694243,5019216,3933452,8694448,0,0,0,0,0,0,0,1,1,20190219,4347224,0,232790600,14745600,17388896,79332660,0,0,0.116039,0,0.938696
"6801",1280,0,0.00017888,320,320,4,4,13,0,4,3011390,607497,202499,102400,1813327,1352456,230805,0,0,38646,12882,2701263,27017508,102400,93.002717,0.671289,0.155971,6.304662,4.190698,4.294442,4.900223,25.125604,24.245491,0,26.003442,16.678994,0.619398,17.708271,13.514562,0,0,7.559929,11.780935,0,0,292161,151762,25939,146517,151768,0,0,24.257246,25.126598,151442,151442,379724,328648,404998,0,0,0,0,0,0,0,1,1,1583105,202499,0,17557690,1638400,809996,7905090,0,0,0.052535,0,0.591154
"7059",1280,0,0.000169599,320,320,4,4,13,0,4,2981100,309120,103040,102400,1533360,1097783,218335,0,0,19680,6560,2646446,19541450,102400,88.979679,0.579056,0.115474,3.378841,2.245587,2.32631,3.038516,11.174236,13.041142,0,25.909091,20.096112,0.577952,14.974219,12.392894,0,0,6.727642,9.770122,0,0,132400,64092,13343,75031,64098,0,0,13.081416,11.175282,134560,134560,307840,282240,206080,0,0,0,0,0,0,0,1,1,1316102,103040,0,14346880,1638400,412160,7475520,0,0,0.027003,0,0.539344
"43101",3328,0,0.001269435,832,832,4,4,13,0,4,21335092,9419949,3139983,692224,16653879,13098308,1778080,0,0,590076,196692,20340933,273282100,692224,94.836041,0.823209,0.210556,14.172736,9.444938,9.534915,9.54726,37.774423,42.55017,0,33.308294,25.003528,0.818766,24.058511,18.283807,0,0,5.988361,7.980853,0,0,3533588,1569770,396237,1768464,1569776,0,0,42.555729,37.774567,1257492,1257492,3693364,2908368,6279966,0,0,0,0,0,0,0,1,1,14876387,3139983,0,171257742,11075584,12559932,59228324,0,0,0.11498,0,0.965259
"12607",1792,0,0.000340831,448,448,4,4,13,0,4,5825251,2317920,772640,200704,4500144,3502943,498890,0,0,145860,48620,5408963,63668296,200704,92.857162,0.830241,0.18378,11.006076,7.32905,7.402052,7.591766,36.571562,42.179522,0,26.093412,20.040296,0.831278,22.421795,18.478352,0,0,6.791094,9.912155,0,0,990549,481929,97542,556060,481935,0,0,42.197052,36.572018,347884,347884,986608,793008,1545280,0,0,0,0,0,0,0,1,1,4001830,772640,0,45665532,3211264,3090560,16763570,0,0,0.103622,0,0.910502
"27535",2560,0,0.000675645,640,640,4,4,13,0,4,11769913,332664,110888,409600,5148020,3481496,833713,0,0,21165,7055,10524202,63008058,409600,93.613581,0.432383,0.092749,0.918277,0.610358,0.628191,0.774429,3.03118,3.534226,0,25.98242,20.135973,0.489218,12.568408,10.250328,0,0,6.721569,9.757193,0,0,142262,68837,14266,80492,68843,0,0,3.544398,3.031444,469775,469775,981216,953660,221776,0,0,0,0,0,0,0,1,1,4315061,110888,0,46227864,6553600,443552,28024796,0,0,0.00736,0,0.443408
"8413",1536,0,0.000367198,384,384,4,4,13,0,4,6288754,4191369,1397123,147456,5252160,4310785,470979,0,0,263736,87912,6165027,152136198,147456,98.062908,0.851928,0.387678,18.081251,12.040588,12.141774,12.309931,72.141749,69.345407,0,26.074187,16.690181,0.840876,35.61849,19.137,0,0,7.620097,11.902425,0,0,2009694,1046366,176108,1005878,1046372,0,0,69.350302,72.142163,349032,349032,1224352,873888,2794246,0,0,0,0,0,0,0,2,1,4781760,1397123,0,56740274,2359296,5588492,14461158,0,0,0.173564,0,0.855732
"36467",3072,0,0.001097019,768,768,4,4,13,0,4,18507192,9282240,3094080,589824,15200064,12064868,1567980,0,0,582120,194040,17414426,263886246,589824,94.445113,0.873075,0.237931,16.151055,10.761253,10.837324,10.900068,53.752038,61.904725,0,26.090181,20.020178,0.870298,25.770508,19.51313,0,0,6.812168,9.955942,0,0,3965499,1931851,389494,2225090,1931857,0,0,61.911152,53.752205,1121784,1121784,3406048,2631648,6188160,0,0,0,0,0,0,0,2,1,13632682,3094080,0,157859292,9437184,12376320,51642210,0,0,0.130611,0,1.056475
"50993",3584,0,0.001366266,896,896,4,4,13,0,4,25014906,5981229,1993743,802816,15229807,11518951,1855968,0,0,374886,124962,23042341,209729454,802816,92.977925,0.706229,0.152209,8.143638,5.426531,5.479162,5.506358,21.702281,24.453958,0,33.301924,25.004427,0.706994,18.970483,15.521072,0,0,5.985401,7.975985,0,0,2243843,996695,251635,1123195,996701,0,0,24.456723,21.702412,1244066,1244066,3236492,2738056,3987486,0,0,0,0,0,0,0,1,1,13374918,1993743,0,150185534,12845056,7974972,63486604,0,0,0.062267,0,0.766424
"37685",3072,0,0.000991707,768,768,4,4,13,0,4,17112225,3967497,1322499,589824,10833408,8141277,1346353,0,0,249696,83232,15854457,147973468,589824,92.663568,0.683588,0.14581,6.455507,4.298689,4.338802,4.409037,25.754785,24.758567,0,26.073833,16.690835,0.68337,18.367188,14.961012,0,0,7.618808,11.899726,0,0,1902386,990438,166855,952358,990444,0,0,24.764574,25.754941,894240,894240,2286720,1954944,2644998,0,0,0,0,0,0,0,1,1,9487949,1322499,0,105995634,9437184,5289996,46129542,0,0,0.060378,0,0.781355
"3245",1024,0,0.000259744,256,256,4,4,13,0,4,4434825,2684745,894915,65536,2951303,2463630,244133,0,0,169218,56406,4369980,124991960,65536,98.543434,0.724756,0.455596,18.594554,12.378926,12.552953,12.814554,74.247415,71.388178,0,26.047105,16.672535,0.699938,45.03331,16.050535,0,0,7.615543,11.895011,0,0,1288687,670950,113437,645343,670956,0,0,71.413741,74.248079,182614,182614,702716,478040,1789830,0,0,0,0,0,0,0,2,1,2708090,894915,0,32594586,1048576,3579660,7023634,0,0,0.15765,0,0.70734
"13057",1792,0,0.000331422,448,448,4,4,13,0,4,5802374,1283145,427715,200704,3631920,2720959,455944,0,0,81180,27060,5271058,48212062,200704,90.816232,0.683431,0.142958,7.179539,4.776625,4.847082,5.090093,28.586822,27.545896,0,26.063914,16.709184,0.689628,18.095902,15.076988,0,0,7.582853,11.824464,0,0,615576,319970,54253,308550,319976,0,0,27.566534,28.587358,301236,301236,764176,656592,855430,0,0,0,0,0,0,0,1,1,3177037,427715,0,35374482,3211264,1710860,15612470,0,0,0.057589,0,0.700063
"26243",2560,0,0.000682781,640,640,4,4,13,0,4,11774385,2875320,958440,409600,7624695,5745312,939994,0,0,180810,60270,10858494,105834840,409600,92.237362,0.701681,0.152213,7.905581,5.265011,5.33638,5.420054,26.299039,30.32489,0,26.06961,20.019785,0.700894,18.614978,15.362307,0,0,6.798772,9.929202,0,0,1229286,598433,121429,690112,598439,0,0,30.32801,26.299303,626670,626670,1613980,1373880,1916880,0,0,0,0,0,0,0,1,1,6685628,958440,0,74828868,6553600,3833760,32179222,0,0,0.063594,0,0.773287
"56369",3840,0,0.001896345,960,960,4,4,13,0,4,32174042,19753065,6584355,921600,27855516,22517985,2669059,0,0,1238418,412806,31104093,596219182,921600,96.610646,0.895558,0.299131,19.74283,13.155052,13.505818,13.579949,78.879066,75.697936,0,26.081068,16.677495,0.894012,30.225169,20.208783,0,0,7.645155,11.954913,0,0,9467897,4935060,844990,4736104,4935066,0,0,75.699071,78.879161,1950726,1950726,6375720,4727064,13168710,0,0,0,0,0,0,0,2,1,25187041,6584355,0,295710210,14745600,26337420,85263390,0,0,0.159881,0,1.03258
"3709",1024,0,0.000184384,256,256,4,4,13,0,4,3011179,1529385,509795,65536,2083623,1692693,195759,0,0,96660,32220,2899425,76539756,65536,96.589389,0.684026,0.39467,15.626047,10.397954,10.580318,11.001462,62.358641,60.02122,0,26.034205,16.67444,0.751713,31.793564,17.028245,0,0,7.599069,11.861204,0,0,734526,382168,64842,368083,382174,0,0,60.060381,62.35962,143580,143580,479764,351600,1019590,0,0,0,0,0,0,0,2,1,1888414,509795,0,22167114,1048576,2039180,6163610,0,0,0.132266,0,0.750031
"59517",3840,0,0.001522107,960,960,4,4,13,0,4,26448570,2952189,984063,921600,13952832,10019516,1966949,0,0,185256,61752,23648568,180098706,921600,90.215964,0.589845,0.118994,3.605916,2.402331,2.422878,2.467739,9.606891,10.832255,0,33.288696,25.006327,0.589974,15.139792,12.670206,0,0,5.97924,7.965847,0,0,1107690,491907,124060,554881,491913,0,0,10.836766,9.607008,1221432,1221432,2812384,2566368,1968126,0,0,0,0,0,0,0,1,1,11986476,984063,0,131104438,14745600,3936252,67576352,0,0,0.029068,0,0.59808
"41619",3328,0,0.001402586,832,832,4,4,13,0,4,23868546,18945504,6315168,692224,24049852,19698490,2175980,0,0,1186920,395640,23276454,490257570,692224,97.630815,1.02934,0.328882,25.494679,16.989695,17.411491,17.332267,84.524611,97.815768,0,26.063977,20.100293,1.025533,34.742875,23.31869,0,0,6.819577,9.926413,0,0,8094292,3927286,808994,4544907,3927292,0,0,97.817296,84.52474,1610360,1610360,5589536,4012000,12630336,0,0,0,0,0,0,0,2,1,21874795,6315168,0,259782048,11075584,25260672,67334864,0,0,0.206704,0,1.144723
"33997",3072,0,0.001518809,768,768,4,4,13,0,4,26170378,26892105,8964035,589824,28492935,23886732,2303402,0,0,1685250,561750,26072767,738336910,589824,99.599081,1.092401,0.441873,32.972995,21.972213,23.049144,23.162308,131.818604,126.45764,0,26.07434,16.668522,1.092847,48.307521,25.11254,0,0,7.650444,11.966672,0,0,12892911,6722278,1175424,6449123,6722284,0,0,126.462248,131.818722,1726806,1726806,6821116,4577112,17928070,0,0,0,0,0,0,0,3,1,26190455,8964035,0,317690522,9437184,35856140,65098770,0,0,0.267598,0,1.143277
