"","X","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"11",108,18432,0,0.000100544,1,1152,16,16,21,0,2,814842,2064464,589856,9216,479257,921403,0,0,64517,18434,786849,48207860,1152,96.143547,0.611751,0.958679,45.272689,21.950142,23.938194,25.097445,27.437975,64.47951,0,70.21252,79.999132,1.390214,52.002713,32.079331,0,0,1.446394,1.999892,0,0,93317,36866,80410,216733,92166,0,0,64.521784,27.437975,36864,36864,150471,97924,0,0,2654320,294928,1179680,589856,0,1,3,1,1005261,0,2064464,5308496,589808,2654320,2064400,0,0,0,20.359162,11.471942
"12",118,19456,0,0.000106145,1,1216,16,16,21,0,2,858810,2179152,622624,9728,505881,972408,0,0,68101,19458,826079,50858180,1216,96.165275,0.612538,0.960954,45.412012,22.017705,24.013297,25.168103,27.522414,64.677928,0,70.212533,79.999178,1.39167,52.00257,32.11368,0,0,1.446396,1.999897,0,0,98501,38914,84882,228719,97291,0,0,64.705087,27.523829,38912,38912,158241,103353,0,0,2801776,311312,1245216,622624,0,1,3,1,1060878,0,2179152,5603408,622576,2801776,2179088,0,0,0,20.389958,11.363725
"13",128,20480,0,0.000111233,1,1280,16,16,21,0,2,901556,2293840,655392,10240,532505,1024663,0,0,71685,20482,874485,53547828,1280,96.725661,0.610646,0.961216,45.484256,22.052744,24.059252,25.251743,27.566199,64.780811,0,70.212545,79.999219,1.389269,52.002441,32.053665,0,0,1.446397,1.999902,0,0,103685,40962,89378,240835,102415,0,0,64.829264,27.568622,40960,40960,166981,108914,0,0,2949232,327696,1310752,655392,0,1,3,1,1118078,0,2293840,5898320,655344,2949232,2293776,0,0,0,20.44543,11.213702
"14",138,21504,0,0.000116865,1,1344,16,16,21,0,2,943656,2408528,688160,10752,559129,1075776,0,0,75269,21506,912840,56206774,1344,96.752948,0.612398,0.961864,45.524327,22.072183,24.082337,25.212376,27.590485,64.837872,0,70.212555,79.999256,1.392928,52.002325,32.139943,0,0,1.446399,1.999907,0,0,108869,43010,93854,252867,107530,0,0,64.884058,27.591512,43008,43008,174980,114296,0,0,3096688,344080,1376288,688160,0,1,3,1,1173770,0,2408528,6193232,688112,3096688,2408464,0,0,0,20.50991,11.453973
"15",148,22528,0,0.000122369,1,1408,16,16,21,0,2,989034,2523216,720928,11264,585753,1128443,0,0,78853,22530,958159,59158400,1408,96.878267,0.611332,0.962506,45.629497,22.123184,24.149514,25.38289,27.654226,64.987652,0,70.212565,79.99929,1.392567,52.002219,32.128592,0,0,1.4464,1.999911,0,0,114053,45058,98370,264903,112655,0,0,65.032823,27.656435,45056,45056,183213,119786,0,0,3244144,360464,1441824,720928,0,1,3,1,1231372,0,2523216,6488144,720880,3244144,2523152,0,0,0,20.500711,11.30997
"16",158,23552,0,0.000127553,1,1472,16,16,21,0,2,1031614,2637904,753696,11776,612377,1177127,0,0,82437,23554,1000649,61808510,1472,96.814118,0.613145,0.965132,45.710068,22.162257,24.196127,25.322447,27.703057,65.102396,0,70.212574,79.999321,1.392951,52.002123,32.14442,0,0,1.446401,1.999915,0,0,119237,47106,102858,276849,117777,0,0,65.125449,27.705645,47104,47104,192209,125176,0,0,3391600,376848,1507360,753696,0,1,3,1,1284167,0,2637904,6783056,753648,3391600,2637840,0,0,0,20.547899,11.476412
"17",168,24576,0,0.000133217,1,1536,16,16,21,0,2,1078588,2752592,786464,12288,639001,1232681,0,0,86021,24578,1038515,64216216,1536,97.005066,0.610733,0.966476,45.781053,22.196682,24.240959,25.399699,27.746079,65.203489,0,70.212582,79.999349,1.393503,52.002035,32.145663,0,0,1.446403,1.999919,0,0,124421,49154,107362,288917,122895,0,0,65.233744,27.748111,49152,49152,199617,130692,0,0,3539056,393232,1572896,786464,0,1,3,1,1345341,0,2752592,7077968,786416,3539056,2752528,0,0,0,20.50746,11.284557
"18",178,25600,0,0.000138017,1,1600,16,16,21,0,2,1114738,2867280,819232,12800,665625,1278906,0,0,89605,25602,1085456,67301880,1600,97.222935,0.614169,0.970058,45.86192,22.235898,24.293941,25.487554,27.79509,65.318657,0,70.212589,79.999375,1.394202,52.001953,32.178042,0,0,1.446404,1.999922,0,0,129605,51202,111882,300965,128015,0,0,65.351227,27.797044,51200,51200,208362,135955,0,0,3686512,409616,1638432,819232,0,1,3,1,1394958,0,2867280,7372880,819184,3686512,2867216,0,0,0,20.669162,11.453453
"19",188,26624,0,0.000143617,1,1664,16,16,21,0,2,1156400,2981968,852000,13312,692249,1328094,0,0,93189,26626,1129141,69637126,1664,97.112937,0.616421,0.966322,45.910726,22.259568,24.311629,25.478114,27.824669,65.388161,0,70.212596,79.999399,1.397373,52.001878,32.249865,0,0,1.446405,1.999925,0,0,134789,53250,116318,312995,133131,0,0,65.419095,27.825715,53248,53248,216020,141549,0,0,3833968,426000,1703968,852000,0,1,3,1,1448682,0,2981968,7667792,851952,3833968,2981904,0,0,0,20.721463,11.552021
"20",198,27648,0,0.000149089,1,1728,16,16,21,0,2,1201524,3096656,884768,13824,718873,1382097,0,0,96773,27650,1170948,72439700,1728,97.370673,0.614457,0.968198,45.947622,22.277464,24.335686,25.539639,27.847032,65.440705,0,70.212602,79.999421,1.396,52.001808,32.216851,0,0,1.446406,1.999928,0,0,139973,55298,120814,324981,138250,0,0,65.461251,27.847837,55296,55296,224660,146975,0,0,3981424,442384,1769504,884768,0,1,3,1,1507661,0,3096656,7962704,884720,3981424,3096592,0,0,0,20.710281,11.477553
"21",208,28672,0,0.000154561,1,1792,16,16,21,0,2,1245350,3211344,917536,14336,745497,1433124,0,0,100357,28674,1213180,74952380,1792,97.327418,0.615063,0.966189,46.011947,22.308658,24.370845,25.521757,27.886017,65.532315,0,70.212608,79.999442,1.397254,52.001744,32.245433,0,0,1.446406,1.99993,0,0,145157,57346,125294,337079,143366,0,0,65.564993,27.886017,57344,57344,233211,152324,0,0,4128880,458768,1835040,917536,0,1,3,1,1563345,0,3211344,8257616,917488,4128880,3211280,0,0,0,20.721484,11.480784
"22",218,29696,0,0.000159649,1,1856,16,16,21,0,2,1288174,3326032,950304,14848,772121,1485319,0,0,103941,29698,1253433,77568528,1856,97.628193,0.613954,0.966951,46.033658,22.31919,24.390124,25.566321,27.899175,65.56323,0,70.212614,79.999461,1.395413,52.001684,32.205847,0,0,1.446407,1.999933,0,0,150341,59394,129810,349075,148487,0,0,65.588032,27.899363,59392,59392,242275,157816,0,0,4276336,475152,1900576,950304,0,1,3,1,1620110,0,3326032,8552528,950256,4276336,3325968,0,0,0,20.748051,11.465392
"23",228,30720,0,0.000164546,1,1920,16,16,21,0,2,1333604,3440720,983072,15360,798745,1536241,0,0,107525,30722,1297614,80401156,1920,97.625682,0.613504,0.968479,46.067421,22.335565,24.422913,25.644894,27.919638,65.611313,0,70.212619,79.999479,1.394592,52.001628,32.181936,0,0,1.446408,1.999935,0,0,155525,61442,134368,361075,153614,0,0,65.629489,27.921092,61440,61440,249452,163204,0,0,4423792,491536,1966112,983072,0,1,3,1,1675958,0,3440720,8847440,983024,4423792,3440656,0,0,0,20.732316,11.486867
"24",238,31744,0,0.000170177,1,1984,16,16,21,0,2,1372818,3555408,1015840,15872,825369,1585865,0,0,111109,31746,1341739,83414708,1984,97.54454,0.616357,0.968235,46.15357,22.377339,24.466689,25.613576,27.97185,65.734005,0,70.212623,79.999496,1.39946,52.001575,32.296605,0,0,1.446408,1.999937,0,0,160709,63490,138836,373159,158731,0,0,65.760792,27.972731,63488,63488,257987,168665,0,0,4571248,507920,2031648,1015840,0,1,3,1,1729947,0,3555408,9142352,1015792,4571248,3555344,0,0,0,20.811426,11.45431
"25",248,32768,0,0.000176609,1,2048,16,16,21,0,2,1419532,3670096,1048608,16384,851993,1638784,0,0,114693,32770,1385989,85954496,2048,97.832596,0.61349,0.967729,46.175537,22.387994,24.477923,25.641595,27.985164,65.765289,0,70.212628,79.999512,1.394479,52.001526,32.181363,0,0,1.446409,1.999939,0,0,165893,65538,143312,385223,163853,0,0,65.796716,27.986359,65536,65536,266021,174185,0,0,4718704,524304,2097184,1048608,0,1,3,1,1787694,0,3670096,9437264,1048560,4718704,3670032,0,0,0,20.775791,11.425894
"26",258,33792,0,0.000182498,1,2112,16,16,21,0,2,1454512,3784784,1081376,16896,878617,1686646,0,0,118277,33794,1426710,88558098,2112,98.034667,0.616173,0.969183,46.216493,22.407856,24.498584,25.65054,28.009986,65.823616,0,70.212632,79.999527,1.397586,52.00148,32.255355,0,0,1.44641,1.999941,0,0,171077,67586,147784,397177,168976,0,0,65.841187,28.011643,67584,67584,274657,179643,0,0,4866160,540688,2162720,1081376,0,1,3,1,1839750,0,3784784,9732176,1081328,4866160,3784720,0,0,0,20.909762,11.584065
"27",268,34816,0,0.000186978,1,2176,16,16,21,0,2,1495372,3899472,1114144,17408,905241,1736265,0,0,121861,34818,1469853,91223200,2176,97.985919,0.617805,0.969731,46.223885,22.411444,24.505376,25.669172,28.014466,65.834141,0,70.212636,79.99954,1.399639,52.001436,32.30747,0,0,1.44641,1.999943,0,0,176261,69634,152280,409293,174091,0,0,65.864716,28.015271,69632,69632,282928,184935,0,0,5013616,557072,2228256,1114144,0,1,3,1,1893546,0,3899472,10027088,1114096,5013616,3899408,0,0,0,20.954719,11.58724
"28",278,35840,0,0.000191874,1,2240,16,16,21,0,2,1540390,4014160,1146912,17920,931865,1789122,0,0,125445,35842,1513521,94019566,2240,98.064062,0.616897,0.970621,46.252211,22.425182,24.530612,25.712062,28.031633,65.874479,0,70.21264,79.999554,1.399361,52.001395,32.297052,0,0,1.446411,1.999944,0,0,181445,71682,156824,421349,179211,0,0,65.907953,28.032416,71680,71680,291658,190512,0,0,5161072,573456,2293792,1146912,0,1,3,1,1951477,0,4014160,10322000,1146864,5161072,4014096,0,0,0,20.940606,11.542491
"29",288,36864,0,0.00019869,1,2304,16,16,21,0,2,1597130,4128848,1179680,18432,958489,1841789,0,0,129029,36866,1554834,96699258,2304,97.35175,0.616457,0.970281,46.235086,22.416882,24.52084,25.570843,28.021255,65.850086,0,70.212643,79.999566,1.399576,52.001356,32.301664,0,0,1.446411,1.999946,0,0,186629,73730,161300,433313,184333,0,0,65.872281,28.022319,73728,73728,299969,195767,0,0,5308528,589840,2359328,1179680,0,1,3,1,2008949,0,4128848,10616912,1179632,5308528,4128784,0,0,0,20.7737,11.567937
"30",298,37888,0,0.000203298,1,2368,16,16,21,0,2,1628602,4243536,1212448,18944,985113,1892488,0,0,132613,37890,1594880,99212768,2368,98.118386,0.616482,0.969391,46.315179,22.455719,24.56385,25.670812,28.069796,65.964155,0,70.212646,79.999578,1.399073,52.00132,32.292369,0,0,1.446412,1.999947,0,0,191813,75778,165784,445369,189451,0,0,65.989343,28.070537,75776,75776,307819,201360,0,0,5455984,606224,2424864,1212448,0,1,3,1,2064074,0,4243536,10911824,1212400,5455984,4243472,0,0,0,20.938142,11.440475
"31",308,38912,0,0.000208578,1,2432,16,16,21,0,2,1671144,4358224,1245216,19456,1011737,1943498,0,0,136197,38914,1642584,102048166,2432,98.106088,0.617103,0.969879,46.299493,22.448117,24.555458,25.718159,28.06029,65.941812,0,70.21265,79.999589,1.400276,52.001285,32.321268,0,0,1.446412,1.999949,0,0,196997,77826,170264,457443,194570,0,0,65.972386,28.060867,77824,77824,315799,206628,0,0,5603440,622608,2490400,1245216,0,1,3,1,2119621,0,4358224,11206736,1245168,5603440,4358160,0,0,0,20.956602,11.520746
