"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",8192,0,0.257258,5.696e-06,32.003906,5.358375,"GeForce GTX TITAN (0)",1,7
"2","[CUDA memcpy HtoD]",8192,0,0.257377,4.9921e-05,544.066406,10.393665,"GeForce GTX TITAN (0)",1,7
"4","[CUDA memcpy DtoH]",8192,0,0.257468,4.928e-06,32,6.19269,"GeForce GTX TITAN (0)",1,7
"5","[CUDA memcpy HtoD]",8192,0,0.25766,9.92e-07,0.066406,0.063841,"GeForce GTX TITAN (0)",1,7
"6","[CUDA memcpy HtoD]",8192,0,0.257772,4.9473e-05,544.066406,10.487784,"GeForce GTX TITAN (0)",1,7
"7","[CUDA memcpy HtoD]",8192,0,0.25791,4.9409e-05,544.066406,10.501369,"GeForce GTX TITAN (0)",1,7
"9","[CUDA memcpy DtoH]",8192,0,0.258005,4.992e-06,32.003906,6.114043,"GeForce GTX TITAN (0)",1,7
"10","[CUDA memcpy DtoH]",8192,0,0.258029,4.9121e-05,544.066406,10.56294,"GeForce GTX TITAN (0)",1,7
"11","[CUDA memcpy HtoD]",9216,0,0.250893,6.304e-06,36.003906,5.446701,"GeForce GTX TITAN (0)",1,7
"12","[CUDA memcpy HtoD]",9216,0,0.251025,5.5809e-05,612.066406,10.459102,"GeForce GTX TITAN (0)",1,7
"14","[CUDA memcpy DtoH]",9216,0,0.251124,5.28e-06,36,6.502325,"GeForce GTX TITAN (0)",1,7
"15","[CUDA memcpy HtoD]",9216,0,0.251325,1.056e-06,0.066406,0.059972,"GeForce GTX TITAN (0)",1,7
"16","[CUDA memcpy HtoD]",9216,0,0.251451,5.5361e-05,612.066406,10.54374,"GeForce GTX TITAN (0)",1,7
"17","[CUDA memcpy HtoD]",9216,0,0.251608,5.5297e-05,612.066406,10.555944,"GeForce GTX TITAN (0)",1,7
"19","[CUDA memcpy DtoH]",9216,0,0.251713,5.344e-06,36.003906,6.42515,"GeForce GTX TITAN (0)",1,7
"20","[CUDA memcpy DtoH]",9216,0,0.251739,5.501e-05,612.066406,10.611016,"GeForce GTX TITAN (0)",1,7
"21","[CUDA memcpy HtoD]",10240,0,0.268466,6.976e-06,40.003906,5.46885,"GeForce GTX TITAN (0)",1,7
"22","[CUDA memcpy HtoD]",10240,0,0.268628,6.1729e-05,680.066406,10.506599,"GeForce GTX TITAN (0)",1,7
"24","[CUDA memcpy DtoH]",10240,0,0.268737,5.6e-06,40,6.811959,"GeForce GTX TITAN (0)",1,7
"25","[CUDA memcpy HtoD]",10240,0,0.268963,9.92e-07,0.066406,0.063841,"GeForce GTX TITAN (0)",1,7
"26","[CUDA memcpy HtoD]",10240,0,0.269118,6.1217e-05,680.066406,10.594473,"GeForce GTX TITAN (0)",1,7
"27","[CUDA memcpy HtoD]",10240,0,0.269333,6.1217e-05,680.066406,10.594473,"GeForce GTX TITAN (0)",1,7
"29","[CUDA memcpy DtoH]",10240,0,0.269448,5.792e-06,40.003906,6.586792,"GeForce GTX TITAN (0)",1,7
"30","[CUDA memcpy DtoH]",10240,0,0.269478,6.0993e-05,680.066406,10.633382,"GeForce GTX TITAN (0)",1,7
"31","[CUDA memcpy HtoD]",11264,0,0.263222,7.52e-06,44.003906,5.580505,"GeForce GTX TITAN (0)",1,7
"32","[CUDA memcpy HtoD]",11264,0,0.263384,6.7585e-05,748.066406,10.55577,"GeForce GTX TITAN (0)",1,7
"34","[CUDA memcpy DtoH]",11264,0,0.263499,6.24e-06,44,6.724627,"GeForce GTX TITAN (0)",1,7
"35","[CUDA memcpy HtoD]",11264,0,0.26371,9.92e-07,0.066406,0.063841,"GeForce GTX TITAN (0)",1,7
"36","[CUDA memcpy HtoD]",11264,0,0.263867,6.7074e-05,748.066406,10.636189,"GeForce GTX TITAN (0)",1,7
"37","[CUDA memcpy HtoD]",11264,0,0.264059,6.7169e-05,748.066406,10.621145,"GeForce GTX TITAN (0)",1,7
"39","[CUDA memcpy DtoH]",11264,0,0.264185,6.113e-06,44.003906,6.864943,"GeForce GTX TITAN (0)",1,7
"40","[CUDA memcpy DtoH]",11264,0,0.264215,6.6881e-05,748.066406,10.666882,"GeForce GTX TITAN (0)",1,7
"41","[CUDA memcpy HtoD]",12288,0,0.251577,8.129e-06,48.003906,5.6317,"GeForce GTX TITAN (0)",1,7
"42","[CUDA memcpy HtoD]",12288,0,0.251768,7.4056e-05,816.066406,10.509095,"GeForce GTX TITAN (0)",1,7
"44","[CUDA memcpy DtoH]",12288,0,0.251891,6.305e-06,48,7.260328,"GeForce GTX TITAN (0)",1,7
"45","[CUDA memcpy HtoD]",12288,0,0.252114,9.92e-07,0.066406,0.063841,"GeForce GTX TITAN (0)",1,7
"46","[CUDA memcpy HtoD]",12288,0,0.252275,7.3256e-05,816.066406,10.623861,"GeForce GTX TITAN (0)",1,7
"47","[CUDA memcpy HtoD]",12288,0,0.252479,7.3128e-05,816.066406,10.642457,"GeForce GTX TITAN (0)",1,7
"49","[CUDA memcpy DtoH]",12288,0,0.252616,6.689e-06,48.003906,6.844086,"GeForce GTX TITAN (0)",1,7
"50","[CUDA memcpy DtoH]",12288,0,0.252646,7.2712e-05,816.066406,10.703344,"GeForce GTX TITAN (0)",1,7
"51","[CUDA memcpy HtoD]",13312,0,0.206895,8.736e-06,52.003906,5.677059,"GeForce GTX TITAN (0)",1,7
"52","[CUDA memcpy HtoD]",13312,0,0.20706,7.9266e-05,884.066406,10.636483,"GeForce GTX TITAN (0)",1,7
