"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"13886",2304,8,1e-05,114,1,16,1,32,2.128906,9,13,4,1,240464,32946,29184,114,86412,67903,9576,15960,5700,2166,1824,172502,1168086,114,72.92422,0.492413,0.105804,10.777434,0.0093230390625,0.0177976005859375,0.029906306640625,0.013401869140625,0.0192287685546875,9.349385,54.734848,69.565217,0.489612,758,10.893823,3.25,3.1,5.157895,51870,17670,11172,5244,5,6964,8395,5250,542.973819,184.969103,21.969661,13.739216,13.399007,11172,11172,33630,29754,0,0,0,0,0,0,0,3,3,1,1,1,77476,0,0,461928,120384,270180,187872,0,0,0,0,0.455101
"32359",3584,7,1.3e-05,171,1,16,1,32,2.128906,9,13,4,1,303708,49419,43776,171,129618,101815,14364,23940,8550,3249,2736,234108,2185408,171,75.688312,0.55754,0.154188,13.144375,0.0113705673828125,0.02227359375,0.02051356640625,0.0163451904296875,0.0234517939453125,9.349385,54.734848,69.565217,0.592957,758,13.192845,3.25,3.1,5.157895,77805,26505,16758,7866,5,10719,12157,7872,662.221817,225.592048,25.867973,16.750241,10.894465,16758,16758,50445,44631,0,0,0,0,0,0,0,4,3,1,1,1,116179,0,0,692892,180576,405270,281808,0,0,0,0,0.572645
"35668",3840,4,1.2e-05,140,1,16,1,32,2.128906,9,13,0,5,269052,40460,35840,140,106120,83371,11760,19600,7000,2660,2240,200055,1955158,140,76.478502,0.524731,0.135363,11.633625,0.010063689453125,0.01996339453125,0.032556484375,0.0144665537109375,0.020756359375,9.349385,54.734848,69.565217,0.534308,758,11.888106,3.25,3.1,5.157895,63700,21700,13720,6440,5,8887,10111,6446,586.109273,199.663599,23.258049,14.827552,11.777391,13720,13720,41300,36540,0,0,0,0,0,0,0,4,3,1,1,1,95134,0,0,567280,147840,331800,230720,0,0,0,0,0.506646
"4878",1280,10,7e-06,22,1,16,1,32,2.128906,9,13,1,4,239704,6358,5632,22,16676,13112,1848,3080,1100,418,352,177165,163402,22,73.624647,0.095646,0.021606,2.878633,0.0024901669921875,0.0026988603515625,0.0090516162109375,0.003579615234375,0.0051359697265625,9.349385,54.734848,69.565217,0.094872,758,2.111026,3.25,3.1,5.157895,10010,3410,2156,1012,5,763,1611,1018,145.027344,49.404919,5.835141,3.687259,18.544954,2156,2156,6490,5742,0,0,0,0,0,0,0,1,1,1,1,1,14960,0,0,89144,23232,52140,36256,0,0,0,0,0.084565
"29729",3584,1,1e-05,101,1,16,1,32,2.128906,9,13,5,0,236196,29189,25856,101,76558,60196,8484,14140,5050,1919,1616,169075,991464,101,69.198559,0.467953,0.093481,9.790879,0.0084696181640625,0.016299822265625,0.0147143896484375,0.012175076171875,0.017468587890625,9.349385,54.734848,69.565217,0.470401,758,10.466559,3.25,3.1,5.157895,45955,15655,9898,4646,5,6220,6761,4652,493.270566,168.037226,18.142761,12.483379,13.73923,9898,9898,29795,26361,0,0,0,0,0,0,0,3,2,1,1,1,68656,0,0,409252,106656,239370,166448,0,0,0,0,0.435122
"36580",3840,6,1.4e-05,192,1,16,1,32,2.128906,9,13,4,1,343472,55488,49152,192,145536,114374,16128,26880,9600,3648,3072,257906,2963614,192,79.163175,0.560891,0.179548,12.493739,0.010807732421875,0.021437798828125,0.0332534794921875,0.015536115234375,0.0222909482421875,9.349385,54.734848,69.565217,0.5416,758,12.050714,3.25,3.1,5.157895,87360,29760,18816,8832,5,12187,12815,8838,629.442341,214.425413,23.083515,15.91979,9.222598,18816,18816,56640,50112,0,0,0,0,0,0,0,4,3,1,1,1,130443,0,0,777984,202752,455040,316416,0,0,0,0,0.534911
"20137",2816,7,1.1e-05,141,1,16,1,32,2.128906,9,13,5,0,266200,40749,36096,141,106878,84028,11844,19740,7050,2679,2256,195431,1824868,141,74.14602,0.501867,0.135537,11.880868,0.0102775673828125,0.020147404296875,0.0183479189453125,0.01477400390625,0.0211974833984375,9.349385,54.734848,69.565217,0.550854,758,12.256244,3.25,3.1,5.157895,64155,21855,13818,6486,5,8845,9497,6492,598.565545,203.906944,22.15173,15.142575,11.942388,13818,13818,41595,36801,0,0,0,0,0,0,0,4,2,1,1,1,95810,0,0,571332,148896,334170,232368,0,0,0,0,0.522005
"27575",3328,6,1.1e-05,133,1,16,1,32,2.128906,9,13,1,4,271816,38437,34048,133,100814,79209,11172,18620,6650,2527,2128,204091,1749776,133,76.415467,0.477242,0.128601,11.382272,0.009846255859375,0.0195213134765625,0.019921548828125,0.0141539931640625,0.0203079033203125,9.349385,54.734848,69.565217,0.488371,758,10.866822,3.25,3.1,5.157895,60515,20615,13034,6118,5,8438,9649,6124,573.445958,195.349722,22.858713,14.507903,12.129402,13034,13034,39235,34713,0,0,0,0,0,0,0,3,2,1,1,1,90435,0,0,538916,140448,315210,219184,0,0,0,0,0.457057
"11316",2048,9,9e-06,106,1,16,1,32,2.128906,9,13,0,5,226016,30634,27136,106,80348,63146,8904,14840,5300,2014,1696,156967,992618,106,74.193113,0.493535,0.098808,10.8038,0.00934584765625,0.017551017578125,0.0307129033203125,0.01343465625,0.0192758115234375,9.349385,54.734848,69.565217,0.501387,758,11.156014,3.25,3.1,5.157895,48230,16430,10388,4876,5,6370,7871,4882,544.30219,185.421625,22.207146,13.774017,14.445506,10388,10388,31270,27666,0,0,0,0,0,0,0,3,3,1,1,1,72048,0,0,429512,111936,251220,174688,0,0,0,0,0.464703
"15416",2560,3,1.1e-05,130,1,16,1,32,2.128906,9,13,0,5,263440,37570,33280,130,98540,77420,10920,18200,6500,2470,2080,221746,1422164,130,70.222338,0.444382,0.121055,11.325389,0.009797048828125,0.018845189453125,0.0326576162109375,0.0140832587890625,0.0202064140625,9.349385,54.734848,69.565217,0.541744,758,12.053618,3.25,3.1,5.157895,59150,20150,12740,5980,5,8002,8723,5986,570.580149,194.373457,21.036224,14.435726,12.347296,12740,12740,38350,33930,0,0,0,0,0,0,0,4,3,1,1,1,88398,0,0,526760,137280,308100,214240,0,0,0,0,0.507251
