"","X","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"1",3,8192,0,2.7648e-05,1,512,16,16,11,1088,1,234298,139264,139264,4096,520192,403638,49152,28672,8192,8192,205445,12123726,512,87.685341,2.532026,0.920969,18.874334,18.874334,19.086844,20.193846,26.646119,27.756374,20.809811,68,70.833333,2.642566,127,57.590839,1,1.010219,1.53125,1.5,49152,28965,12544,12288,17604,25668,24805,426.337905,251.238554,27.830102,26.894409,45160,16384,111747,98050,253952,122880,0,0,0,0,0,4,3,2,473270,253952,0,5496832,253952,1318912,2375680,0,0,0.282262,0,5.376247
"2",13,9216,0,3.1072e-05,1,576,16,16,11,1088,1,256364,156672,156672,4608,585216,453987,55296,32256,9216,9216,228621,13617054,576,88.85764,2.569002,0.930651,19.137905,19.137905,19.54052,20.500151,27.018218,28.143978,20.829869,68,70.833333,2.680692,127,58.420252,1,1.007595,1.53125,1.5,55296,32501,14112,13824,19996,28868,28152,432.291496,254.085393,28.210429,27.510738,50802,18432,125566,110335,285696,138240,0,0,0,0,0,4,3,2,532323,285696,0,6183936,285696,1483776,2672640,0,0,0.290212,0,5.417359
"3",23,10240,0,3.376e-05,1,640,16,16,11,1088,1,283132,174080,174080,5120,650240,504146,61440,35840,10240,10240,253948,15101926,640,89.605555,2.563007,0.930758,19.353543,19.353543,19.751999,20.709892,27.32265,28.461093,20.839316,68,70.833333,2.673318,127,58.255946,1,1.006362,1.53125,1.5,61440,36068,15680,15360,22208,32132,30725,437.162394,256.633679,28.578495,27.327097,56427,20480,139449,122582,317440,153600,0,0,0,0,0,4,3,2,591186,317440,0,6871040,317440,1648640,2969600,0,0,0.291972,0,5.345236
"4",33,11264,0,3.7345e-05,1,704,16,16,11,1088,1,304240,191488,191488,5632,715264,554503,67584,39424,11264,11264,275800,16513940,704,90.714896,2.591621,0.934418,19.525603,19.525603,20.077045,20.86913,27.565558,28.714122,20.847829,68,70.833333,2.702954,127,58.901105,1,1.005251,1.53125,1.5,67584,39631,17248,16896,24612,35432,34009,441.04892,258.629406,28.903375,27.742574,62074,22528,153525,134903,349184,168960,0,0,0,0,0,4,3,2,650247,349184,0,7558144,349184,1813504,3266560,0,0,0.298887,0,5.362986
"5",43,12288,0,4.0577e-05,1,768,16,16,11,1088,1,329450,208896,208896,6144,780288,604754,73728,43008,12288,12288,298604,17857414,768,91.206253,2.596814,0.934422,19.681291,19.681291,20.269197,21.047796,27.785352,28.943075,20.861174,68,70.833333,2.707843,127,59.005954,1,1.003511,1.53125,1.5,73728,43159,18816,18432,26892,38624,36985,444.56563,260.240452,29.111909,27.876553,67659,24576,167543,147217,380928,184320,0,0,0,0,0,4,3,2,709202,380928,0,8245248,380928,1978368,3563520,0,0,0.301108,0,5.406747
"6",53,13312,0,4.3841e-05,1,832,16,16,11,1088,1,355098,226304,226304,6656,845312,655000,79872,46592,13312,13312,324404,19645366,832,91.823666,2.592473,0.936735,19.817774,19.817774,20.512741,21.175482,27.978034,29.143785,20.855341,68,70.833333,2.702856,127,58.8958,1,1.004271,1.53125,1.5,79872,46791,20384,19968,29280,41780,39941,447.648537,262.243623,29.269888,27.981536,73355,26624,181336,159468,412672,199680,0,0,0,0,0,4,3,2,768152,412672,0,8932352,412672,2143232,3860480,0,0,0.302639,0,5.326914
"7",63,14336,0,4.6497e-05,1,896,16,16,11,1088,1,378376,243712,243712,7168,910336,705322,86016,50176,14336,14336,353062,20863968,896,92.194008,2.609609,0.93958,19.932773,19.932773,20.621103,21.298309,28.140386,29.312902,20.866249,68,70.833333,2.720542,127,59.280616,1,1.00285,1.53125,1.5,86016,50319,21952,21504,31516,44922,43008,450.246169,263.392124,29.392727,28.140386,78959,28672,195301,171654,444416,215040,0,0,0,0,0,4,3,2,827178,444416,0,9619456,444416,2308096,4157440,0,0,0.305869,0,5.400152
"8",73,15360,0,4.9729e-05,1,960,16,16,11,1088,1,402536,261120,261120,7680,975360,755476,92160,53760,15360,15360,373476,22435268,960,92.860266,2.609338,0.940261,20.019094,20.019094,20.774717,21.3997,28.262251,29.439844,20.851291,68,70.833333,2.719655,127,59.259329,1,1.004799,1.53125,1.5,92160,54018,23520,23040,33872,48232,46142,452.196009,265.046918,29.582137,28.300277,84590,30720,209268,183931,476160,230400,0,0,0,0,0,4,3,2,886036,476160,0,10306560,476160,2472960,4454400,0,0,0.308047,0,5.397717
"9",83,16384,0,5.2801e-05,1,1024,16,16,11,1088,1,427308,278528,278528,8192,1040384,805884,98304,57344,16384,16384,396354,23869398,1024,93.324955,2.608884,0.940975,20.137752,20.137752,20.827211,21.519561,28.429767,29.614341,20.862557,68,70.833333,2.71929,127,59.251727,1,1.003331,1.53125,1.5,98304,57535,25088,24576,36008,51270,49157,454.876274,266.228296,29.654829,28.432659,90173,32768,223096,196149,507904,245760,0,0,0,0,0,4,3,2,945148,507904,0,10993664,507904,2637824,4751360,0,0,0.309535,0,5.425234
"10",93,17408,0,5.552e-05,1,1088,16,16,11,1088,1,453426,295936,295936,8704,1105408,856160,104448,60928,17408,17408,422934,25369822,1088,93.275198,2.613665,0.942404,20.191346,20.191346,21.005725,21.579392,28.50543,29.693156,20.874526,68,70.833333,2.724056,127,59.354888,1,1.001773,1.53125,1.5,104448,61036,26656,26112,38484,54532,52228,456.086882,266.522278,29.765206,28.507613,95822,34816,237006,208449,539648,261120,0,0,0,0,0,4,3,2,1004128,539648,0,11680768,539648,2802688,5048320,0,0,0.309937,0,5.384597
