"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.020747,125,1,128,1,64,7200,8,"294747067",782132,0,500,43657632,39009078,4429152,45940,107956,35152,245936842,6911471002,125,"88.780322",0.177499,0.439066,918.140752,395.330333,930.510742,7.357786,1.544259,3.320103,143.239921,27.005847,25,0.177324,87315.264,4.197029,1.043651,5.639182,18.186947,25,4622488,259064,1963390,878800,505,1889668,878806,32.491212,1.820946,3.320593,1.54427,2353396,2353396,5087070,4646064,0,0,1142472000,175776000,131836000,417430000,0,1,1,1,41334202,21970000,725042000,77870508,57552580,115581532,71482680,0,0,"0.000000","48.451373",0.170044
"11",6,0,0.034019,216,1,128,1,64,7200,8,"486112070",1458176,0,864,81388928,72722474,8257536,85376,200928,65536,456426066,13719453940,216,"90.871904",0.178349,0.469961,0.995477,439.71245,31.433642,27.091268,1.717627,3.685618,143.263144,27.009776,25,0.178401,94200.148148,4.222525,1.043651,5.636432,18.182513,25,8617984,481216,3653376,1638400,29281,3515719,1638406,36.138867,2.017943,3.685726,1.717633,4386624,4386624,9482496,8661120,0,0,2129975296,327707648,245787648,778240000,0,1,1,1,77056460,40960000,1351735296,145124768,107281984,215469824,133240576,0,0,"0.000000","54.770685",0.171103
"17",7,0,0.054021,343,1,128,1,64,7200,8,"806541150",2441804,0,1372,136285600,121773447,13827744,142668,336092,109744,764528142,23522962142,343,"94.837153",0.178261,0.480763,1.002853,443.497601,47.234854,24.977857,1.732413,3.712573,143.278367,27.012359,25,0.178259,99333.527697,4.219187,1.043651,5.63462,18.1796,25,14431336,803880,6110018,2743600,73052,5880362,2743606,36.449959,2.030401,3.713082,1.732416,7344620,7344620,15877218,14502672,0,0,3566767808,548763904,411583904,1303210000,0,1,1,1,129030302,68590000,2263557808,242961028,179631772,360799908,223087688,0,0,"0.000000","55.278764",0.170964
"23",8,0,0.081728,512,1,128,1,64,7200,8,"1206603138",3790688,0,2048,211565952,189037978,21466368,221152,521344,170368,1186146446,37240727278,512,"97.791089",0.178375,0.490496,1.038918,459.83239,50.918405,24.465087,1.79622,3.845824,143.289105,27.014185,25,0.178365,103303.6875,4.221712,1.043651,5.633338,18.177541,25,22403392,1245824,9476752,4259200,117908,9120031,4259206,37.792475,2.101591,3.846165,1.796223,11400736,11400736,24646032,22513152,0,0,5537091072,851905536,638945536,2023120000,0,1,1,1,200302844,106480000,3513971072,377111040,278842528,560091424,346289472,0,0,"0.000000","57.362389",0.171058
"29",9,0,0.117048,729,1,128,1,64,7200,8,"1762396982",5562500,0,2916,310448288,277391520,31500000,324164,764580,250000,1740246245,54849919584,729,"97.650942",0.178385,0.492481,1.048192,464.22669,52.057266,23.170036,1.813386,3.879961,143.297081,27.015542,25,0.178356,106463.747599,4.221489,1.043651,5.632384,18.17601,25,32875000,1825816,13897014,6250000,175215,13372744,6250006,38.153631,2.118981,3.87999,1.813387,16728324,16728324,36163734,33034992,0,0,8125186624,1250093312,937593312,2968750000,0,1,1,1,293920684,156250000,5156436624,553306556,409154836,821864012,508111384,0,0,"0.000000","57.628805",0.171046
"35",10,0,0.155512,1000,1,128,1,64,7200,8,"2469725724",7814912,0,4000,436150912,389709883,44255232,455040,1073696,351232,2444740163,77310819080,1000,"98.372462",0.178404,0.494099,1.049979,465.241988,51.130629,22.970687,1.817352,3.886423,143.303236,27.016591,25,0.178385,109037.728,4.222179,1.043651,5.631646,18.174828,25,46187008,2562624,19514240,8780800,241255,18777927,8780806,38.237076,2.121533,3.886445,1.817353,23500736,23500736,50805120,46410624,0,0,11415296000,1756288000,1317248000,4170880000,0,1,1,1,412931082,219520000,7244416000,777279328,574809280,1154637312,713818880,0,0,"0.000000","57.776132",0.171068
"41",11,0,0.213712,1331,1,128,1,64,7200,8,"3338652419",10605596,0,5324,591892128,528868622,60058656,617116,1456588,476656,3317693552,105497267760,1331,"99.434141",0.178427,0.496902,1.061075,470.33846,54.355344,22.169106,1.83726,3.927372,143.308129,27.017426,25,0.178429,111174.329076,4.223246,1.043651,5.631058,18.173887,25,62680264,3475016,26471866,11916400,344284,25472894,11916406,38.655942,2.143099,3.927387,1.837261,31891324,31891324,68944986,62982480,0,0,15491660736,2383450368,1787630368,5660290000,0,1,1,1,560381208,297910000,9831370736,1054761108,780046444,1566930964,968677416,0,0,"0.000000","58.001174",0.171115
"47",12,0,0.279541,1728,1,128,1,64,7200,8,"4402130392",13992224,0,6912,780890240,697743465,79236864,813728,1921152,628864,4376582510,139199675986,1728,"98.893387",0.178417,0.49691,1.057659,468.970431,71.023294,21.826859,1.831916,3.914629,143.312111,27.018106,25,0.178425,112976.018519,4.223145,1.043651,5.630579,18.173121,25,82695616,4581760,34913328,15721600,595240,33595663,15721606,38.543507,2.135507,3.914641,1.831916,42073440,42073440,90958128,83092992,0,0,20438522368,3144541184,2358461184,7467760000,0,1,1,1,739317711,393040000,12970762368,1391483648,1029106912,2067264608,1277952448,0,0,"0.000000","58.035884",0.171103
"53",13,0,0.369417,2197,1,128,1,64,7200,8,"5683474226",18032468,0,8788,1006363552,899210223,102116448,1048212,2475284,810448,5640121727,179646832590,2197,"99.337105",0.178422,0.497652,1.055304,468.047417,85.825849,21.279696,1.82831,3.905832,143.315414,27.01867,25,0.17842,114515.652253,4.223021,1.043651,5.630183,18.172485,25,106573912,5901625,44982062,20261200,928824,43284252,20261206,38.467647,2.13018,3.905842,1.828311,54220436,54220436,117219342,107084592,0,0,26340122432,4052521216,3039461216,9624070000,0,1,1,1,952787724,506530000,16716052432,1793178700,1326231268,2664157884,1646909432,0,0,"0.000000","57.931384",0.171093
"59",14,0,0.454627,2744,1,128,1,64,7200,8,"7165983416",22784000,0,10976,1271530368,1136144325,129024000,1323904,3126880,1024000,7126204129,227188668388,2744,"99.494033",0.178434,0.498121,1.061994,471.117266,97.169481,20.968914,1.840302,3.930524,143.3182,27.019146,25,0.17843,115846.425656,4.22328,1.043651,5.629846,18.171949,25,134656000,7453376,56821504,25600000,1320021,54678095,25600006,38.71995,2.143197,3.930633,1.840302,68505664,68505664,148103424,135299712,0,0,33280702464,5120351232,3840351232,1.216e+10,0,1,1,1,1203838107,6.4e+08,21120702464,2265578016,1675660096,3366130432,2080813824,0,0,"0.000000","58.053271",0.171099
