"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"388",47104,0,0.000249856,1,2944,16,16,21,0,2,2,1,0,2789970,5275728,1507360,23552,1248281,2059418,202527,0,0,164869,47106,2733990,170689600,2944,97.831625,0.45707,0.975025,46.199365,0.0218746005859375,0.033197568359375,0.0306978134765625,0.0273433671875,0.064257017578125,0,70.21267,79.99966,0.901457,53.001061,20.683077,0,0,1.446415,0,0,238469,94210,1,285952,553660,235544,0,0,65.819753,28.001748,0.121734,94024,70656,545026,211975,0,0,6783088,753680,3014688,1507360,0,1,3,1,1,0,2258156,0,5275728,13566032,1507312,6783088,6029328,132112,15.70563,0,1.899407,1.325159
"188",26624,0,0.000142432,1,1664,16,16,21,0,2,2,0,0,1615857,2981968,852000,13312,705561,1162043,115460,0,0,93189,26626,1557264,96231366,1664,96.373875,0.454384,0.968334,45.472861,0.0215305390625,0.03234513671875,0.0302656708984375,0.0269133759765625,0.0632466162109375,0,70.212596,79.999399,0.894494,53.001878,20.508774,0,0,1.446405,0,0,134789,53250,6,159994,313030,133165,0,0,64.802419,27.567371,1.27191,53140,39936,305314,119815,0,0,3833968,426000,1703968,852000,0,1,3,1,1,0,1279415,0,2981968,7667792,851952,3833968,3407888,74231,15.367052,0,1.853684,1.352995
"448",53248,0,0.000281408,1,3328,16,16,21,0,2,2,4,0,3153645,5963856,1703968,26624,1411097,2324541,228905,0,0,186373,53250,3095360,192809884,3328,98.140913,0.456609,0.974847,46.262519,0.0219045146484375,0.0332246298828125,0.03073343359375,0.02738074609375,0.0643448447265625,0,70.212681,79.9997,0.900379,53.000939,20.662518,0,0,1.446417,0,0,269573,106498,8,323071,626020,266267,0,0,65.925032,28.040095,883.388672,106288,79872,614380,239623,0,0,7667824,851984,3407904,1703968,0,1,3,1,1,0,2558033,0,5963856,15335504,1703920,7667824,6815760,149550,15.748839,0,1.899544,1.321892
"328",40960,0,0.000217985,1,2560,16,16,21,0,2,2,0,4,2440371,4587600,1310752,20480,1085465,1791781,176520,0,0,143365,40962,2380464,148320174,2560,97.724731,0.455729,0.972995,46.067107,0.0218119638671875,0.0328927412109375,0.0307229140625,0.0272650888671875,0.0640730771484375,0,70.212655,79.999609,0.898931,53.001221,20.626101,0,0,1.446413,0,0,207365,81922,8,247079,481582,204833,0,0,65.649956,27.923131,1.116745,81757,61440,473332,184327,0,0,5898352,655376,2621472,1310752,0,1,3,1,1,0,1967603,0,4587600,11796560,1310704,5898352,5242896,114743,15.641932,0,1.888273,1.334004
"218",29696,0,0.000158816,1,1856,16,16,21,0,2,2,4,0,1786377,3326032,950304,14848,786969,1294376,128590,0,0,103941,29698,1731070,107460178,1856,96.903957,0.453815,0.968253,45.660863,0.021619572265625,0.0324581142578125,0.0304080517578125,0.0270246474609375,0.0635080849609375,0,70.212614,79.999461,0.896299,53.001684,20.550382,0,0,1.446407,0,0,150341,59394,9,178340,349111,148515,0,0,65.063589,27.678644,1.71758,59274,44544,343527,133639,0,0,4276336,475152,1900576,950304,0,1,3,1,1,0,1425850,0,3326032,8552528,950256,4276336,3801104,82561,15.38684,0,1.870203,1.337566
"118",19456,0,0.000105376,1,1216,16,16,21,0,2,2,4,0,1195737,2179152,622624,9728,515609,851658,84746,0,0,68101,19458,1139419,70155814,1216,95.188825,0.45341,0.962056,45.007417,0.02131009765625,0.0317658125,0.0301147373046875,0.026637896484375,0.0625993017578125,0,70.212533,79.999178,0.896753,53.00257,20.556853,0,0,1.446396,0,0,98501,38914,8,116014,228965,97315,0,0,64.197576,27.285337,2.296885,38823,29184,223812,87559,0,0,2801776,311312,1245216,622624,0,1,3,1,1,0,935919,0,2179152,5603408,622576,2801776,2490384,54169,15.187992,0,1.830576,1.38434
"178",25600,0,0.0001376,1,1600,16,16,21,0,2,2,0,0,1554963,2867280,819232,12800,678425,1120817,110891,0,0,89605,25602,1491573,92365674,1600,96.106274,0.453928,0.967578,45.414558,0.0215029267578125,0.0322254130859375,0.0302452890625,0.0268788681640625,0.063165529296875,0,70.212589,79.999375,0.897899,53.001953,20.59109,0,0,1.446404,0,0,129605,51202,0,153468,301041,128043,0,0,64.730097,27.531917,0,51076,38400,295987,115207,0,0,3686512,409616,1638432,819232,0,1,3,0,1,0,1230867,0,2867280,7372880,819184,3686512,3276816,71034,15.273792,0,1.85219,1.357105
"38",11264,0,6.1312e-05,1,704,16,16,21,0,2,2,1,0,719058,1261648,360480,5632,298521,494689,49873,0,0,39429,11266,663342,40402560,704,92.251529,0.448778,0.946058,43.593683,0.0206405595703125,0.0258094033203125,0.0294670791015625,0.0258011572265625,0.0606331328125,0,70.212364,79.99858,0.896121,53.004439,20.523425,0,0,1.446372,0,0,57029,22530,1,56344,132660,56356,0,0,62.225763,26.434457,0.480319,22475,16896,129804,50695,0,0,1622128,180240,720928,360480,0,1,3,1,1,0,543938,0,1261648,3244112,360432,1622128,1441808,28223,13.238336,0,1.762427,1.47637
"68",14336,0,7.8432e-05,1,896,16,16,21,0,2,2,0,0,904851,1605712,458784,7168,379929,628521,62982,0,0,50181,14338,847589,51507918,896,93.671665,0.447875,0.957934,44.289354,0.0209700283203125,0.0309200771484375,0.02965890625,0.026212900390625,0.0616006455078125,0,70.21245,79.998884,0.890154,53.003488,20.396177,0,0,1.446384,0,0,72581,28674,0,84559,168686,71718,0,0,63.162561,26.853992,0,28612,21504,167402,64519,0,0,2064496,229392,917536,458784,0,1,3,0,1,0,691047,0,1605712,4128848,458736,2064496,1835024,39106,14.642799,0,1.78249,1.427599
"348",43008,0,0.000228256,1,2688,16,16,21,0,2,2,0,1,2558466,4816976,1376288,21504,1139737,1878174,185088,0,0,150533,43010,2499455,155845212,2688,97.659027,0.455432,0.973045,46.090715,0.0218231474609375,0.032939333984375,0.030589650390625,0.0272790615234375,0.064105908203125,0,70.212661,79.999628,0.901411,53.001163,20.682345,0,0,1.446414,0,0,217733,86018,5,259667,505639,215067,0,0,65.680821,27.936487,0.665071,85822,64512,496601,193543,0,0,6193264,688144,2752544,1376288,0,1,3,1,1,0,2067054,0,4816976,12386384,1376240,6193264,5505040,119743,15.554217,0,1.891167,1.328706
