"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",256,0,0.227383,4.7e-05,256,5.176199,"GeForce GTX 750 (0)",1,7
"48","[CUDA memcpy DtoH]",256,0,0.228278,4.6e-05,256,5.272788,"GeForce GTX 750 (0)",1,7
"49","[CUDA memcpy HtoD]",512,0,0.229277,0.000181,1,5.382526,"GeForce GTX 750 (0)",1,7
"144","[CUDA memcpy DtoH]",512,0,0.2318,0.00018,1,5.425588,"GeForce GTX 750 (0)",1,7
"145","[CUDA memcpy HtoD]",768,0,0.230937,0.000591,2.25,3.715985,"GeForce GTX 750 (0)",1,7
"288","[CUDA memcpy DtoH]",768,0,0.236682,0.000563,2.25,3.904237,"GeForce GTX 750 (0)",1,7
"289","[CUDA memcpy HtoD]",1024,0,0.239128,0.001154,4,3.38508,"GeForce GTX 750 (0)",1,7
"480","[CUDA memcpy DtoH]",1024,0,0.250224,0.001032,4,3.786832,"GeForce GTX 750 (0)",1,7
"481","[CUDA memcpy HtoD]",1280,0,0.232609,0.001889,6.25,3.23103,"GeForce GTX 750 (0)",1,7
"720","[CUDA memcpy DtoH]",1280,0,0.251735,0.001747,6.25,3.494503,"GeForce GTX 750 (0)",1,7
"721","[CUDA memcpy HtoD]",1536,0,0.240409,0.002746,9,3.201036,"GeForce GTX 750 (0)",1,7
"1008","[CUDA memcpy DtoH]",1536,0,0.270668,0.002496,9,3.521111,"GeForce GTX 750 (0)",1,7
"1009","[CUDA memcpy HtoD]",1792,0,0.242405,0.00391,12.25,3.059796,"GeForce GTX 750 (0)",1,7
"1344","[CUDA memcpy DtoH]",1792,0,0.287908,0.003746,12.25,3.193184,"GeForce GTX 750 (0)",1,7
"1345","[CUDA memcpy HtoD]",2048,0,0.242275,0.00531,16,2.94255,"GeForce GTX 750 (0)",1,7
"1728","[CUDA memcpy DtoH]",2048,0,0.307207,0.004863,16,3.213354,"GeForce GTX 750 (0)",1,7
"1729","[CUDA memcpy HtoD]",2304,0,0.252146,0.006477,20.25,3.053048,"GeForce GTX 750 (0)",1,7
"2160","[CUDA memcpy DtoH]",2304,0,0.341391,0.006013,20.25,3.288688,"GeForce GTX 750 (0)",1,7
"2161","[CUDA memcpy HtoD]",2560,0,0.251655,0.008103,25,3.01307,"GeForce GTX 750 (0)",1,7
"2640","[CUDA memcpy DtoH]",2560,0,0.370236,0.007493,25,3.25806,"GeForce GTX 750 (0)",1,7
"2641","[CUDA memcpy HtoD]",2816,0,0.265104,0.009777,30.25,3.021597,"GeForce GTX 750 (0)",1,7
"3168","[CUDA memcpy DtoH]",2816,0,0.420261,0.00915,30.25,3.228663,"GeForce GTX 750 (0)",1,7
"3169","[CUDA memcpy HtoD]",3072,0,0.269146,0.011542,36,3.045896,"GeForce GTX 750 (0)",1,7
"3744","[CUDA memcpy DtoH]",3072,0,0.466442,0.010842,36,3.242642,"GeForce GTX 750 (0)",1,7
"3745","[CUDA memcpy HtoD]",3328,0,0.274037,0.013594,42.25,3.035221,"GeForce GTX 750 (0)",1,7
"4368","[CUDA memcpy DtoH]",3328,0,0.521534,0.012997,42.25,3.174463,"GeForce GTX 750 (0)",1,7
"4369","[CUDA memcpy HtoD]",3584,0,0.279948,0.015772,49,3.033965,"GeForce GTX 750 (0)",1,7
"5040","[CUDA memcpy DtoH]",3584,0,0.581147,0.014696,49,3.256128,"GeForce GTX 750 (0)",1,7
"5041","[CUDA memcpy HtoD]",3840,0,0.296626,0.018491,56.25,2.970734,"GeForce GTX 750 (0)",1,7
"5760","[CUDA memcpy DtoH]",3840,0,0.656998,0.017169,56.25,3.199542,"GeForce GTX 750 (0)",1,7
"5761","[CUDA memcpy HtoD]",4096,0,0.293046,0.020851,64,2.997387,"GeForce GTX 750 (0)",1,7
"6528","[CUDA memcpy DtoH]",4096,0,0.721101,0.019518,64,3.202174,"GeForce GTX 750 (0)",1,7
"6529","[CUDA memcpy HtoD]",4352,0,0.304301,0.023336,72.25,3.023459,"GeForce GTX 750 (0)",1,7
"7344","[CUDA memcpy DtoH]",4352,0,0.807838,0.022613,72.25,3.120166,"GeForce GTX 750 (0)",1,7
"7345","[CUDA memcpy HtoD]",4608,0,0.305992,0.026012,81,3.040925,"GeForce GTX 750 (0)",1,7
"8208","[CUDA memcpy DtoH]",4608,0,0.898708,0.0249,81,3.176769,"GeForce GTX 750 (0)",1,7
"8209","[CUDA memcpy HtoD]",4864,0,0.326391,0.028865,90.25,3.053381,"GeForce GTX 750 (0)",1,7
"9120","[CUDA memcpy DtoH]",4864,0,1.006691,0.02779,90.25,3.171469,"GeForce GTX 750 (0)",1,7
"9121","[CUDA memcpy HtoD]",5120,0,0.328522,0.032226,100,3.030375,"GeForce GTX 750 (0)",1,7
"10080","[CUDA memcpy DtoH]",5120,0,1.113356,0.030479,100,3.204077,"GeForce GTX 750 (0)",1,7
"10081","[CUDA memcpy HtoD]",5376,0,0.337703,0.035522,110.25,3.030992,"GeForce GTX 750 (0)",1,7
"11088","[CUDA memcpy DtoH]",5376,0,1.241918,0.033787,110.25,3.186595,"GeForce GTX 750 (0)",1,7
