"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"24270",8192,0,0.000118753,358,1,32,1,46,3072,10,1311533,274944,177568,358,951922,774987,289403,199764,108832,17184,11098,1244367,18208440,358,94.878817,0.76668,0.231825,8.469535,5.469908,5.705501,5.470154,5.469908,8.469535,12.84267,100,100,1.087937,2659,21.384166,1.731183,2.342105,1,1,345828,254896,17184,11098,23152,35080,22199,681.797527,502.525714,8.644997,5.470647,93835,93796,663543,336878,2841088,0,0,0,0,0,91648,5,1,1,1064520,1558016,0,6277888,790464,5390048,601440,0,0,0.564124,0,1.039664
"18357",7168,0,0.000119905,377,1,32,1,46,3072,10,1334470,289536,186992,377,1002443,818033,305114,210366,114608,18096,11687,1266791,19425194,377,94.928399,0.801361,0.242635,8.75385,5.653528,5.871214,5.65377,5.653528,8.75385,12.84267,100,100,1.127464,2659,22.165199,1.731183,2.342105,1,1,364182,268424,18096,11687,24274,36567,23388,704.684941,519.395112,8.844552,5.656914,98842,98774,699797,354757,2991872,0,0,0,0,0,96512,5,1,1,1122393,1640704,0,6611072,832416,5676112,633360,0,0,0.583852,0,1.084224
"1284",1792,0,6.5376e-05,20,1,32,1,46,3072,10,576824,15360,9920,20,53180,43407,16086,11160,6080,960,620,529813,880242,20,91.835811,0.100526,0.025999,0.819226,0.529083,0.503482,0.52951,0.529083,0.819226,12.84267,100,100,0.142671,2659,2.807274,1.731183,2.342105,1,1,19320,14240,960,620,1180,2237,1242,65.947671,48.607393,0.954483,0.529937,5240,5240,36758,18820,158720,0,0,0,0,0,5120,1,1,1,59484,87040,0,350720,44160,301120,33600,0,0,0.071657,0,0.112321
"10320",5376,0,0.000122817,256,1,32,1,46,3072,10,1201417,196608,126976,256,680704,552489,206786,142848,77824,12288,7936,1015076,12367506,256,91.553724,0.647773,0.183894,6.581733,4.250703,4.479146,4.251774,4.250703,6.581733,12.84267,100,100,0.878284,2659,17.25716,1.731183,2.342105,1,1,247296,182272,12288,7936,16725,24667,15873,529.829539,390.516182,6.606104,4.250971,67097,67072,471352,240896,2031616,0,0,0,0,0,65536,4,1,1,759056,1114112,0,4489216,565248,3854336,430080,0,0,0.440369,0,0.822313
"3576",3072,0,5.9873e-05,56,1,32,1,46,3072,10,604963,43008,27776,56,148904,121725,45153,31248,17024,2688,1736,552640,2588042,56,90.69034,0.267469,0.072637,2.889922,1.866408,1.917476,1.866408,1.866408,2.889922,12.84267,100,100,0.386574,2659,7.605173,1.731183,2.342105,1,1,54096,39872,2688,1736,3567,5989,3478,232.638735,171.468715,3.219446,1.869633,14672,14672,103137,52696,444416,0,0,0,0,0,14336,2,1,1,166901,243712,0,982016,123648,843136,94080,0,0,0.191306,0,0.308126
"360",1024,0,6.6625e-05,40,1,32,1,46,3072,10,583578,30720,19840,40,106360,86841,32219,22320,12160,1920,1240,540147,1765226,40,92.310025,0.200245,0.051928,1.632748,1.054483,1.04853,1.054908,1.054483,1.632748,12.84267,100,100,0.28085,2659,5.526164,1.731183,2.342105,1,1,38640,28480,1920,1240,2466,4134,2486,131.436189,96.876363,1.757755,1.057034,10480,10480,73597,37640,317440,0,0,0,0,0,10240,2,1,1,119078,174080,0,701440,88320,602240,67200,0,0,0.141655,0,0.221128
"24783",8192,0,5.9905e-05,187,1,32,1,46,3072,10,683971,143616,92752,187,497233,403875,151154,104346,56848,8976,5797,618502,9415244,187,90.331754,0.80634,0.237854,8.482548,5.478312,5.715041,5.478312,5.478312,8.482548,12.84267,100,100,1.143595,2659,22.469705,1.731183,2.342105,1,1,180642,133144,8976,5797,12095,18437,11601,682.845145,503.297871,8.711717,5.48162,49007,48994,345437,175967,1484032,0,0,0,0,0,47872,5,1,1,555310,813824,0,3279232,412896,2815472,314160,0,0,0.565034,0,1.100924
"8133",4608,0,5.7345e-05,25,1,32,1,46,3072,10,591819,19200,12400,25,66475,54295,20141,13950,7600,1200,775,542148,1129640,25,91.506018,0.122537,0.032536,1.171341,0.756491,0.855079,0.756979,0.756491,1.171341,12.84267,100,100,0.174641,2659,3.436248,1.731183,2.342105,1,1,24150,17800,1200,775,1752,2493,1557,94.292922,69.499545,1.21673,0.759907,6550,6550,46056,23525,198400,0,0,0,0,0,6400,1,1,1,74448,108800,0,438400,55200,376400,42000,0,0,0.087301,0,0.137483
"4959",3584,0,6.6112e-05,27,1,32,1,46,3072,10,587273,20736,13392,27,71793,58580,21764,15066,8208,1296,837,534736,1200890,27,90.908487,0.131614,0.03509,1.431148,0.924283,0.987779,0.924283,0.924283,1.431148,12.84267,100,100,0.191406,2659,3.764743,1.731183,2.342105,1,1,26082,19224,1296,837,1789,3115,1684,115.207377,84.914754,1.719917,0.929804,7074,7074,49676,25407,214272,0,0,0,0,0,6912,1,1,1,80397,117504,0,473472,59616,406512,45360,0,0,0.095015,0,0.15062
"636",1280,0,6.64e-05,28,1,32,1,46,3072,10,578305,21504,13888,28,74452,60670,22561,15624,8512,1344,868,532389,1238162,28,91.705069,0.139789,0.036324,1.144507,0.739161,0.694028,0.739587,0.739161,1.144507,12.84267,100,100,0.199581,2659,3.927423,1.731183,2.342105,1,1,27048,19936,1344,868,1630,3105,1743,92.132836,67.907432,1.322059,0.742141,7336,7336,51386,26348,222208,0,0,0,0,0,7168,1,1,1,83314,121856,0,491008,61824,421568,47040,0,0,0.100063,0,0.15715
