"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"9",20,0,3.7e-05,51,1,256,1,40,11.59375,5,161080,398055,132753,408,403665,372967,0,0,12648,4284,143951,4883148,51,88.697945,2.804183,0.523239,14.07803,13.243625,3.798116,13.854864,16.194867,24.550084,0,57.344121,81.776685,2.808548,989.375,67.476423,0,0,5.926629,4.736695,0,0,74960,20292,4759,31041,20298,0,0,24.77355,16.199656,9843,9843,69819,20043,0,0,0,0,0,0,145707,0,3,1,388648,145707,0,8609463,197931,596343,1418157,0,0,0,0,4.180966
"12",20,0,0.036401,51,1,256,1,40,11.59375,5,152929460,987003867,28792458,408,295153677,191635473,36655893,5151,40537707,923712,137068939,5113713624,51,89.862311,2.156351,0.555339,84.339421,3.368463,2.156693,2.702696,6.243922,124.218152,73.151626,67.896213,53.947871,2.05162,723415.875,42.295967,1.014372,1,6.567108,7.222339,37182722,5151,266215505,6671361,2304333,132737561,6671367,139.201601,19.746701,124.232977,6.243928,29156496,29156496,181481766,78159948,1886421134,99794336,0,0,0,0,17682669,3,1,1,243395203,1018032659,0,2790025726,484665291,1887029732,1003927859,0,0,4.818452,0,2.324948
"15",20,0,0.035164,51,1,256,1,40,11.59375,5,146022388,987003867,28792458,408,295153677,191635477,36655893,5151,40537707,923712,143304600,5188582494,51,89.669608,2.059625,0.594632,84.839854,3.38845,2.077125,2.688593,6.280971,124.955209,73.151622,67.896213,53.947871,2.158752,723415.875,44.504574,1.014372,1,6.567108,7.222339,37182724,5151,266215505,6671361,2206227,132748393,6671367,140.02757,19.86387,124.98032,6.280977,29156496,29156496,181481766,78159948,1886421186,99794388,0,0,0,0,17682669,3,1,1,243395195,1018032711,0,2790025791,484665291,1887029734,1003927861,0,0,5.046372,0,2.468042
"18",20,0,0.035132,51,1,256,1,40,11.59375,5,151677520,987003867,28792458,408,295153710,191635521,36655893,5151,40537707,923712,136372301,5189146290,51,91.904082,2.168114,0.594552,84.717635,3.383569,2.129372,2.684045,6.271923,124.7752,73.151639,67.896213,53.947871,2.051128,723415.955882,42.285821,1.014372,1,6.567108,7.222339,37182715,5151,266215505,6671361,2264985,132748513,6671367,139.825815,19.835254,124.800388,6.271929,29156504,29156504,181481766,78159948,1886421192,99794408,0,0,0,0,17682668,3,1,1,243395215,1018032728,0,2790025883,484665295,1887029725,1003927857,0,0,4.858223,0,2.316959
"21",20,0,0.035246,51,1,256,1,40,11.59375,5,146291448,987003867,28792458,408,295153677,191635461,36655893,5151,40537707,923712,143674422,5107300360,51,89.799848,2.168796,0.555033,84.446719,3.372749,2.196745,2.721418,6.251866,124.376184,73.151688,67.896213,53.947871,2.055877,723415.875,42.383723,1.014371,1,6.567108,7.222339,37182689,5151,266215505,6671361,2344145,132748809,6671367,139.378572,19.771823,124.401569,6.251872,29156496,29156496,181481766,78159948,1886421242,99794444,0,0,0,0,17682669,3,1,1,243395192,1018032767,0,2790025981,484665291,1887029699,1003927826,0,0,5.037091,0,2.320715
"24",20,0,0.03518,51,1,256,1,40,11.59375,5,146395284,987003867,28792458,408,295153710,191635488,36655893,5151,40537707,923712,136252591,5132162056,51,98.539743,2.047437,0.555053,84.843004,3.388576,2.252549,2.758877,6.281204,124.959847,73.151705,67.896213,53.947871,2.166234,723415.955882,44.658823,1.014371,1,6.567108,7.222339,37182680,5151,266215505,6671361,2392466,132748681,6671367,140.032603,19.864607,124.98523,6.28121,29156504,29156504,181481766,78159948,1886420975,99794191,0,0,0,0,17682668,3,1,1,243395217,1018032511,0,2790025848,484665295,1887029690,1003927822,0,0,5.033517,0,2.46159
"27",20,0,0.033009,51,1,256,1,40,11.59375,5,146801520,987003867,28792458,408,295153710,191635501,36655893,5151,40537707,923712,143563807,5099916948,51,89.936304,2.046856,0.555058,84.502216,3.374965,2.169078,2.701172,6.255975,124.457922,73.151722,67.896213,53.947871,2.159758,723415.955882,44.525323,1.014371,1,6.567108,7.222339,37182671,5151,266215505,6671361,2313101,132737505,6671367,139.470101,19.784817,124.472723,6.25598,29156504,29156504,181481766,78159948,1886421047,99794263,0,0,0,0,17682668,3,1,1,243395241,1018032583,0,2790025902,484665295,1887029681,1003927813,0,0,5.019588,0,2.468822
"30",20,0,0.033062,51,1,256,1,40,11.59375,5,147077616,987003867,28792458,408,295153677,191635468,36655893,5151,40537707,923712,135727993,5131166168,51,89.700487,2.163674,0.5907,84.462083,3.373362,2.124772,2.677993,6.253004,124.398813,73.151737,67.896213,53.947871,2.163484,723415.875,44.602133,1.014371,1,6.567108,7.222339,37182663,5151,266215505,6671361,2266930,132748737,6671367,139.403833,19.77542,124.424135,6.253009,29156496,29156496,181481766,78159948,1886420972,99794174,0,0,0,0,17682669,3,1,1,243395191,1018032497,0,2790025844,484665291,1887029673,1003927800,0,0,5.010165,0,2.475348
"33",20,0,0.031956,51,1,256,1,40,11.59375,5,146652532,987003867,28792458,408,295153710,191635490,36655893,5151,40537707,923712,144101135,5118205784,51,92.118522,2.05326,0.554971,84.762337,3.385354,2.192661,2.724163,6.275232,124.841038,73.151762,67.896213,53.947871,2.167761,723415.955882,44.690312,1.01437,1,6.567108,7.222339,37182650,5151,266215505,6671361,2331074,132737493,6671367,139.89935,19.845719,124.855874,6.275238,29156504,29156504,181481766,78159948,1886420847,99794063,0,0,0,0,17682668,3,1,1,243395254,1018032383,0,2790025806,484665295,1887029660,1003927792,0,0,5.024687,0,2.468625
"36",20,0,0.032177,51,1,256,1,40,11.59375,5,151997716,987003867,28792458,408,295153677,191635471,36655893,5151,40537707,923712,136229915,5137199738,51,89.991399,2.16705,0.589215,84.22217,3.36378,2.143732,2.685485,6.235242,124.04546,73.151781,67.896213,53.947871,2.153551,723415.875,44.397362,1.01437,1,6.567108,7.222339,37182640,5151,266215505,6671361,2293674,132748473,6671367,139.007772,19.719249,124.070464,6.235248,29156496,29156496,181481766,78159948,1886420898,99794100,0,0,0,0,17682669,3,1,1,243395194,1018032423,0,2790025816,484665291,1887029650,1003927777,0,0,4.847988,0,2.465434
