"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"173066",512,2272,0.000208,43,43,16,16,35,3,9,6,5,0,3646560,924800,262144,14792,3479904,2934890,274850,179568,70004,29584,11008,3542210,166832664,1849,97.366373,0.981396,0.730633,16.613614,0.004598923828125,0.00921384765625,0.0054932216796875,0.0075451103515625,0.0242409111328125,78.08477,66.929134,60.952381,0.976301,235.255814,22.482743,0.999042,0.992629,9.745809,179396,69488,288320,53760,5,65650,173239,53766,103.128576,39.946256,24.897282,7.727055,753.487305,288100,288100,528900,408500,16669760,3745456,6173600,2469440,0,1852080,1893376,1,1,1,1,1,3210372,12883008,4321520,47252288,5680128,7405840,17776080,0,0,1.78569,21.162411,1.276579
"172242",512,2240,0.000209,43,43,16,16,35,3,9,6,0,5,3640676,924800,262144,14792,3479904,2935522,274844,179568,70004,29584,11008,3548099,166096278,1849,97.453375,0.977679,0.731449,16.606647,0.0045969951171875,0.0082818310546875,0.006054740234375,0.0075419462890625,0.02423074609375,78.08477,66.929134,60.952381,0.966429,235.255814,22.255416,0.999042,0.992629,9.745809,179396,69488,288320,53760,5,59034,173239,53766,103.085328,39.929504,24.886841,7.723815,753.170898,288100,288100,528900,408500,16669760,3745456,6173600,2469440,0,1852080,1893376,1,1,1,1,1,3209784,12883008,4321520,47252288,5680128,7405840,17776080,0,0,1.788576,21.196613,1.280774
"301719",1024,2176,0.000817,86,86,16,16,35,3,9,6,0,5,14037608,3720992,1048576,59168,13924088,11739513,1094940,719304,280188,118336,44032,13941526,657185818,7396,99.395368,0.992613,0.733341,19.127341,0.0052637568359375,0.010530646484375,0.0056842646484375,0.008759220703125,0.027936400390625,78.139487,66.862745,60.093897,0.999088,235.331395,23.013741,0.999283,0.994475,9.820579,718788,278640,1162128,218112,5,262222,695743,218118,118.235166,45.834163,28.61111,8.969689,215.602539,1152572,1152572,2118180,1635204,66698128,14996140,24742120,9896848,0,7422636,7573504,1,1,1,1,1,12833867,51551120,17319484,189074528,22720512,29709892,71109092,0,0,1.856011,22.031994,1.268852
"14069",64,1344,6e-06,6,6,16,16,35,3,9,6,0,5,163232,14112,4096,288,66168,56422,5820,3144,1308,576,192,94375,1772238,36,58.970153,0.701118,0.279927,7.212416,0.0020443359375,0,0.0327093662109375,0.003322044921875,0.0100619638671875,69.756848,70,61.538462,0.691136,229.75,15.803558,0.98855,0.917431,7.583333,3108,1200,4368,832,5,0,3039,838,50.830357,19.62562,12.425471,3.426306,20.933994,5532,5532,9540,7524,314768,65580,95720,38288,0,28716,36864,1,1,1,1,1,62364,241040,67004,904288,110592,114372,343652,0,0,0.753261,7.330058,0.887436
"299222",1024,2080,0.000721,86,86,16,16,35,3,9,6,0,5,14120852,3720992,1048576,59168,13924088,11739481,1094940,719304,280188,118336,44032,14035071,655980056,7396,99.320331,0.988826,0.733353,19.229364,0.0052918330078125,0.0105858466796875,0.0057065087890625,0.00880594140625,0.0280854091796875,78.139487,66.862745,60.093897,0.992497,235.331395,22.862006,0.999283,0.994475,9.820579,718788,278640,1162128,218112,5,262198,696159,218118,118.865817,46.078637,28.780916,9.017532,216.75293,1152572,1152572,2118180,1635204,66698128,14996140,24742120,9896848,0,7422636,7573504,1,1,1,1,1,12834483,51551120,17319484,189074528,22720512,29709892,71109092,0,0,1.84507,21.902113,1.283992
"105546",64,3680,6e-06,6,6,16,16,35,3,9,6,4,1,163200,14112,4096,288,66168,56539,5820,3144,1308,576,192,93674,1677302,36,57.698866,0.670157,0.279777,7.22034,0.00204658203125,0,0.032745306640625,0.0033256953125,0.01007301953125,69.756848,70,61.538462,0.722681,229.75,16.521887,0.98855,0.917431,7.583333,3108,1200,4368,832,5,0,2623,838,50.886207,19.647184,10.736367,3.430071,20.956996,5532,5532,9540,7524,314768,65580,95720,38288,0,28716,36864,1,1,1,1,1,62232,241040,67004,904288,110592,114372,343652,0,0,0.753408,7.331495,0.951766
"14261",64,1344,6e-06,6,6,16,16,35,3,9,6,0,5,168248,14112,4096,288,66168,56406,5820,3144,1308,576,192,98967,1684220,36,58.685477,0.667184,0.280034,7.244219,0.002053349609375,0,0.353176205078125,0.003336693359375,0.01010633203125,69.756848,70,61.538462,0.6884,229.75,15.741012,0.98855,0.917431,7.583333,3108,1200,4368,832,5,0,2623,838,51.054495,19.71216,10.771874,3.441415,21.026304,5532,5532,9540,7524,314768,65580,95720,38288,0,28716,36864,1,1,1,1,1,62364,241040,67004,904288,110592,114372,343652,0,0,0.730804,7.111526,0.889022
"318418",1024,2624,0.000817,86,86,16,16,35,3,9,6,0,5,14067692,3720992,1048576,59168,13924088,11738982,1094944,719304,280188,118336,44032,14010525,657719138,7396,99.371136,0.994331,0.73351,17.233512,0.004742583984375,0.009485673828125,0.005130212890625,0.0078919560546875,0.0251703720703125,78.139487,66.862745,60.093897,0.999516,235.331395,23.023588,0.999283,0.994475,9.820579,718788,278640,1162128,218112,5,262158,695743,218118,106.52851,41.296048,25.778277,8.081585,194.255859,1152572,1152572,2118180,1635204,66698128,14996140,24742120,9896848,0,7422636,7573504,1,1,1,1,1,12833770,51551120,17319484,189074528,22720512,29709892,71109092,0,0,1.852042,21.984879,1.270597
"314804",1024,2528,0.000734,86,86,16,16,35,3,9,6,1,4,14121428,3720992,1048576,59168,13924088,11739512,1094947,719304,280188,118336,44032,14019912,657123994,7396,99.343767,0.993165,0.733338,19.22427,0.005290431640625,0.010808427734375,0.005715572265625,0.0088036083984375,0.0280779697265625,78.139487,66.862745,60.093897,0.992907,235.331395,22.871371,0.999283,0.994475,9.820579,718788,278640,1162128,218112,5,267782,695743,218118,118.83433,46.066431,28.756098,9.015143,216.695312,1152572,1152572,2118180,1635204,66698128,14996140,24742120,9896848,0,7422636,7573504,1,1,1,1,1,12833901,51551120,17319484,189074528,22720512,29709892,71109092,0,0,1.844994,21.90122,1.280251
"47762",64,2464,6e-06,6,6,16,16,35,3,9,6,0,5,168960,14112,4096,288,66168,56544,5820,3144,1308,576,192,98831,1690818,36,58.917871,0.667595,0.279714,7.193664,0.0020390205078125,0,0,0.003313408203125,0.0100358037109375,69.756848,70,61.538462,0.688922,229.75,15.75294,0.98855,0.917431,7.583333,3108,1200,4368,832,5,0,3039,838,50.698204,19.574596,12.393166,3.417398,20.879568,5532,5532,9540,7524,314768,65580,95720,38288,0,28716,36864,1,0,1,1,1,62364,241040,67004,904288,110592,114372,343652,0,0,0.727724,7.081558,0.897516
