"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"2",256,0,3.8976e-05,1,1,16,1,36,1024,9,470409,256,240,1,2365,1366,510,256,16,15,27929,28592,1,5.932922,0.082779,0.015625,0.023899,0.022405,0,0.036595,0.022405,0.023899,7.595756,100,100,0.099753,2365,1.858719,1.196078,1.390625,1,1,610,356,16,15,0,107,34,3.644539,2.126977,0.079911,0.025392,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2074,1480,0,7510,873,5192,1840,16,0.011949,0.001439,0,0.07442
"5",256,0,3.8496e-05,1,1,16,1,36,1024,9,482136,256,240,1,2365,1373,510,256,16,15,28513,28512,1,5.909536,0.084314,0.015624,0.023806,0.022318,0,0.034965,0.022318,0.023806,7.595756,100,100,0.097957,2365,1.826829,1.196078,1.390625,1,1,610,356,16,15,0,76,40,3.630438,2.118747,0.05654,0.029758,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,17,0.012647,0.001404,0,0.073073
"8",256,0,3.8336e-05,1,1,16,1,36,1024,9,478650,256,240,1,2365,1373,510,256,16,15,28056,28056,1,5.945263,0.084281,0.015625,0.023823,0.022334,0,0.036479,0.022334,0.023823,7.595756,100,100,0.097797,2365,1.822047,1.196078,1.390625,1,1,610,356,16,15,0,115,35,3.632977,2.120229,0.085613,0.026056,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2074,1480,0,7510,873,5192,1840,0,0,0.001415,0,0.072882
"11",256,0,3.8496e-05,1,1,16,1,36,1024,9,481062,256,240,1,2365,1374,510,256,16,15,27938,27938,1,5.948921,0.083289,0.015625,0.023957,0.02246,0,0.033689,0.02246,0.023957,7.595756,100,100,0.097701,2365,1.821406,1.196078,1.390625,1,1,610,356,16,15,0,77,33,3.65342,2.13216,0.057646,0.024706,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2075,1480,0,7510,873,5192,1840,15,0.01123,0.001407,0,0.072926
"14",256,0,3.8368e-05,1,1,16,1,36,1024,9,472566,256,240,1,2365,1371,510,256,16,15,28053,27954,1,5.936525,0.084308,0.015626,0.023824,0.022335,0,0.034991,0.022335,0.023824,7.595756,100,100,0.099344,2365,1.852677,1.196078,1.390625,1,1,610,356,16,15,0,63,35,3.633158,2.120335,0.046903,0.026057,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,16,0.011912,0.001433,0,0.074107
"17",256,0,3.8208e-05,1,1,16,1,36,1024,9,482682,256,240,1,2365,1368,510,256,16,15,28718,28520,1,5.949673,0.082924,0.015625,0.023862,0.022371,0,0.035048,0.022371,0.023862,7.595756,100,100,0.096803,2365,1.805488,1.196078,1.390625,1,1,610,356,16,15,0,82,32,3.638976,2.123731,0.061147,0.023862,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,16,0.011931,0.001403,0,0.07222
"20",256,0,3.84e-05,1,1,16,1,36,1024,9,470565,256,240,1,2365,1366,510,256,16,15,27953,27930,1,5.934143,0.084673,0.015624,0.023893,0.0224,0,0.035093,0.0224,0.023893,7.595756,100,100,0.099663,2365,1.856826,1.196078,1.390625,1,1,610,356,16,15,0,61,38,3.643717,2.126497,0.045546,0.028373,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2074,1480,0,7510,873,5192,1840,16,0.011947,0.001439,0,0.074345
"23",256,0,3.8689e-05,1,1,16,1,36,1024,9,470544,256,240,1,2365,1366,510,256,16,15,27926,28584,1,5.934195,0.08284,0.015624,0.023877,0.022385,0,0.035069,0.022385,0.023877,7.595756,100,100,0.099703,2365,1.857787,1.196078,1.390625,1,1,610,356,16,15,0,122,36,3.641254,2.12506,0.091031,0.026862,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2075,1480,0,7510,873,5192,1840,16,0.011939,0.001439,0,0.074311
"26",256,0,3.8272e-05,1,1,16,1,36,1024,9,472773,256,240,1,2365,1371,510,256,16,15,28043,28044,1,5.931599,0.084335,0.015626,0.023861,0.02237,0,0.033554,0.02237,0.023861,7.595756,100,100,0.099312,2365,1.852512,1.196078,1.390625,1,1,610,356,16,15,0,127,37,3.638794,2.123624,0.094698,0.027589,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2082,1480,0,7510,873,5192,1840,15,0.011185,0.001432,0,0.0741
"29",256,0,3.856e-05,1,1,16,1,36,1024,9,472392,256,240,1,2365,1373,510,256,16,15,27926,27922,1,5.934902,0.084682,0.015625,0.023905,0.022411,0,0.033616,0.022411,0.023905,7.595756,100,100,0.099337,2365,1.852975,1.196078,1.390625,1,1,610,356,16,15,0,88,36,3.645453,2.12751,0.065738,0.026893,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,13,0.009711246,0.001433,0,0.074119
"32",256,0,3.8336e-05,1,1,16,1,36,1024,9,477597,256,240,1,2365,1366,510,256,16,15,27924,27928,1,5.944342,0.084685,0.015626,0.023982,0.022483,0,0.036722,0.022483,0.023982,7.595756,100,100,0.098063,2365,1.827228,1.196078,1.390625,1,1,610,356,16,15,0,61,31,3.657186,2.134358,0.045715,0.023232,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2076,1480,0,7510,873,5192,1840,18,0.01349,0.001418,0,0.073089
"35",256,0,3.8208e-05,1,1,16,1,36,1024,9,478740,256,240,1,2365,1375,510,256,16,15,28455,28056,1,5.943727,0.084299,0.015626,0.023837,0.022347,0,0.036501,0.022347,0.023837,7.595756,100,100,0.098225,2365,1.83184,1.196078,1.390625,1,1,610,356,16,15,0,82,35,3.635156,2.121501,0.061083,0.026072,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,18,0.013408,0.001414,0,0.073274
"38",256,0,3.8368e-05,1,1,16,1,36,1024,9,480978,256,240,1,2365,1370,510,256,16,15,28040,28042,1,5.947881,0.084341,0.015626,0.023818,0.022329,0,0.033494,0.022329,0.023818,7.595756,100,100,0.097315,2365,1.815052,1.196078,1.390625,1,1,610,356,16,15,0,145,36,3.632251,2.119806,0.107925,0.026795,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2084,1480,0,7510,873,5192,1840,14,0.01042,0.001408,0,0.072672
"41",256,0,3.8432e-05,1,1,16,1,36,1024,9,479772,256,240,1,2365,1375,510,256,16,15,27942,28046,1,5.946158,0.084643,0.015624,0.023878,0.022386,0,0.033579,0.022386,0.023878,7.595756,100,100,0.097623,2365,1.821018,1.196078,1.390625,1,1,610,356,16,15,0,128,32,3.641437,2.125166,0.095513,0.023878,341,330,1026,797,2600,0,0,0,0,0,120,1,1,1,2078,1480,0,7510,873,5192,1840,15,0.011193,0.001411,0,0.072841
"44",256,0,3.8496e-05,1,1,16,1,36,1024,9,478560,256,240,1,2365,1366,510,256,16,15,27939,28056,1,5.9445,0.084299,0.015626,0.0239,0.022406,0,0.033609,0.022406,0.0239,7.595756,100,100,0.097933,2365,1.82526,1.196078,1.390625,1,1,610,356,16,15,0,88,44,3.644722,2.127084,0.065724,0.032862,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2077,1480,0,7510,873,5192,1840,14,0.010456,0.001415,0,0.07301
"47",256,0,3.8272e-05,1,1,16,1,36,1024,9,470787,256,240,1,2365,1366,510,256,16,15,27930,27930,1,5.933469,0.084652,0.015625,0.02393,0.022435,0,0.035148,0.022435,0.02393,7.595756,100,100,0.099663,2365,1.857056,1.196078,1.390625,1,1,610,356,16,15,0,116,39,3.649386,2.129806,0.086748,0.029165,341,330,1025,797,2600,0,0,0,0,0,120,1,1,1,2075,1480,0,7510,873,5192,1840,15,0.011217,0.001438,0,0.074282
"50",512,0,3.92e-05,1,1,16,1,36,1024,9,494973,256,240,1,2365,1374,510,256,16,15,28304,28304,1,5.949819,0.083655,0.015625,0.023303,0.021847,0.08593,0.034226,0.021847,0.023303,7.595756,100,100,0.094703,2365,1.766553,1.196078,1.390625,1,1,610,356,16,15,118,89,32,3.553704,2.073965,0.064811,0.023303,341,330,1028,797,2600,0,0,0,0,0,120,1,1,1,2081,1480,0,7510,873,5192,1840,83,0.060442,0.001368,0,0.070662
"53",512,0,3.8304e-05,1,1,16,1,36,1024,9,478440,256,240,1,2365,1381,510,256,16,15,28357,28294,1,5.922791,0.08359,0.015626,0.023396,0.021933,0.029244,0.035824,0.021933,0.023396,7.595756,100,100,0.099058,2365,1.850055,1.196078,1.390625,1,1,610,356,16,15,40,61,34,3.567827,2.082207,0.044598,0.024858,341,330,1031,797,2600,0,0,0,0,0,120,1,1,1,2097,1480,0,7510,873,5192,1840,6,0.004386672,0.001415,0,0.074073
"56",512,0,3.8624e-05,1,1,16,1,36,1024,9,480909,256,240,1,2365,1383,510,256,16,15,28259,28258,1,5.927109,0.083386,0.015624,0.023398,0.021936,0.076043,0.034366,0.021936,0.023398,7.595756,100,100,0.097881,2365,1.825182,1.196078,1.390625,1,1,610,356,16,15,104,80,34,3.568177,2.082412,0.058495,0.02486,341,330,1031,797,2600,0,0,0,0,0,120,1,1,1,2081,1480,0,7510,873,5192,1840,47,0.034366,0.001408,0,0.073077
"59",512,0,3.8368e-05,1,1,16,1,36,1024,9,482160,256,240,1,2365,1378,510,256,16,15,29379,28310,1,5.889331,0.083539,0.015625,0.023366,0.021905,0.076669,0.032858,0.021905,0.023366,7.595756,100,100,0.098641,2365,1.840928,1.196078,1.390625,1,1,610,356,16,15,105,197,39,3.563281,2.079554,0.143846,0.028477,341,330,1031,797,2600,0,0,0,0,0,120,1,1,1,2091,1480,0,7510,873,5192,1840,47,0.034318,0.001404,0,0.073637
"62",512,0,3.8368e-05,1,1,16,1,36,1024,9,502116,256,240,1,2365,1374,510,256,16,15,29366,29366,1,5.95938,0.083619,0.015625,0.023345,0.021886,0.072954,0.035747,0.021886,0.023345,7.595756,100,100,0.093306,2365,1.7403,1.196078,1.390625,1,1,610,356,16,15,100,81,35,3.560141,2.077722,0.059093,0.025534,341,330,1031,797,2600,0,0,0,0,0,120,1,1,1,2094,1480,0,7510,873,5192,1840,63,0.045961,0.001348,0,0.069612
"65",512,0,3.8336e-05,1,1,16,1,36,1024,9,479844,256,240,1,2365,1374,510,256,16,15,28329,28416,1,5.924842,0.083225,0.015624,0.023434,0.021969,0.066639,0.032953,0.021969,0.023434,7.595756,100,100,0.098382,2365,1.835209,1.196078,1.390625,1,1,610,356,16,15,91,62,31,3.573613,2.085584,0.045402,0.022701,341,330,1033,797,2600,0,0,0,0,0,120,1,1,1,2087,1480,0,7510,873,5192,1840,43,0.031489,0.001411,0,0.073479
