"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",8192,0,1.307078,5.249e-06,32.003906,5.814689,"GeForce GTX TITAN X (0)",1,7
"2","[CUDA memcpy HtoD]",8192,0,1.307152,4.7234e-05,544.066406,10.984929,"GeForce GTX TITAN X (0)",1,7
"4","[CUDA memcpy DtoH]",8192,0,1.30724,4.608e-06,32,6.622738,"GeForce GTX TITAN X (0)",1,7
"5","[CUDA memcpy HtoD]",8192,0,1.307435,1.184e-06,0.066406,0.053488,"GeForce GTX TITAN X (0)",1,7
"6","[CUDA memcpy HtoD]",8192,0,1.307503,4.7265e-05,544.066406,10.977725,"GeForce GTX TITAN X (0)",1,7
"7","[CUDA memcpy HtoD]",8192,0,1.307595,4.7298e-05,544.066406,10.970066,"GeForce GTX TITAN X (0)",1,7
"9","[CUDA memcpy DtoH]",8192,0,1.307685,4.769e-06,32.003906,6.399938,"GeForce GTX TITAN X (0)",1,7
"10","[CUDA memcpy DtoH]",8192,0,1.307705,4.525e-05,544.066406,11.466567,"GeForce GTX TITAN X (0)",1,7
"11","[CUDA memcpy HtoD]",9216,0,1.348827,5.824e-06,36.003906,5.895605,"GeForce GTX TITAN X (0)",1,7
"12","[CUDA memcpy HtoD]",9216,0,1.348941,5.2866e-05,612.066406,11.04135,"GeForce GTX TITAN X (0)",1,7
"14","[CUDA memcpy DtoH]",9216,0,1.349048,5.024e-06,36,6.833654,"GeForce GTX TITAN X (0)",1,7
"15","[CUDA memcpy HtoD]",9216,0,1.349321,1.216e-06,0.066406,0.052081,"GeForce GTX TITAN X (0)",1,7
"16","[CUDA memcpy HtoD]",9216,0,1.349427,5.2834e-05,612.066406,11.048037,"GeForce GTX TITAN X (0)",1,7
"17","[CUDA memcpy HtoD]",9216,0,1.349556,5.2834e-05,612.066406,11.048037,"GeForce GTX TITAN X (0)",1,7
"19","[CUDA memcpy DtoH]",9216,0,1.349656,5.12e-06,36.003906,6.70625,"GeForce GTX TITAN X (0)",1,7
"20","[CUDA memcpy DtoH]",9216,0,1.349682,5.0146e-05,612.066406,11.640251,"GeForce GTX TITAN X (0)",1,7
"21","[CUDA memcpy HtoD]",10240,0,1.362445,6.4e-06,40.003906,5.961047,"GeForce GTX TITAN X (0)",1,7
"22","[CUDA memcpy HtoD]",10240,0,1.362571,5.8339e-05,680.066406,11.117123,"GeForce GTX TITAN X (0)",1,7
"24","[CUDA memcpy DtoH]",10240,0,1.362682,5.344e-06,40,7.138281,"GeForce GTX TITAN X (0)",1,7
"25","[CUDA memcpy HtoD]",10240,0,1.362995,1.184e-06,0.066406,0.053488,"GeForce GTX TITAN X (0)",1,7
"26","[CUDA memcpy HtoD]",10240,0,1.363113,5.8498e-05,680.066406,11.086907,"GeForce GTX TITAN X (0)",1,7
"27","[CUDA memcpy HtoD]",10240,0,1.363264,5.8402e-05,680.066406,11.105131,"GeForce GTX TITAN X (0)",1,7
"29","[CUDA memcpy DtoH]",10240,0,1.363374,5.408e-06,40.003906,7.054493,"GeForce GTX TITAN X (0)",1,7
"30","[CUDA memcpy DtoH]",10240,0,1.363403,5.5458e-05,680.066406,11.694649,"GeForce GTX TITAN X (0)",1,7
"31","[CUDA memcpy HtoD]",11264,0,1.30669,6.912e-06,44.003906,6.071382,"GeForce GTX TITAN X (0)",1,7
"32","[CUDA memcpy HtoD]",11264,0,1.306787,6.3971e-05,748.066406,11.152111,"GeForce GTX TITAN X (0)",1,7
"34","[CUDA memcpy DtoH]",11264,0,1.306898,5.664e-06,44,7.408487,"GeForce GTX TITAN X (0)",1,7
"35","[CUDA memcpy HtoD]",11264,0,1.307102,1.184e-06,0.066406,0.053488,"GeForce GTX TITAN X (0)",1,7
"36","[CUDA memcpy HtoD]",11264,0,1.307192,6.3874e-05,748.066406,11.169047,"GeForce GTX TITAN X (0)",1,7
"37","[CUDA memcpy HtoD]",11264,0,1.307315,6.3939e-05,748.066406,11.157693,"GeForce GTX TITAN X (0)",1,7
"39","[CUDA memcpy DtoH]",11264,0,1.307434,5.696e-06,44.003906,7.36752,"GeForce GTX TITAN X (0)",1,7
"40","[CUDA memcpy DtoH]",11264,0,1.307456,6.077e-05,748.066406,11.739538,"GeForce GTX TITAN X (0)",1,7
"41","[CUDA memcpy HtoD]",12288,0,1.298332,7.456e-06,48.003906,6.140034,"GeForce GTX TITAN X (0)",1,7
"42","[CUDA memcpy HtoD]",12288,0,1.298436,6.9666e-05,816.066406,11.171326,"GeForce GTX TITAN X (0)",1,7
"44","[CUDA memcpy DtoH]",12288,0,1.298556,5.952e-06,48,7.690922,"GeForce GTX TITAN X (0)",1,7
"45","[CUDA memcpy HtoD]",12288,0,1.298765,1.152e-06,0.066406,0.054974,"GeForce GTX TITAN X (0)",1,7
"46","[CUDA memcpy HtoD]",12288,0,1.298862,6.941e-05,816.066406,11.212528,"GeForce GTX TITAN X (0)",1,7
"47","[CUDA memcpy HtoD]",12288,0,1.298996,6.9538e-05,816.066406,11.191889,"GeForce GTX TITAN X (0)",1,7
"49","[CUDA memcpy DtoH]",12288,0,1.299125,6.048e-06,48.003906,7.56946,"GeForce GTX TITAN X (0)",1,7
"50","[CUDA memcpy DtoH]",12288,0,1.299148,6.6082e-05,816.066406,11.77721,"GeForce GTX TITAN X (0)",1,7
"51","[CUDA memcpy HtoD]",13312,0,1.291644,8e-06,52.003906,6.199349,"GeForce GTX TITAN X (0)",1,7
"52","[CUDA memcpy HtoD]",13312,0,1.291762,7.5299e-05,884.066406,11.196848,"GeForce GTX TITAN X (0)",1,7
