"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"2621",2560,0,3.232e-05,1,1,16,1,36,1,1,9,0,0,281608,256,240,1,2365,1341,692,510,256,16,15,31700,31696,1,11.255717,0.074613,0.015625,0.030114,2.75703125e-05,4.3193359375e-05,2.75703125e-05,2.75703125e-05,2.9408203125e-05,7.595756,100,100,0.08597,2365,1.603464,1.196078,1.390625,1,610,356,16,15,1,47,56,39,4.592356,2.680129,0.052699,0.036701,0.963641,330,613,1031,967,2600,0,0,0,0,0,120,1,1,1,1,0,2033,1480,0,7510,873,5192,1840,0,0,0.002404,0,0.064139
"9257",5120,0,3.1168e-05,1,1,16,1,36,1,1,9,1,0,282694,256,240,1,2365,1340,692,510,256,16,15,31730,31732,1,11.22415,0.074535,0.015625,0.030007,2.74716796875e-05,7.96689453125e-05,2.74716796875e-05,2.74716796875e-05,2.93037109375e-05,7.595756,100,100,0.085849,2365,1.601009,1.196078,1.390625,1,610,356,16,15,1,87,104,35,4.576028,2.6706,0.097522,0.03282,0.960216,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,1,0,2032,1480,0,7510,873,5192,1840,0,0,0.002395,0,0.06404
"14633",6400,0,3.1584e-05,1,1,16,1,36,1,1,9,0,4,293076,256,240,1,2365,1345,691,510,256,16,15,33030,31762,1,11.298435,0.071422,0.015625,0.029993,2.7458984375e-05,7.9630859375e-05,2.7458984375e-05,2.7458984375e-05,2.92900390625e-05,7.595756,100,100,0.082354,2365,1.537161,1.196078,1.390625,1,610,356,16,15,9,87,74,35,4.57387,2.66934,0.069358,0.032804,8.637865,330,613,1029,967,2600,0,0,0,0,0,120,1,1,1,1,0,2036,1480,0,7510,873,5192,1840,0,0,0.00231,0,0.061486
"23195",7936,0,3.1424e-05,1,1,16,1,36,1,1,9,0,0,284146,256,240,1,2365,1347,692,510,256,16,15,31746,31746,1,11.188262,0.074392,0.015625,0.030005,2.7470703125e-05,3.57109375e-05,2.7470703125e-05,2.7470703125e-05,2.93017578125e-05,7.595756,100,100,0.085905,2365,1.603441,1.196078,1.390625,1,610,356,16,15,1,39,112,39,4.57574,2.670432,0.105017,0.036568,0.960155,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,1,0,2039,1480,0,7510,873,5192,1840,0,0,0.002383,0,0.064138
"2429",2560,0,3.376e-05,1,1,16,1,36,1,1,9,4,0,281944,256,240,1,2365,1348,694,510,256,16,15,31689,31668,1,11.239466,0.074632,0.015625,0.030073,2.75322265625e-05,3.57919921875e-05,2.75322265625e-05,2.75322265625e-05,2.93681640625e-05,7.595756,100,100,0.086339,2365,1.610969,1.196078,1.390625,1,610,356,16,15,13,39,52,35,4.586129,2.676495,0.048869,0.032892,12.510359,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,1,0,2042,1480,0,7510,873,5192,1840,0,0,0.002401,0,0.064439
"5417",3840,0,3.344e-05,1,1,16,1,36,1,1,9,1,0,283202,256,240,1,2365,1348,694,510,256,16,15,31690,33052,1,11.189893,0.074629,0.015625,0.02998,2.74482421875e-05,7.95986328125e-05,2.74482421875e-05,2.74482421875e-05,2.927734375e-05,7.595756,100,100,0.086336,2365,1.610918,1.196078,1.390625,1,610,356,16,15,1,87,122,43,4.572,2.668249,0.1143,0.040286,0.95937,330,613,1029,967,2600,0,0,0,0,0,120,1,1,1,1,0,2042,1480,0,7510,873,5192,1840,0,0,0.002391,0,0.064437
"1283",1792,0,3.3056e-05,1,1,16,1,36,1,1,9,0,0,281366,256,240,1,2365,1345,692,510,256,16,15,31675,32940,1,11.251182,0.074707,0.015625,0.02831,2.591796875e-05,3.36943359375e-05,2.591796875e-05,2.591796875e-05,2.7646484375e-05,7.595756,100,100,0.086205,2365,1.608649,1.196078,1.390625,1,610,356,16,15,5,39,146,31,4.317254,2.519578,0.129164,0.027425,4.529577,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,1,0,2037,1480,0,7510,873,5192,1840,0,0,0.002406,0,0.064346
"21893",7680,0,3.136e-05,1,1,16,1,36,1,1,9,1,0,281192,256,240,1,2365,1340,692,510,256,16,15,31719,31730,1,11.280193,0.074561,0.015625,0.029964,2.743359375e-05,4.2978515625e-05,2.743359375e-05,2.743359375e-05,2.926171875e-05,7.595756,100,100,0.085879,2365,1.601564,1.196078,1.390625,1,610,356,16,15,1,47,98,35,4.569558,2.666824,0.091766,0.032773,0.958858,330,613,1027,967,2600,0,0,0,0,0,120,1,1,1,1,0,2032,1480,0,7510,873,5192,1840,0,0,0.002408,0,0.064063
"23399",7936,0,3.1744e-05,1,1,16,1,36,1,1,9,0,0,283112,256,240,1,2365,1350,693,510,256,16,15,31775,31776,1,11.221001,0.074446,0.015625,0.030063,2.75244140625e-05,3.578125e-05,2.75244140625e-05,2.75244140625e-05,2.93583984375e-05,7.595756,100,100,0.086124,2365,1.60775,1.196078,1.390625,1,610,356,16,15,1,39,102,35,4.584684,2.675651,0.095827,0.032882,0.962031,330,613,1031,967,2600,0,0,0,0,0,120,1,1,1,1,0,2043,1480,0,7510,873,5192,1840,0,0,0.002392,0,0.06431
"1238",1792,0,3.3792e-05,1,1,16,1,36,1,1,9,4,4,288846,256,240,1,2365,1348,694,510,256,16,15,31624,31624,1,11.323335,0.072309,0.015625,0.028309,2.591796875e-05,7.51611328125e-05,2.591796875e-05,2.591796875e-05,2.76455078125e-05,7.595756,100,100,0.083652,2365,1.560828,1.196078,1.390625,1,610,356,16,15,9,87,84,35,4.317126,2.519503,0.074311,0.030963,8.152998,330,613,1028,967,2600,0,0,0,0,0,120,1,1,1,1,0,2042,1480,0,7510,873,5192,1840,0,0,0.002344,0,0.062433
