"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",8192,0,2.010011,1.136e-05,32.003906,2.686734,"Tesla K40c (0)",1,7
"2","[CUDA memcpy HtoD]",8192,0,2.010219,6.9376e-05,544.066406,7.478986,"Tesla K40c (0)",1,7
"4","[CUDA memcpy DtoH]",8192,0,2.010334,5.376e-06,32,5.676633,"Tesla K40c (0)",1,7
"5","[CUDA memcpy HtoD]",8192,0,2.010492,9.92e-07,0.066406,0.063841,"Tesla K40c (0)",1,7
"6","[CUDA memcpy HtoD]",8192,0,2.010587,5.5392e-05,544.066406,9.367096,"Tesla K40c (0)",1,7
"7","[CUDA memcpy HtoD]",8192,0,2.010679,5.5104e-05,544.066406,9.416053,"Tesla K40c (0)",1,7
"9","[CUDA memcpy DtoH]",8192,0,2.010788,5.408e-06,32.003906,5.643732,"Tesla K40c (0)",1,7
"10","[CUDA memcpy DtoH]",8192,0,2.010807,5.4944e-05,544.066406,9.443473,"Tesla K40c (0)",1,7
"11","[CUDA memcpy HtoD]",9216,0,2.004045,7.392e-06,36.003906,4.645022,"Tesla K40c (0)",1,7
"12","[CUDA memcpy HtoD]",9216,0,2.004225,6.2048e-05,612.066406,9.407427,"Tesla K40c (0)",1,7
"14","[CUDA memcpy DtoH]",9216,0,2.004326,5.76e-06,36,5.960464,"Tesla K40c (0)",1,7
"15","[CUDA memcpy HtoD]",9216,0,2.004483,9.92e-07,0.066406,0.063841,"Tesla K40c (0)",1,7
"16","[CUDA memcpy HtoD]",9216,0,2.004588,6.1984e-05,612.066406,9.41714,"Tesla K40c (0)",1,7
"17","[CUDA memcpy HtoD]",9216,0,2.004692,6.1696e-05,612.066406,9.4611,"Tesla K40c (0)",1,7
"19","[CUDA memcpy DtoH]",9216,0,2.004812,5.792e-06,36.003906,5.928177,"Tesla K40c (0)",1,7
"20","[CUDA memcpy DtoH]",9216,0,2.004832,6.1569e-05,612.066406,9.480615,"Tesla K40c (0)",1,7
"21","[CUDA memcpy HtoD]",10240,0,2.005292,1.2704e-05,40.003906,3.003046,"Tesla K40c (0)",1,7
"22","[CUDA memcpy HtoD]",10240,0,2.005484,6.8832e-05,680.066406,9.422389,"Tesla K40c (0)",1,7
"24","[CUDA memcpy DtoH]",10240,0,2.005596,6.176e-06,40,6.176647,"Tesla K40c (0)",1,7
"25","[CUDA memcpy HtoD]",10240,0,2.00576,1.024e-06,0.066406,0.061846,"Tesla K40c (0)",1,7
"26","[CUDA memcpy HtoD]",10240,0,2.005888,7.3761e-05,680.066406,8.792748,"Tesla K40c (0)",1,7
"27","[CUDA memcpy HtoD]",10240,0,2.006015,6.8288e-05,680.066406,9.49745,"Tesla K40c (0)",1,7
"29","[CUDA memcpy DtoH]",10240,0,2.006149,6.176e-06,40.003906,6.17725,"Tesla K40c (0)",1,7
"30","[CUDA memcpy DtoH]",10240,0,2.006171,8.7329e-05,680.066406,7.426649,"Tesla K40c (0)",1,7
"31","[CUDA memcpy HtoD]",11264,0,2.012596,1.2768e-05,44.003906,3.286763,"Tesla K40c (0)",1,7
"32","[CUDA memcpy HtoD]",11264,0,2.012766,7.5457e-05,748.066406,9.454547,"Tesla K40c (0)",1,7
"34","[CUDA memcpy DtoH]",11264,0,2.012887,6.528e-06,44,6.427952,"Tesla K40c (0)",1,7
"35","[CUDA memcpy HtoD]",11264,0,2.013048,1.024e-06,0.066406,0.061846,"Tesla K40c (0)",1,7
"36","[CUDA memcpy HtoD]",11264,0,2.013168,7.5136e-05,748.066406,9.494939,"Tesla K40c (0)",1,7
"37","[CUDA memcpy HtoD]",11264,0,2.013301,7.4945e-05,748.066406,9.519137,"Tesla K40c (0)",1,7
"39","[CUDA memcpy DtoH]",11264,0,2.013447,6.56e-06,44.003906,6.397164,"Tesla K40c (0)",1,7
