"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"5",5,0,0.014861,125,1,128,1,64,7.03125,8,"259750248",782132,0,500,43175792,42042812,4429152,45940,107956,35152,239390513,6199558718,125,"92.184689",0.180354,0.404645,1.12977,498.127791,25.534433,1.779837,1.945812,4.183426,143.239921,27.005847,25,0.180372,86351.584,4.450051,1.043651,5.639182,18.186947,25,4622488,259064,1963390,878800,11262,1901812,878806,40.939878,2.294446,4.210933,1.945825,2353396,2353396,5087070,4646064,0,0,1142472000,153806000,109866000,439400000,0,1,1,1,42610251,21970000,703072000,77934508,57552580,115581532,81298664,0,0,"0.000000","54.979351",0.180521
"11",6,0,0.029763,216,1,128,1,64,7.03125,8,"502957324",1458176,0,864,80490400,78377889,8257536,85376,200928,65536,444983011,12996928408,216,"86.598433",0.181067,0.456969,1.100232,485.98361,53.273106,28.945449,1.898373,4.073457,143.263144,27.009776,25,0.180889,93160.185185,4.462817,1.043651,5.636432,18.182513,25,8617984,481216,3653376,1638400,44900,3539655,1638406,39.941778,2.230292,4.101311,1.89838,4386624,4386624,9482496,8661120,0,0,2129975296,286747648,204827648,819200000,0,1,1,1,79435085,40960000,1310775296,145235360,107281984,215469824,151542336,0,0,"0.000000","52.936283",0.18114
"17",7,0,0.047145,343,1,128,1,64,7.03125,8,"808457976",2441804,0,1372,134780736,131243497,13827744,142668,336092,109744,743154322,22584007870,343,"92.015872",0.181363,0.474571,1.150032,508.585161,68.060988,27.557323,1.986661,4.257429,143.278367,27.012359,25,0.181443,98236.688047,4.476516,1.043651,5.63462,18.1796,25,14431336,803880,6110018,2743600,91790,5903730,2743606,41.799343,2.328382,4.274934,1.986665,7344620,7344620,15877218,14502672,0,0,3566767808,480173904,342993904,1371800000,0,1,1,1,133013355,68590000,2194967808,243136644,179631772,360799908,253736440,0,0,"0.000000","55.147700",0.18173
"23",8,0,0.069442,512,1,128,1,64,7.03125,8,"1211427228",3790688,0,2048,209229536,203738966,21466368,221152,521344,170368,1152423712,35830572094,512,"94.350409",0.181556,0.485816,1.177728,521.270555,77.405838,27.71673,2.036213,4.359665,143.289105,27.014185,25,0.181551,102162.859375,4.479206,1.043651,5.633338,18.177541,25,22403392,1245824,9476752,4259200,158117,9165933,4259206,42.841924,2.382385,4.381995,2.036216,11400736,11400736,24646032,22513152,0,0,5537091072,745425536,532465536,2129600000,0,1,1,1,206485039,106480000,3407491072,377373184,278842528,560091424,393870464,0,0,"0.000000","57.133963",0.181831
"29",9,0,0.098463,729,1,128,1,64,7.03125,8,"1738424964",5562500,0,2916,307019536,298963343,31500000,324164,764580,250000,1691167204,53281434394,729,"97.356303",0.181508,0.492277,1.209251,535.556637,81.602379,26.74287,2.092018,4.476129,143.297081,27.015542,25,0.18157,105287.906722,4.479668,1.043651,5.632384,18.17601,25,32875000,1825816,13897014,6250000,238077,13431080,6250006,44.016061,2.44457,4.49569,2.09202,16728324,16728324,36163734,33034992,0,0,8125186624,1093843312,781343312,3.125e+09,0,1,1,1,302992300,156250000,5000186624,553679804,409154836,821864012,577933896,0,0,"0.000000","58.423478",0.181854
"35",10,0,0.138041,1000,1,128,1,64,7.03125,8,"2444508184",7814912,0,4000,431333472,420015937,44255232,455040,1073696,351232,2375092434,75067158592,1000,"97.966371",0.181598,0.493822,1.090031,482.988955,73.516102,23.42602,1.886676,4.034674,143.303236,27.016591,25,0.181581,107833.368,4.47996,1.043651,5.631646,18.174828,25,46187008,2562624,19514240,8780800,334133,18870951,8780806,39.695655,2.20246,4.054683,1.886677,23500736,23500736,50805120,46410624,0,0,11415296000,1536768000,1097728000,4390400000,0,1,1,1,425675719,219520000,7024896000,777791328,574809280,1154637312,811916224,0,0,"0.000000","58.372151",0.181857
"41",11,0,0.185189,1331,1,128,1,64,7.03125,8,"3267177452",10605596,0,5324,585354080,569996541,60058656,617116,1456588,476656,3223171807,102089314842,1331,"98.506585",0.181591,0.49486,1.224486,542.773316,79.99361,25.627915,2.120208,4.53221,143.308129,27.017426,25,0.181604,109946.296018,4.480527,1.043651,5.631058,18.173887,25,62680264,3475016,26471866,11916400,439058,25590238,11916406,44.609182,2.473149,4.553106,2.120209,31891324,31891324,68944986,62982480,0,0,15491660736,2085540368,1489720368,5958200000,0,1,1,1,577676237,297910000,9533460736,1055442580,780046444,1566930964,1101806936,0,0,"0.000000","59.270046",0.181865
"47",12,0,0.238096,1728,1,128,1,64,7.03125,8,"4298036760",13992224,0,6912,772264096,752004111,79236864,813728,1921152,628864,4252059132,135335157958,1728,"99.028066",0.181616,0.497246,1.234874,547.548674,87.37862,25.210588,2.138862,4.570544,143.312111,27.018106,25,0.181606,111728.023148,4.480586,1.043651,5.630579,18.173121,25,82695616,4581760,34913328,15721600,627219,33749349,15721606,45.001657,2.493322,4.591467,2.138863,42073440,42073440,90958128,83092992,0,0,20438522368,2751501184,1965421184,7860800000,0,1,1,1,762135234,393040000,12577722368,1392368384,1029106912,2067264608,1453595520,0,0,"0.000000","59.441448",0.18187
"53",13,0,0.302272,2197,1,128,1,64,7.03125,8,"5517191584",18032468,0,8788,995246256,969138243,102116448,1048212,2475284,810448,5479876434,174281942016,2197,"99.013881",0.181616,0.496911,1.230497,545.748895,105.743817,24.646241,2.131832,4.554247,143.315415,27.01867,25,0.181621,113250.598088,4.480971,1.043651,5.630182,18.172485,25,106573912,5901624,44982062,20261200,981448,43482092,20261206,44.853737,2.483815,4.575074,2.131832,54220436,54220436,117219342,107084592,0,0,26340122432,3545991216,2532931216,10130600000,0,1,1,1,982193082,506530000,16209522432,1794303564,1326231268,2664157884,1873271464,0,0,"0.000000","59.677378",0.18188
"59",14,0,0.371731,2744,1,128,1,64,7.03125,8,"6971506664",22784000,0,10976,1257483296,1224497729,129024000,1323904,3126880,1024000,6923390115,220498581182,2744,"99.206543",0.181639,0.49763,1.104649,490.03989,110.935153,21.841001,1.914218,4.088395,143.3182,27.019146,25,0.181639,114566.626822,4.481411,1.043651,5.629846,18.171949,25,134656000,7453376,56821504,25600000,1448831,54956839,25600006,40.275153,2.22928,4.109351,1.914219,68505664,68505664,148103424,135299712,0,0,33280702464,4480351232,3200351232,1.28e+10,0,1,1,1,1240991457,6.4e+08,20480702464,2266982944,1675660096,3366130432,2366824256,0,0,"0.000000","59.672722",0.181895
