"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","kernel","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","global_store_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","control.flow_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"533",62464,0,0.000164036,1,3904,16,16,11,1088,1,1518205,1061888,1061888,31232,3966464,3099539,530944,374784,218624,62464,62464,1445411,87681216,3904,95.205259,2.749172,0.945671,24.346034,24.346034,34.251284,32.149693,34.370872,35.802992,20.888123,68,70.833333,2.879115,127,62.794596,1,1.000005,1.53125,1.5,374784,218625,95648,93696,186740,195443,187420,549.933955,320.796274,35.847562,34.376008,343545,312320,849631,718336,1936384,936960,0,0,0,0,0,5,4,2,3630560,1936384,0,41913344,1936384,10056704,18114560,80885,14.835681,0.332147,0,6.317883
"563",65536,0,0.000171973,1,4096,16,16,11,1088,1,1554293,1114112,1114112,32768,4161536,3251646,557056,393216,229376,65536,65536,1509130,90938382,4096,96.811283,2.770569,0.945981,24.704559,24.704559,34.723402,32.596983,34.877025,36.330234,20.888158,68,70.833333,2.901354,127,63.278785,1,1,1.53125,1.5,393216,229376,100352,98304,195742,205048,196623,558.032393,325.518896,36.374228,34.879685,360447,327680,891115,753664,2031616,983040,0,0,0,0,0,5,4,2,3808712,2031616,0,43974656,2031616,10551296,19005440,85033,15.08432,0.340391,0,6.394053
"473",56320,0,0.000148355,1,3520,16,16,11,1088,1,1388530,957440,957440,28160,3576320,2794649,478720,337920,197120,56320,56320,1298968,78560596,3520,93.299317,2.74756,0.944716,24.326767,24.326767,34.402212,32.127472,34.343671,35.774658,20.887963,68,70.833333,2.896272,127,63.168599,1,1.000025,1.53125,1.5,337920,197125,86240,84480,169248,176228,169014,549.49874,320.549062,35.821002,34.354648,309750,281600,765784,647680,1745920,844800,0,0,0,0,0,5,4,2,3273520,1745920,0,37790720,1745920,9067520,16332800,74170,15.076172,0.327445,0,6.356104
"373",46080,0,0.000122243,1,2880,16,16,11,1088,1,1118974,783360,783360,23040,2926080,2286699,391680,276480,161280,46080,46080,1063598,64025630,2880,95.580594,2.757131,0.942638,24.261882,24.261882,33.91708,32.054327,34.252068,35.679238,20.888158,68,70.833333,2.870763,127,62.613579,1,1,1.53125,1.5,276480,161280,70560,69120,136888,144092,138264,548.033095,319.685972,35.702033,34.258015,253432,230400,626707,529920,1428480,691200,0,0,0,0,0,5,4,2,2678664,1428480,0,30919680,1428480,7418880,13363200,59458,14.732056,0.332447,0,6.338948
"283",36864,0,9.9011e-05,1,2304,16,16,11,1088,1,908466,626688,626688,18432,2340864,1829766,313344,221184,129024,36864,36864,858868,51503068,2304,94.540467,2.736716,0.939837,23.888698,23.888698,33.210463,31.565858,33.725221,35.130439,20.886369,68,70.833333,2.860107,127,62.381821,1,1.000233,1.53125,1.5,221184,129054,56448,55296,108904,115408,110613,539.603542,314.841922,35.193869,33.731625,202754,184320,501341,423936,1142784,552960,0,0,0,0,0,5,4,2,2143141,1142784,0,24735744,1142784,5935104,10690560,47505,14.486732,0.327585,0,6.385086
"243",32768,0,8.8354e-05,1,2048,16,16,11,1088,1,812019,557056,557056,16384,2080768,1626580,278528,196608,114688,32768,32768,766554,45477428,2048,93.584879,2.744754,0.937337,24.000964,24.000964,33.261216,31.715313,33.883713,35.295535,20.888158,68,70.833333,2.873493,127,62.674342,1,1,1.53125,1.5,196608,114688,50176,49152,96498,97426,98333,542.139412,316.24799,33.581082,33.893709,180220,163840,445536,376832,1015808,491520,0,0,0,0,0,5,4,2,1905117,1015808,0,21987328,1015808,5275648,9502720,42281,14.57354,0.325772,0,6.41222
"233",31744,0,8.6114e-05,1,1984,16,16,11,1088,1,836082,539648,539648,15872,2015744,1575673,269824,190464,111104,31744,31744,735486,44198956,1984,88.075332,2.732708,0.936246,23.720051,23.720051,32.775065,31.331593,33.48713,34.882428,20.885803,68,70.833333,2.872587,127,62.6542,1,1.000306,1.53125,1.5,190464,111138,48608,47616,93207,99340,95256,535.794087,312.642196,34.931657,33.49557,174591,158720,431706,365056,984064,476160,0,0,0,0,0,4,4,2,1845505,984064,0,21300224,984064,5110784,9205760,40765,14.334498,0.306509,0,6.412124
"53",13312,0,3.6417e-05,1,832,16,16,11,1088,1,372125,226304,226304,6656,845312,661518,113152,79872,46592,13312,13312,316447,18514388,832,85.89345,2.674852,0.915402,22.100564,22.100564,20.489585,29.431219,31.200796,32.500829,20.884029,68,70.833333,2.778266,127,60.606449,1,1.000537,1.53125,1.5,79872,46617,20384,19968,26226,41745,39950,499.212729,291.363679,32.614113,31.211733,73212,66560,181069,153088,412672,199680,0,0,0,0,0,4,3,2,774868,412672,0,8932352,412672,2143232,3860480,13929,10.882309,0.288792,0,6.569106
"23",10240,0,2.9088e-05,1,640,16,16,11,1088,1,293735,174080,174080,5120,650240,509184,87040,61440,35840,10240,10240,244119,14090288,640,82.939384,2.572009,0.902243,21.488404,21.488404,6.281606,28.792091,30.33657,31.600594,20.888158,68,70.833333,2.804422,127,61.178691,1,1,1.53125,1.5,61440,35840,15680,15360,6361,32153,30740,485.385119,283.141319,31.751684,30.35632,56322,51200,139327,117760,317440,153600,0,0,0,0,0,4,2,2,596179,317440,0,6871040,317440,1648640,2969600,6090,6.013988,0.281433,0,6.792995
"303",38912,0,0.000104419,1,2432,16,16,11,1088,1,972595,661504,661504,19456,2470912,1931171,330752,233472,136192,38912,38912,904552,54245550,2432,92.47765,2.741188,0.940298,24.016124,24.016124,33.581562,31.708788,33.905116,35.317829,20.887819,68,70.833333,2.882635,127,62.872526,1,1.000044,1.53125,1.5,233472,136198,59584,58368,115622,121759,116769,542.481849,316.461686,35.364009,33.9147,214023,194560,529061,447488,1206272,583680,0,0,0,0,0,5,4,2,2261985,1206272,0,26109952,1206272,6264832,11284480,59202,17.194787,0.322985,0,6.365236
