"","name","input.size.1","input.size.2","start","duration","size","throughput","device","context","stream"
"1","[CUDA memcpy HtoD]",8192,0,1.397791,7.04e-06,32.003906,4.335412,"Quadro K5200 (1)",1,7
"2","[CUDA memcpy HtoD]",8192,0,1.397871,9.3441e-05,544.066406,5.552832,"Quadro K5200 (1)",1,7
"4","[CUDA memcpy DtoH]",8192,0,1.398016,7.392e-06,32,4.12846,"Quadro K5200 (1)",1,7
"5","[CUDA memcpy HtoD]",8192,0,1.398237,1.152e-06,0.066406,0.054974,"Quadro K5200 (1)",1,7
"6","[CUDA memcpy HtoD]",8192,0,1.39831,9.3185e-05,544.066406,5.568087,"Quadro K5200 (1)",1,7
"7","[CUDA memcpy HtoD]",8192,0,1.398453,9.3474e-05,544.066406,5.550871,"Quadro K5200 (1)",1,7
"9","[CUDA memcpy DtoH]",8192,0,1.398611,7.744e-06,32.003906,3.941284,"Quadro K5200 (1)",1,7
"10","[CUDA memcpy DtoH]",8192,0,1.398636,8.7169e-05,544.066406,5.95237,"Quadro K5200 (1)",1,7
"11","[CUDA memcpy HtoD]",9216,0,1.39385,7.808e-06,36.003906,4.397541,"Quadro K5200 (1)",1,7
"12","[CUDA memcpy HtoD]",9216,0,1.393938,0.00010509,612.066406,5.554401,"Quadro K5200 (1)",1,7
"14","[CUDA memcpy DtoH]",9216,0,1.394098,8.064e-06,36,4.257475,"Quadro K5200 (1)",1,7
"15","[CUDA memcpy HtoD]",9216,0,1.394312,1.12e-06,0.066406,0.056545,"Quadro K5200 (1)",1,7
"16","[CUDA memcpy HtoD]",9216,0,1.394403,0.000104674,612.066406,5.576476,"Quadro K5200 (1)",1,7
"17","[CUDA memcpy HtoD]",9216,0,1.394562,0.00010509,612.066406,5.554401,"Quadro K5200 (1)",1,7
"19","[CUDA memcpy DtoH]",9216,0,1.394739,8.417e-06,36.003906,4.079363,"Quadro K5200 (1)",1,7
"20","[CUDA memcpy DtoH]",9216,0,1.394764,9.6193e-05,612.066406,6.068134,"Quadro K5200 (1)",1,7
"21","[CUDA memcpy HtoD]",10240,0,1.38147,8.608e-06,40.003906,4.432005,"Quadro K5200 (1)",1,7
"22","[CUDA memcpy HtoD]",10240,0,1.381567,0.000116098,680.066406,5.586331,"Quadro K5200 (1)",1,7
"24","[CUDA memcpy DtoH]",10240,0,1.381744,8.64e-06,40,4.415159,"Quadro K5200 (1)",1,7
"25","[CUDA memcpy HtoD]",10240,0,1.381967,1.152e-06,0.066406,0.054974,"Quadro K5200 (1)",1,7
"26","[CUDA memcpy HtoD]",10240,0,1.382054,0.000115937,680.066406,5.594089,"Quadro K5200 (1)",1,7
"27","[CUDA memcpy HtoD]",10240,0,1.38223,0.000116193,680.066406,5.581764,"Quadro K5200 (1)",1,7
"29","[CUDA memcpy DtoH]",10240,0,1.382425,9.024e-06,40.003906,4.227693,"Quadro K5200 (1)",1,7
"30","[CUDA memcpy DtoH]",10240,0,1.382451,0.000108257,680.066406,5.990946,"Quadro K5200 (1)",1,7
"31","[CUDA memcpy HtoD]",11264,0,1.407333,9.377e-06,44.003906,4.475354,"Quadro K5200 (1)",1,7
"32","[CUDA memcpy HtoD]",11264,0,1.407445,0.000127553,748.066406,5.593061,"Quadro K5200 (1)",1,7
"34","[CUDA memcpy DtoH]",11264,0,1.407636,9.248e-06,44,4.537378,"Quadro K5200 (1)",1,7
"35","[CUDA memcpy HtoD]",11264,0,1.407895,1.152e-06,0.066406,0.054974,"Quadro K5200 (1)",1,7
"36","[CUDA memcpy HtoD]",11264,0,1.407998,0.00012733,748.066406,5.602857,"Quadro K5200 (1)",1,7
"37","[CUDA memcpy HtoD]",11264,0,1.408198,0.000127553,748.066406,5.593061,"Quadro K5200 (1)",1,7
"39","[CUDA memcpy DtoH]",11264,0,1.408411,9.696e-06,44.003906,4.328114,"Quadro K5200 (1)",1,7
