"","input.size.1","input.size.2","duration","grid.X","grid.y","block.x","block.y","registers.per.thread","static.smem","device","kernel","l2_subp0_write_sysmem_sector_queries","l2_subp1_write_sysmem_sector_queries","elapsed_cycles_sm","gld_inst_32bit","gst_inst_32bit","warps_launched","inst_executed","inst_issued1","inst_issued2","shared_load","shared_store","gld_request","gst_request","active_cycles","active_warps","sm_cta_launched","multiprocessor_activity","executed_ipc","achieved_occupancy","requested_global_load_throughput","requested_global_store_throughput","device_memory_read_throughput","device_memory_write_throughput","global_store_throughput","global_load_throughput","shared_memory_efficiency","global_memory_load_efficiency","global_memory_store_efficiency","issued_ipc","instructions_per_warp","issue_slot_utilization","shared_memory_load_transactions_per_request","shared_memory_store_transactions_per_request","global_load_transactions_per_request","shared_load_transactions","shared_store_transactions","global_load_transactions","global_store_transactions","system_memory_write_transactions","device_memory_read_transactions","l2_read_transactions","l2_write_transactions","shared_memory_load_throughput","shared_memory_store_throughput","l2_throughput_.reads.","l2_throughput_.writes.","system_memory_write_throughput","issued_control.flow_instructions","executed_control.flow_instructions","issued_load.store_instructions","executed_load.store_instructions","floating_point_operations.single_precision.","floating_point_operations.single_precision_add.","floating_point_operations.double_precision.","floating_point_operations.double_precision_add.","floating_point_operations.double_precision_mul.","floating_point_operations.double_precison_fma.","floating_point_operations.single_precision_special.","l1.shared_memory_utilization","device_memory_utilization","system_memory_utilization","control.flow_function_unit_utilization","texture_function_unit_utilization","issue_slots","fp_instructions.single.","fp_instructions.double.","integer_instructions","control.flow_instructions","load.store_instructions","misc_instructions","ecc_transactions","ecc_throughput","flop_efficiency.peak_single.","flop_efficiency.peak_double.","eligible_warps_per_active_cycle"
"36607",3840,6,2.72e-05,165,1,16,1,26,2.12890625,6,13,0,4,269847,47685,42240,165,98670,106013,26829,23100,8250,3135,2640,220064,2746450,165,81.11226,0.452192,0.195004,6.555725,0.0056710419921875,0.01127871484375,0.0081542705078125,0.008152123046875,0.0116965244140625,6.989124,54.734848,69.565217,0.729992,598,15.180876,2.15,2.14,1.842105,49665,17655,5775,2805,9,10501,11165,7591,436.987812,155.341182,12.279696,8.348874,10.13611,11194,6600,82492,37125,0,0,0,0,0,0,0,3,2,1,1,0,132911,0,0,636570,10725,391050,124245,0,0,0,0,0.729759
"2844",1024,7,2.2144e-05,46,1,16,1,26,2.12890625,6,13,1,4,215391,13294,11776,46,27508,31581,8639,6440,2300,874,736,173604,655974,46,79.624961,0.160426,0.05904,2.017682,0.0017453994140625,0.00322282421875,0.0025090126953125,0.0025090126953125,0.00359988671875,6.989124,54.734848,69.565217,0.284884,598,5.862803,2.15,2.14,2.578947,13846,4922,2254,1380,9,2718,3279,2117,134.493528,47.809992,3.981333,2.570443,11.189985,3128,1840,25789,10350,0,0,0,0,0,0,0,1,1,1,1,0,40228,0,0,177468,2990,109020,34638,0,0,0,0,0.234804
"18775",2816,3,2.2272e-05,87,1,16,1,26,2.12890625,6,13,0,1,222374,25143,22272,87,52026,56093,15053,12180,4350,1653,1392,172477,1258614,87,78.91705,0.293157,0.110813,4.882707,0.004223794921875,0.0083732490234375,0.00607322265625,0.0060717060546875,0.008711578125,6.989124,54.734848,69.565217,0.491188,598,10.135278,2.15,2.14,1.842105,26187,9309,3045,1479,1,5519,6172,4012,325.468766,115.698199,9.588695,6.232962,1.590865,5916,3480,44466,19575,0,0,0,0,0,0,0,2,1,1,1,0,71101,0,0,335646,5655,206190,65511,0,0,0,0,0.430427
"36722",3840,6,2.3008e-05,50,1,16,1,26,2.12890625,6,13,4,4,232780,14450,12800,50,29900,34327,9356,7000,2500,950,800,180058,722488,50,78.430707,0.168712,0.063698,2.65987,0.00230092578125,0.0046924501953125,0.0033104560546875,0.003307580078125,0.004745658203125,6.989124,54.734848,69.565217,0.290605,598,5.982878,2.15,2.14,2.578947,15050,5350,2450,1500,13,3263,3393,2304,177.300109,63.026949,4.996506,3.392853,19.603148,3400,2000,28019,11250,0,0,0,0,0,0,0,1,1,1,1,0,43692,0,0,192900,3250,118500,37650,0,0,0,0,0.241046
"43125",4096,9,5.2096e-05,201,1,16,1,26,2.12890625,6,13,0,1,449924,58089,51456,201,120198,135136,32153,28140,10050,3819,3216,329866,4007994,201,69.586419,0.38273,0.199408,5.247166,0.0045390712890625,0.0090576767578125,0.00652562109375,0.0065249150390625,0.009361833984375,6.989124,54.734848,69.565217,0.635301,598,13.32661,2.15,2.14,1.842105,60501,21507,7035,3417,1,12835,13557,9252,349.762674,124.33424,9.796806,6.685849,0.739981,13643,8040,105191,45225,0,0,0,0,0,0,0,2,1,1,1,0,166895,0,0,775458,13065,476370,151353,0,0,0,0,0.658308
"34332",3840,1,2.1824e-05,30,1,16,1,26,2.12890625,6,13,0,5,220407,8670,7680,30,17940,20602,5637,4200,1500,570,480,174088,428182,30,78.96437,0.100563,0.038431,1.481028,0.001281166015625,0.0025356416015625,0.0018416767578125,0.0018416767578125,0.0026424052734375,6.989124,54.734848,69.565217,0.18315,598,3.76904,2.15,2.14,2.578947,9030,3210,1470,900,5,1900,2413,1390,98.721559,35.093711,3.297552,1.899543,6.996877,2040,1200,16837,6750,0,0,0,0,0,0,0,1,1,1,1,0,26255,0,0,115740,1950,71100,22590,0,0,0,0,0.150911
"5069",1536,1,2.096e-05,25,1,16,1,26,2.12890625,6,13,0,1,211585,7225,6400,25,14950,16091,4433,3500,1250,475,400,167078,334482,25,79.037266,0.091273,0.031907,1.135424,0.0009822001953125,0.0018011103515625,0.001413140625,0.0014119130859375,0.0020257890625,6.989124,54.734848,69.565217,0.149183,598,3.070453,2.15,2.14,1.842105,7525,2675,875,425,5,1467,1735,1161,75.684447,26.904438,2.181271,1.459629,6.436949,1700,1000,12846,5625,0,0,0,0,0,0,0,1,1,1,1,0,20539,0,0,96450,1625,59250,18825,0,0,0,0,0.123117
"16117",2560,5,2.432e-05,73,1,16,1,26,2.12890625,6,13,0,0,237220,21097,18688,73,43654,47096,12708,10220,3650,1387,1168,189132,1114526,73,78.99629,0.233434,0.092076,3.827616,0.0033110869140625,0.0065187021484375,0.0047611044921875,0.0047596875,0.0068291171875,6.989124,54.734848,69.565217,0.386755,598,7.977401,2.15,2.14,1.842105,21973,7811,2555,1241,1,4599,4898,3361,255.139115,90.697293,7.10913,4.878274,1.486269,4963,2920,37405,16425,0,0,0,0,0,0,0,2,1,1,1,0,59797,0,0,281634,4745,173010,54969,0,0,0,0,0.334294
"42589",4096,8,5.3824e-05,223,1,16,1,26,2.12890625,6,13,0,0,472970,64447,57088,223,133354,148849,35885,31220,11150,4237,3568,413708,4358602,223,80.024949,0.330804,0.16894,5.491395,0.004750341796875,0.00954728125,0.00682928125,0.0068286162109375,0.0097975791015625,6.989124,54.734848,69.565217,0.587021,598,12.300723,2.15,2.14,1.842105,67123,23861,7805,3791,9,14342,14806,10269,366.042321,130.121357,10.092708,7.000001,6.282209,15141,8920,116036,50175,0,0,0,0,0,0,0,2,1,1,1,0,186230,0,0,860334,14495,528510,167919,0,0,0,0,0.599661
"38082",3840,9,2.9152e-05,136,1,16,1,26,2.12890625,6,13,0,4,282306,39304,34816,136,81328,93258,23765,19040,6800,2584,2176,231234,2482314,136,80.372716,0.357904,0.167736,5.166872,0.0044696123046875,0.0089227919921875,0.00642712109375,0.0064250673828125,0.0092185751953125,6.989124,54.734848,69.565217,0.62018,598,12.888998,2.15,2.14,2.578947,40936,14552,6664,4080,9,8688,9411,6257,344.410437,122.431617,9.897299,6.580321,9.692222,9234,5440,74742,30600,0,0,0,0,0,0,0,3,1,1,1,0,116979,0,0,524688,8840,322320,102408,0,0,0,0,0.591224
