"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures","NA","NA","NA"
"757","GTX-680","Fan1",0.00018231892871036,0.000243811908381476,1.33728247585749,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"644","GTX-680","Fan1",0.000224385722717342,0.00027347460544138,1.21877008095508,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"922","GTX-680","Fan1",0.00018231892871036,0.000235960909156619,1.29422057723626,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"755","GTX-680","Fan1",0.000190266589051909,0.000283232672303274,1.48860960673448,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"262","GTX-680","Fan1",0.000428982909789145,0.000350529337465221,0.817117254478772,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"459","GTX-680","Fan1",0.000184320011200265,0.000240102416586607,1.30263889972171,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"742","GTX-680","Fan1",0.000180308075339268,0.000233245904572274,1.29359655208675,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"24","GTX-680","Fan1",0.000250270330558541,0.000284953455030836,1.13858264539344,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"579","GTX-680","Fan1",0.00021886615453862,0.000253893531504731,1.16004017176593,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"161","GTX-680","Fan1",0.00021421903017987,0.000261182385186499,1.21923054626471,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"523","GTX-680","Fan1",0.000153171716435582,0.000202562444137528,1.32245331482407,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"921","GTX-680","Fan1",0.000351617683434603,0.000311116010550238,0.88481332199011,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"104","GTX-680","Fan1",0.000190266589051909,0.000277519555600503,1.45858270221467,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"363","GTX-680","Fan1",0.000425543212740069,0.000353857934952236,0.831544069693294,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"555","GTX-680","Fan1",0.000196131990479515,0.000253980822924573,1.29494847986616,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"190","GTX-680","Fan1",0.00029881623438295,0.000306150907022945,1.02454576356985,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"808","GTX-680","Fan1",0.000176256222197925,0.000232573702415482,1.31952052253972,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"614","GTX-680","Fan1",0.000173190089948185,0.000232769580408714,1.34401212262407,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"926","GTX-680","Fan1",0.000239710160697701,0.00027318215877281,1.13963529112694,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"393","GTX-680","Fan1",0.000256339999295125,0.000264841026060681,1.03316309116381,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"589","GTX-680","Fan1",0.000160674701911811,0.000206261774871555,1.28372277911407,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"843","GTX-680","Fan1",0.000163842958668732,0.000219167822789146,1.3376700748689,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"149","GTX-680","Fan1",0.000180308075339268,0.000213606856026926,1.18467714562979,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
"103","GTX-680","Fan1",0.000175236819897811,0.000236444778552774,1.34928708869892,"0.5","10",1.48860960673448,0.640249109174248,0.183155192538284
