"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","NA","NA","NA"
"171","Tesla-K40","Fan2",0.0208037090756328,0.0238525449265007,1.14655251329384,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"381","Tesla-K40","Fan2",0.00821101138820621,0.0092241344915799,1.12338590893064,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"571","Tesla-K40","Fan2",0.0111721597121842,0.0129055661410062,1.15515410390451,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"461","Tesla-K40","Fan2",0.0185279282977476,0.0210506292490271,1.13615666634386,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"141","Tesla-K40","Fan2",0.0120504936672395,0.0134255426782301,1.11410727634576,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"361","Tesla-K40","Fan2",0.0145577343048651,0.0169735020572615,1.16594393755277,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"58","Tesla-K40","Fan2",0.0146048710937566,0.0176692020341488,1.20981567866779,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"291","Tesla-K40","Fan2",0.0097742281317241,0.0113654383840742,1.16279651251289,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"81","Tesla-K40","Fan2",0.0117374850387689,0.0136862691626191,1.16603080791271,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"410","Tesla-K40","Fan2",0.0177963119258464,0.0214444744293391,1.20499542369755,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"281","Tesla-K40","Fan2",0.00703203085582273,0.00796286032503266,1.13236993527114,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"501","Tesla-K40","Fan2",0.0167950991275696,0.020002881148017,1.19099512280828,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"541","Tesla-K40","Fan2",0.00377031212130744,0.00407796864914597,1.08159975034954,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"111","Tesla-K40","Fan2",0.0138339901141937,0.0162929836641802,1.17775013063394,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"321","Tesla-K40","Fan2",0.00981463237083805,0.0115477812268585,1.17658826031734,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"391","Tesla-K40","Fan2",0.0141173535523282,0.0165414363200918,1.17170943256314,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"61","Tesla-K40","Fan2",0.0145891693261792,0.0176683127051641,1.21105679906392,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"71","Tesla-K40","Fan2",0.0185421923182442,0.0215770154657045,1.16367121510622,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"531","Tesla-K40","Fan2",0.0027005800480901,0.0030570706723754,1.13200520552517,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"551","Tesla-K40","Fan2",0.0179760790079891,0.0208651348283899,1.16071668460718,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"431","Tesla-K40","Fan2",0.0105958680504863,0.0115099818694768,1.08627078165139,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"371","Tesla-K40","Fan2",0.0167950991275696,0.0194582749451126,1.1585686275094,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"311","Tesla-K40","Fan2",0.0183661989853264,0.0212099091035564,1.15483389461815,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"131","Tesla-K40","Fan2",0.0117247813844595,0.0135841413175589,1.15858376136239,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"210","Tesla-K40","Fan2",0.012332175067692,0.0143776688263891,1.16586642238448,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
"181","Tesla-K40","Fan2",0.0209281946633408,0.0239210322867776,1.14300505473983,"0.25",1.70449551581475,0.05908602668247,0.213293463079462
