"","V1","V2"
"1","static.smem","1.01464459778429"
"2","flop_efficiency.peak_single.","1.00636941443255"
"3","global_load_transactions_per_request","1.02053344180938"
"4","issue_slot_utilization",NA
"5","shared_memory_store_throughput","1.00339310438914"
"6","device_memory_read_throughput","1.00191121346765"
"7","device_memory_write_throughput","1.00039120899406"
"8","l2_throughput_.reads.",NA
"9","executed_load.store_instructions","0.994814718033856"
"10","ecc_throughput","0.988822911353787"
"11","max_clock_rate","0"
"12","duration","0"
"13","gpu_id","0"
"14","static.smem","0"
