"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures","NA","NA","NA"
"766","GTX-680","kernel",0.0940479202562549,0.0606607225888605,0.644998022535497,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"606","GTX-680","kernel",0.0939314299451116,0.0604464852007955,0.643517140494052,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"497","GTX-680","kernel",0.0941189677197096,0.0606764824323039,0.644678579699271,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"607","GTX-680","kernel",0.09378918556981,0.060447240590954,0.644501178080509,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"839","GTX-680","kernel",0.0937259351874525,0.0605958265949509,0.646521440130299,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"366","GTX-680","kernel",0.0937575627398416,0.0601783205468552,0.641850308266203,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"752","GTX-680","kernel",0.0939393296137325,0.0604166919725958,0.643145871074684,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"818","GTX-680","kernel",0.0937634923800858,0.0602978722123559,0.643084751663564,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"151","GTX-680","kernel",0.0937753511625855,0.060483874408392,0.644986914562725,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"657","GTX-680","kernel",0.0939728999251552,0.0606334246616532,0.645222449343851,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"83","GTX-680","kernel",0.0976262299351573,0.0605498282491985,0.620220900565507,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"242","GTX-680","kernel",0.0936863941014837,0.0604732034678946,0.645485441593455,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"482","GTX-680","kernel",0.0937298888898612,0.060540034985962,0.645898930458571,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"544","GTX-680","kernel",0.0940854204883523,0.0605026246360015,0.643060575400114,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"434","GTX-680","kernel",0.094113048004746,0.0604805740902684,0.642637502158239,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"355","GTX-680","kernel",0.0930527277523786,0.0591151445989783,0.635286530839685,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"440","GTX-680","kernel",0.0937595393050356,0.0606588094196659,0.646961470473096,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"991","GTX-680","kernel",0.0936250908128888,0.0592261035960186,0.632587942845181,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"546","GTX-680","kernel",0.0947514288433386,0.0602667858212792,0.636051472331082,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"175","GTX-680","kernel",0.0935657481259339,0.0588696483187085,0.629179475372478,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"500","GTX-680","kernel",0.0938010429141618,0.0605338245967241,0.645342767160054,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"363","GTX-680","kernel",0.0937397728228943,0.0605444255703975,0.645877664807083,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"911","GTX-680","kernel",0.000581766726704969,0.000385289186524252,0.66227435987353,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"942","GTX-680","kernel",0.0937832566487684,0.0605832701284757,0.645992390255424,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"117","GTX-680","kernel",0.0938780994864506,0.0604661824151453,0.644092527926306,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"557","GTX-680","kernel",0.0937259351874525,0.0604922722225049,0.645416576548635,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"462","GTX-680","kernel",0.0937120966475347,0.0592434838887623,0.632186089183192,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"373","GTX-680","kernel",0.0936606884334307,0.0604867730262267,0.645807478440837,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"661","GTX-680","kernel",0.0908136274380424,0.0606450933108913,0.66779727912825,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"566","GTX-680","kernel",0.094079499839024,0.0605174132380841,0.643258237359182,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"660","GTX-680","kernel",0.0939037787884209,0.0604445608130198,0.643686139076578,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"731","GTX-680","kernel",0.0938800749277649,0.0605216883420027,0.644670217706691,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"940","GTX-680","kernel",0.0938267315509265,0.060496972144475,0.644773308677378,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"881","GTX-680","kernel",0.0916578716124764,0.0603857177925415,0.65881649584717,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"24","GTX-680","kernel",0.0938089474417698,0.0605486125213615,0.645446028044883,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"200","GTX-680","kernel",0.0935795962428822,0.0606048895066817,0.64762931172928,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"170","GTX-680","kernel",0.0938919271892428,0.06031951130878,0.642435543869535,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"278","GTX-680","kernel",0.0935281558051765,0.0604105488128114,0.645907623140238,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"969","GTX-680","kernel",0.0949441442964836,0.0602494381367857,0.634577714963061,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"143","GTX-680","kernel",0.093555856058293,0.06045181685986,0.646157487161397,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"963","GTX-680","kernel",0.0938800749277649,0.0604549773062204,0.643959619256129,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"789","GTX-680","kernel",0.0939689507523318,0.0604860928218246,0.64368168780818,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"283","GTX-680","kernel",0.0937417495541374,0.0592022120760344,0.63154584118194,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"425","GTX-680","kernel",0.0937041885042506,0.060548930667132,0.64617101576399,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"368","GTX-680","kernel",0.0938603196864297,0.0604480421449035,0.644021268485441,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"401","GTX-680","kernel",0.0940735790247427,0.0604918047058921,0.643026504710551,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"273","GTX-680","kernel",0.0941288335450527,0.0605911608255379,0.643704575352432,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"953","GTX-680","kernel",0.0938840257551895,0.0602304254975938,0.641540720192908,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"556","GTX-680","kernel",0.0936547559126559,0.0606859553923531,0.647975159413686,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"685","GTX-680","kernel",0.0937615158517835,0.0602003603990323,0.642058309874127,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"232","GTX-680","kernel",0.0938958777958833,0.0602133383123807,0.641277761344073,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"715","GTX-680","kernel",0.0938346351204545,0.0605129643195993,0.644889429600483,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"460","GTX-680","kernel",0.093753609554112,0.0606928886588613,0.647365887537707,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"123","GTX-680","kernel",0.0936468456261606,0.0605966549715445,0.647076306376054,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"239","GTX-680","kernel",0.0938484656580482,0.0603618819106663,0.643184536768075,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"398","GTX-680","kernel",0.0936330019129737,0.0601368644802229,0.642261416931997,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"861","GTX-680","kernel",0.0915759992156776,0.0604380477929414,0.659976940580241,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"25","GTX-680","kernel",0.0941110747297941,0.0593026655602052,0.630134824519551,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"761","GTX-680","kernel",0.0941051547950365,0.0605650090751091,0.643588645138742,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"961","GTX-680","kernel",0.0937200044953974,0.0604617336010906,0.645131569579256,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"158","GTX-680","kernel",0.0937951143249345,0.0606167922096984,0.646268120103821,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"570","GTX-680","kernel",0.0937496562945886,0.060548141822482,0.645849213913085,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"57","GTX-680","kernel",0.0937654688899433,0.0606527284051829,0.646855704165184,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"371","GTX-680","kernel",0.0937318657133793,0.0606049661374972,0.646578041269549,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"254","GTX-680","kernel",0.0939630268553288,0.0606253833919597,0.645204666355653,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"564","GTX-680","kernel",0.0937476796371524,0.0603966870967685,0.644247274498229,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"50","GTX-680","kernel",0.0938326592557019,0.0603857827530057,0.643547600931242,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"375","GTX-680","kernel",0.0929217965296525,0.0605372741485042,0.651486264895729,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"395","GTX-680","kernel",0.0938049952148245,0.0604136408424696,0.644034368362956,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"624","GTX-680","kernel",0.0939156297254569,0.060667295315401,0.645976558883216,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"809","GTX-680","kernel",0.0958640415971168,0.0604664526409327,0.630752173949146,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"84","GTX-680","kernel",0.0936428903719873,0.0603298406885648,0.644254363026498,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"275","GTX-680","kernel",0.0933163266099501,0.0605531401603514,0.648901884162838,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"416","GTX-680","kernel",0.0973795202584028,0.06034916601826,0.619731601245514,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"560","GTX-680","kernel",0.0974902824081543,0.0588828251282794,0.603986609473134,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"714","GTX-680","kernel",0.0939432793377617,0.0605385349265166,0.644415815088354,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"605","GTX-680","kernel",0.0938800749277649,0.0607105643863609,0.646682104089435,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"167","GTX-680","kernel",0.0936705755984064,0.0605333937439289,0.646237021147959,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"979","GTX-680","kernel",0.0937872092812323,0.0602446539814995,0.642354692534337,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"995","GTX-680","kernel",0.0939511785652869,0.0606178153140379,0.645205480545563,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"835","GTX-680","kernel",0.0936250908128888,0.0605714833381664,0.646957805992621,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"576","GTX-680","kernel",0.0936705755984064,0.0603558087453818,0.644341175014715,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"178","GTX-680","kernel",0.0937812803048806,0.0605255970103499,0.645391029143371,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"822","GTX-680","kernel",0.0917596677280759,0.0603860312885202,0.658089036105388,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"614","GTX-680","kernel",0.0936290463999207,0.0607645776726872,0.648992807351059,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"743","GTX-680","kernel",0.0975815707114869,0.0602750002126993,0.617688358295754,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"359","GTX-680","kernel",0.0937318657133793,0.0603344706209689,0.643692197544263,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"842","GTX-680","kernel",0.0977096990175369,0.060426258625714,0.618426412457465,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"281","GTX-680","kernel",0.0939393296137325,0.0602176703589897,0.641027252446848,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"215","GTX-680","kernel",0.0939571027929871,0.0602827040665905,0.641598157825381,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"73","GTX-680","kernel",0.0937694218543271,0.0606135895102733,0.646411040098315,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"189","GTX-680","kernel",0.0936784849977556,0.0601882384780696,0.642497991716152,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
"694","GTX-680","kernel",0.0936547559126559,0.0603363548457962,0.644242294561815,"0.5","10",0.66779727912825,0.603986609473134,0.00858838096572693
