"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures","NA","NA","NA"
"461","GTX-680","needle_cuda_shared_2",0.000825858643071631,0.000554545369386718,0.671477345474266,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"504","GTX-680","needle_cuda_shared_2",0.000820197567319517,0.000562500087408506,0.685810480085682,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"273","GTX-680","needle_cuda_shared_2",0.000898464114745648,0.000548825421957366,0.610848461224004,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"974","GTX-680","needle_cuda_shared_2",0.000487030207641067,0.000445147725119498,0.914004343335445,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"35","GTX-680","needle_cuda_shared_2",0.000479865622402964,0.000381002085830925,0.793976621878073,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"951","GTX-680","needle_cuda_shared_2",0.000503782644379889,0.000462895375539087,0.918839465200057,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"530","GTX-680","needle_cuda_shared_2",0.000594308676983064,0.000503567286724494,0.847316060200892,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"218","GTX-680","needle_cuda_shared_2",0.000879564016065503,0.000549615765609764,0.624872954749018,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"217","GTX-680","needle_cuda_shared_2",0.000525325111279669,0.000511667695288385,0.974001973829092,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"102","GTX-680","needle_cuda_shared_2",0.000539057769278118,0.000500346935966489,0.928187968863766,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"209","GTX-680","needle_cuda_shared_2",0.000522811221141029,0.000502777380405312,0.96168054562411,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"609","GTX-680","needle_cuda_shared_2",0.000868539356632774,0.000571118707687105,0.657562266264209,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"718","GTX-680","needle_cuda_shared_2",0.000510180211976159,0.000526464388805031,1.03191847987556,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"686","GTX-680","needle_cuda_shared_2",0.000931367269881844,0.000564436313058735,0.606029792232598,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"416","GTX-680","needle_cuda_shared_2",0.000479211952758487,0.000411827890965783,0.859385682254332,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"854","GTX-680","needle_cuda_shared_2",0.00053657253079661,0.00052421780912675,0.976974740672024,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"700","GTX-680","needle_cuda_shared_2",0.00052783368703439,0.000507376450534145,0.961243025970578,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"833","GTX-680","needle_cuda_shared_2",0.000477248569969975,0.000403485789166814,0.845441588630005,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"406","GTX-680","needle_cuda_shared_2",0.000486380816673567,0.000476487018182778,0.979658329128904,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"860","GTX-680","needle_cuda_shared_2",0.000468058941695252,0.000443026323824353,0.946518235972089,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"573","GTX-680","needle_cuda_shared_2",0.000479865622402964,0.000459756218844708,0.958093677439203,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"623","GTX-680","needle_cuda_shared_2",0.000962323385462689,0.000554545369386718,0.576256773724864,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"942","GTX-680","needle_cuda_shared_2",0.000492857601518631,0.000459756218844708,0.932837836787079,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"143","GTX-680","needle_cuda_shared_2",0.000952697544656302,0.000557415049680885,0.585091305008013,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"788","GTX-680","needle_cuda_shared_2",0.000905382982033127,0.00055380923870579,0.611685054497221,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"443","GTX-680","needle_cuda_shared_2",0.000477248569969975,0.000393505500462733,0.824529449061502,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"327","GTX-680","needle_cuda_shared_2",0.000558761027816258,0.000505118307695376,0.903997026545449,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"741","GTX-680","needle_cuda_shared_2",0.000948351855530479,0.000560845305197574,0.591389474198745,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"798","GTX-680","needle_cuda_shared_2",0.000464729449272005,0.000398742292741733,0.858009522242156,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"215","GTX-680","needle_cuda_shared_2",0.00088256012232326,0.000539930008514493,0.61177702782806,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"18","GTX-680","needle_cuda_shared_2",0.000503142912288093,0.000481163373166151,0.956315514766991,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"805","GTX-680","needle_cuda_shared_2",0.00053408218601293,0.000505118307695376,0.945768874012113,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"516","GTX-680","needle_cuda_shared_2",0.000464729449272005,0.000373284400230347,0.803229493665819,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"197","GTX-680","needle_cuda_shared_2",0.000582966328104229,0.000520698242110523,0.893187508451477,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"333","GTX-680","needle_cuda_shared_2",0.000582366664143537,0.000524786620406308,0.90112750732065,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"203","GTX-680","needle_cuda_shared_2",0.000477903427562687,0.000411827890965783,0.861738726307343,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"59","GTX-680","needle_cuda_shared_2",0.000480518898098377,0.00044916504277078,0.934750005771515,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"107","GTX-680","needle_cuda_shared_2",0.000475937659656434,0.000393505500462733,0.826800511535047,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"129","GTX-680","needle_cuda_shared_2",0.000965202826052465,0.000577765914774046,0.59859534097825,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"158","GTX-680","needle_cuda_shared_2",0.000561811789655152,0.000516979812389356,0.920201074289818,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"575","GTX-680","needle_cuda_shared_2",0.000477248569969975,0.000403485789166814,0.845441588630005,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
"243","GTX-680","needle_cuda_shared_2",0.000613198471268904,0.000509557796557611,0.83098347506179,"0.5","10",1.03410395000124,0.527019076350179,0.140683659604731
