"","","meanAcc"
"1","device_memory_read_transactions","1.03607604675289"
"2","global_load_transactions","0.99505485827093"
"3","shared_load_transactions","1.01585984759372"
"4","achieved_occupancy",NA
"5","flop_efficiency.peak_single.","0.984214064790521"
"6","bus","1.03514501909938"
"7","duration","1.22231619942845"
"8","gpu_id",NA
"9","0","0.891351198194103"
"10","device_memory_read_transactions","0.912988970437445"
