"","V1","V2"
"1","input.size.1","0.995782121798983"
"2","registers.per.thread","1.00451013602799"
"3","active_cycles","1.02120080543972"
"4","multiprocessor_activity",NA
"5","issued_ipc","1.00608973164194"
"6","l1.shared_memory_utilization","0.954242752189422"
"7","global_load_transactions","1.14462183890425"
"8","l2_read_transactions",NA
"9","l2_write_transactions","0.908864450904934"
"10","eligible_warps_per_active_cycle","0.978578152081758"
"11","bus","0"
"12","duration","0"
"13","gpu_id","0"
"14","input.size.1","0"
