"","V1","V2"
"1","elapsed_cycles_sm","0.999191058429114"
"2","inst_issued2","1.0119795561495"
"3","requested_global_load_throughput","1.03833063138571"
"4","requested_global_store_throughput",NA
"5","device_memory_read_throughput","0.972813881892285"
"6","device_memory_write_throughput","0.996394467573425"
"7","issued_ipc","0.929084131159364"
"8","shared_memory_load_throughput",NA
"9","shared_memory_store_throughput","0.989280444079289"
"10","issued_control.flow_instructions","1.00870738966466"
"11","theoretical_flops","0"
"12","duration","0"
"13","gpu_id","0"
"14","elapsed_cycles_sm","0"
