"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"57","GTX-680","hotspotOpt1",0.00550233089858153,Inf,Inf,"0.25",Inf,Inf,NA
"8","GTX-680","hotspotOpt1",0.00355181682431316,Inf,Inf,"0.25",Inf,Inf,NA
"40","GTX-680","hotspotOpt1",0.00246925163008296,Inf,Inf,"0.25",Inf,Inf,NA
"10","GTX-680","hotspotOpt1",0.00247019094429109,Inf,Inf,"0.25",Inf,Inf,NA
"231","Tesla-K40","hotspotOpt1",0.00353077691421623,0.0040960264703582,1.16009211849836,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"221","Tesla-K40","hotspotOpt1",0.00231846911946863,0.00271714107138695,1.17195482509152,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"301","Tesla-K40","hotspotOpt1",0.00353185723240387,0.00409823991799699,1.16036398085311,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"161","Tesla-K40","hotspotOpt1",0.0015725447379879,0.00182628572178073,1.16135692528373,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"210","Tesla-K40","hotspotOpt1",0.00353050681180522,0.00413025119159041,1.16987486832762,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"541","Tesla-K40","hotspotOpt1",0.00229368163976648,0.00271045478738094,1.18170488021908,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"241","Tesla-K40","hotspotOpt1",0.00157447616083128,0.00183414943373095,1.16492677333556,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"81","Tesla-K40","hotspotOpt1",0.00352995813811747,0.00414258028830026,1.17354940942996,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"481","Tesla-K40","hotspotOpt1",0.0035345489515755,0.00411011601732261,1.16284031530828,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"331","Tesla-K40","hotspotOpt1",0.0035356371947617,0.00408253143883343,1.15468053251674,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"441","Tesla-K40","hotspotOpt1",0.00157330536100842,0.00182735973520105,1.16147810875683,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"571","Tesla-K40","hotspotOpt1",0.00230053241949269,0.00270708816915385,1.17672246051234,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"501","Tesla-K40","hotspotOpt1",0.00157446409269652,0.00184639303431782,1.1727120630332,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"191","Tesla-K40","hotspotOpt1",0.00157563451119583,0.00183578313812989,1.16510721559191,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"181","Tesla-K40","hotspotOpt1",0.00157138538008542,0.00183855742479539,1.17002324706333,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"171","Tesla-K40","hotspotOpt1",0.00157407789075913,0.00180531560212003,1.146903601606,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"101","Tesla-K40","hotspotOpt1",0.00353103856720421,0.00409591375322501,1.15997423286941,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"511","Tesla-K40","hotspotOpt1",0.00352942631066526,0.0041060610346098,1.16337916510739,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"121","Tesla-K40","hotspotOpt1",0.00353049837095748,0.00410331368693281,1.16224772136632,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"151","Tesla-K40","hotspotOpt1",0.00155589087045876,0.00181793926595604,1.16842337754705,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"261","Tesla-K40","hotspotOpt1",0.00353212728909328,0.00411798482092066,1.16586535078632,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"551","Tesla-K40","hotspotOpt1",0.00229563263393594,0.00272086822640838,1.1852367779523,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"291","Tesla-K40","hotspotOpt1",0.00353076847365434,0.00412735366359576,1.16896751922222,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"131","Tesla-K40","hotspotOpt1",0.0015748623195258,0.0018206539721898,1.15607183537035,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"411","Tesla-K40","hotspotOpt1",0.00230119557688082,0.00270121533087847,1.17383127189035,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"461","Tesla-K40","hotspotOpt1",0.00353428741366608,0.00410563240477852,1.16165776130804,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"251","Tesla-K40","hotspotOpt1",0.00155510222017454,0.00182969003726707,1.17657219797533,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"61","Tesla-K40","hotspotOpt1",0.00353158716657277,0.00411650817842827,1.16562553443163,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"141","Tesla-K40","hotspotOpt1",0.00155783141003969,0.00182809676140998,1.17348818981857,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"110","Tesla-K40","hotspotOpt1",0.00157291903315624,0.00183346059378924,1.16564206748149,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"421","Tesla-K40","hotspotOpt1",0.00229335469978584,0.00268840909604494,1.17226048648122,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"531","Tesla-K40","hotspotOpt1",0.00352995813811747,0.00409681873927254,1.16058564407151,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"281","Tesla-K40","hotspotOpt1",0.00157291903315624,0.00181008175012881,1.15077871903977,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"391","Tesla-K40","hotspotOpt1",0.0022966129611803,0.00269886196778911,1.17514880104225,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"491","Tesla-K40","hotspotOpt1",0.00229760331204794,0.00269017521276973,1.1708614792916,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"91","Tesla-K40","hotspotOpt1",0.00229432524257288,0.00272141124688712,1.18614884951329,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"341","Tesla-K40","hotspotOpt1",0.00353158716657277,0.00411089696014347,1.16403666857043,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"201","Tesla-K40","hotspotOpt1",0.00352996657953707,0.00411469810007904,1.16564789137994,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"311","Tesla-K40","hotspotOpt1",0.00157717839220161,0.001816041915861,1.15144990879944,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"211","Tesla-K40","hotspotOpt1",0.00229857306017194,0.00269355826948029,1.17183931028879,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"381","Tesla-K40","hotspotOpt1",0.00157214625140101,0.00181875228072459,1.1568594709963,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"321","Tesla-K40","hotspotOpt1",0.0035321188499601,0.00416183189082303,1.1782819513194,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"521","Tesla-K40","hotspotOpt1",0.00229530581700308,0.00270477727783034,1.17839516538232,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"351","Tesla-K40","hotspotOpt1",0.00229693969576209,0.00268034100146865,1.16691831588524,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"371","Tesla-K40","hotspotOpt1",0.00229334448257898,0.00270593259931549,1.17990673440936,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"471","Tesla-K40","hotspotOpt1",0.00229497897946864,0.00269059652517566,1.17238395176875,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"410","Tesla-K40","hotspotOpt1",0.00157293110653742,0.00183005898146626,1.16347052573387,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"361","Tesla-K40","hotspotOpt1",0.0015725447379879,0.00183640387856221,1.16779118215227,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"71","Tesla-K40","hotspotOpt1",0.00352969644967728,0.00411274765567694,1.16518451779415,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"271","Tesla-K40","hotspotOpt1",0.00353184879298503,0.0040942858383116,1.15924720402631,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"111","Tesla-K40","hotspotOpt1",0.00229432524257288,0.00270619115662509,1.17951505148866,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"561","Tesla-K40","hotspotOpt1",0.00353266737505233,0.00409720639648364,1.15980531465206,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"401","Tesla-K40","hotspotOpt1",0.00229497897946864,0.00270096136771239,1.17690026439273,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"431","Tesla-K40","hotspotOpt1",0.00229693969576209,0.00268635968851257,1.16953862283323,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"451","Tesla-K40","hotspotOpt1",0.00229759310320932,0.00269611094245898,1.17345013731674,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"310","Tesla-K40","hotspotOpt1",0.00352941786867364,0.00410871971803948,1.16413524012206,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"58","Tesla-K40","hotspotOpt1",0.00155666721479466,0.00180018564621765,1.15643576810032,"0.25",1.18614884951329,1.146903601606,0.00853105089394461
"462","Tesla-K20","hotspotOpt1",0.00398545724033357,0.00330296728841895,0.828754918003463,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"312","Tesla-K20","hotspotOpt1",0.00258889454941845,0.0024156120650387,0.933066997874179,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"362","Tesla-K20","hotspotOpt1",0.00174319712294213,0.00138321066632193,0.793490677627652,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"432","Tesla-K20","hotspotOpt1",0.00397316106757746,0.00860400551773953,2.16553151795218,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"142","Tesla-K20","hotspotOpt1",0.00258424467855708,0.0116426344175242,4.50523687409699,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"222","Tesla-K20","hotspotOpt1",0.00398288892186138,0.00371513345218465,0.932773553335352,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"192","Tesla-K20","hotspotOpt1",0.00397444270431717,0.00331416522363925,0.83386916611964,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"232","Tesla-K20","hotspotOpt1",0.00174319712294213,0.00138050885527053,0.791940760515103,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"282","Tesla-K20","hotspotOpt1",0.00397418639160757,0.00154309941539589,0.388280584588208,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"212","Tesla-K20","hotspotOpt1",0.00398059201617376,0.00260258899985273,0.653819579921281,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"292","Tesla-K20","hotspotOpt1",0.00174135087717692,0.00138357434142355,0.794540812858232,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"172","Tesla-K20","hotspotOpt1",0.00398366509537959,0.00859783473432381,2.15827247734653,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"372","Tesla-K20","hotspotOpt1",0.00399057569010414,0.0140766200364152,3.52746599226836,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"422","Tesla-K20","hotspotOpt1",0.00397803031432996,0.0032832498503503,0.825345608484464,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"92","Tesla-K20","hotspotOpt1",0.00257991115327947,0.00129308964956345,0.501214798780853,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"252","Tesla-K20","hotspotOpt1",0.00397597241865078,0.00328480547522654,0.826164049785139,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"502","Tesla-K20","hotspotOpt1",0.00258425436963688,0.00135419464788577,0.524017551753642,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"302","Tesla-K20","hotspotOpt1",0.00397598042694068,0.0043613971007387,1.09693626034638,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"202","Tesla-K20","hotspotOpt1",0.00398212868701084,0.0068214740625719,1.71302200373951,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"262","Tesla-K20","hotspotOpt1",0.00174245872856094,0.00138426243229694,0.794430542088175,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"82","Tesla-K20","hotspotOpt1",0.00174541147590291,0.00198603122732337,1.13785846761205,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"562","Tesla-K20","hotspotOpt1",0.00174542300573493,0.00165697711132018,0.949326957348362,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"242","Tesla-K20","hotspotOpt1",0.00173987325643342,0.00358276238975131,2.0592088397839,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"132","Tesla-K20","hotspotOpt1",0.00174468502849351,0.00159421031398619,0.913752504291701,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"382","Tesla-K20","hotspotOpt1",0.002578039082428,0.00801790116379137,3.11007742995118,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"62","Tesla-K20","hotspotOpt1",0.00174172019563168,0.00358252187053024,2.05688713922901,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"412","Tesla-K20","hotspotOpt1",0.00174430445497829,0.00137378228191776,0.78758170799653,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"402","Tesla-K20","hotspotOpt1",0.00397598042694068,0.0373540616287753,9.39493096486832,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"59","Tesla-K20","hotspotOpt1",0.00398904046048496,0.00494627902673093,1.23996712385555,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"482","Tesla-K20","hotspotOpt1",0.00397674918952766,0.0215900938590577,5.42908109868052,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"102","Tesla-K20","hotspotOpt1",0.00257772862910125,0.00362645495679575,1.40684124614783,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"492","Tesla-K20","hotspotOpt1",0.00174247026703835,0.00282706142081656,1.62244456866497,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
"213","Tesla-K20","hotspotOpt1",0.00174356626821179,0.00137909068732841,0.790959720012715,"0.25",12.6805236091107,0.302981154437057,2.39806105612266
