"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"56","GTX-680","bpnn_adjust_weights_cuda",0.00199834502156749,0.00227810182574457,1.13999424581729,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"28","GTX-680","bpnn_adjust_weights_cuda",0.00143137574319427,0.0016369143315127,1.14359513167364,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"23","GTX-680","bpnn_adjust_weights_cuda",0.00290199696616007,0.003322198311601,1.14479730693755,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"1","GTX-680","bpnn_adjust_weights_cuda",0.00375246918512004,0.00426986380746256,1.13788111156094,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"55","GTX-680","bpnn_adjust_weights_cuda",0.00281003246567601,0.00319901609245209,1.13842673760088,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"34","GTX-680","bpnn_adjust_weights_cuda",0.0028567672804148,0.00325579867029165,1.13967934756621,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"26","GTX-680","bpnn_adjust_weights_cuda",0.00260496626542222,0.00296164844803438,1.13692391619296,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"20","GTX-680","bpnn_adjust_weights_cuda",0.00188073052219483,0.00214448582120156,1.14024087762394,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"37","GTX-680","bpnn_adjust_weights_cuda",0.00333663682100785,0.00380429399896766,1.14015825007247,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"46","GTX-680","bpnn_adjust_weights_cuda",0.0011473000204434,0.00131506881453251,1.14622922609578,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"7","GTX-680","bpnn_adjust_weights_cuda",0.00256154269921561,0.00290734475431937,1.13499757595673,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"52","GTX-680","bpnn_adjust_weights_cuda",0.00265205856259144,0.00302533120427097,1.1407482651193,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"13","GTX-680","bpnn_adjust_weights_cuda",0.00310081755233363,0.00353298434797192,1.13937188768589,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"35","GTX-680","bpnn_adjust_weights_cuda",0.00122133563399959,0.00140358549794095,1.14922176907631,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"33","GTX-680","bpnn_adjust_weights_cuda",0.00163763904973873,0.00186254772478694,1.13733714708628,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"47","GTX-680","bpnn_adjust_weights_cuda",0.00228289193284946,0.00259978809361922,1.13881347435234,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"4","GTX-680","bpnn_adjust_weights_cuda",0.00271700938310056,0.00307831239080785,1.1329781965254,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"22","GTX-680","bpnn_adjust_weights_cuda",0.00305434492156647,0.00348490312136729,1.14096580800704,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"29","GTX-680","bpnn_adjust_weights_cuda",0.00169451119634082,0.00193315580449838,1.14083389279038,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"14","GTX-680","bpnn_adjust_weights_cuda",0.0035690644125348,0.00406957060637609,1.14023456457762,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"17","GTX-680","bpnn_adjust_weights_cuda",0.00128964023180972,0.00149005237843308,1.1554015931576,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"27","GTX-680","bpnn_adjust_weights_cuda",0.00328968641691423,0.00374994009995213,1.13990807168472,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"31","GTX-680","bpnn_adjust_weights_cuda",0.00222656105036334,0.00253733408605911,1.13957534900966,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"18","GTX-680","bpnn_adjust_weights_cuda",0.00379129167806187,0.00431970061683211,1.13937438309689,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"49","GTX-680","bpnn_adjust_weights_cuda",0.00175939547976521,0.00200023796545707,1.1368893398112,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"50","GTX-680","bpnn_adjust_weights_cuda",0.00383229170758133,0.00436349751777788,1.13861309386905,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"5","GTX-680","bpnn_adjust_weights_cuda",0.00296299941040922,0.0033677402379814,1.13659834900753,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"21","GTX-680","bpnn_adjust_weights_cuda",0.00211059620660146,0.00240726073485943,1.14055958564223,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"2","GTX-680","bpnn_adjust_weights_cuda",0.000988577975363573,0.00114230330100507,1.15550146723121,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"8","GTX-680","bpnn_adjust_weights_cuda",0.00320391911345683,0.00364311244400032,1.13708003073449,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"10","GTX-680","bpnn_adjust_weights_cuda",0.00250396079901,0.00285293094237401,1.13936725507124,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"32","GTX-680","bpnn_adjust_weights_cuda",0.00194169257154521,0.00221825634880433,1.14243437983544,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"19","GTX-680","bpnn_adjust_weights_cuda",0.00314815614549637,0.00359307074124031,1.14132545375185,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"42","GTX-680","bpnn_adjust_weights_cuda",0.00324468971933555,0.00369713317777645,1.13944120935346,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"9","GTX-680","bpnn_adjust_weights_cuda",0.00343432283361754,0.00390880161068301,1.13815788440764,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
"53","GTX-680","bpnn_adjust_weights_cuda",0.00136091323735372,0.00155980130226165,1.14614308939684,"0.5",1.15550146723121,1.1329781965254,0.00415435072385871
