"","V1","V2"
"1","shared_memory_load_transactions_per_request","1.01394506143682"
"2","inst_issued1","0.989463873734712"
"3","inst_issued2","0.996586792652182"
"4","active_warps",NA
"5","multiprocessor_activity","0.989896281387259"
"6","shared_memory_efficiency","1.01763235782708"
"7","instructions_per_warp","1.03471081614978"
"8","shared_memory_store_transactions_per_request",NA
"9","device_memory_read_transactions","0.979130229062815"
"10","issued_load.store_instructions","0.987089155278445"
"11","max_clock_rate","0"
"12","duration","0"
"13","gpu_id","0"
"14","shared_memory_load_transactions_per_request","0"
