"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"861","GTX-680","Fan2",1.35231867775807,1.39011870362932,1.0279520104935,"0.5","5"
"576","GTX-680","Fan2",1.75115068029261,1.69090090151048,0.965594177896749,"0.5","5"
"799","GTX-680","Fan2",1.19367791187786,1.30267548672343,1.09131238314873,"0.5","5"
"826","GTX-680","Fan2",1.14864411018365,1.32500194875648,1.15353566610344,"0.5","5"
"395","GTX-680","Fan2",1.9706888196491,1.93683078776368,0.982819189134359,"0.5","5"
"945","GTX-680","Fan2",1.37646405321282,1.57193632396643,1.14201044356906,"0.5","5"
"198","GTX-680","Fan2",1.11911874762447,1.27463685357565,1.13896479375517,"0.5","5"
"933","GTX-680","Fan2",1.4377269085886,1.42405742204554,0.99049229275643,"0.5","5"
"334","GTX-680","Fan2",1.53748759310564,1.60579654816892,1.04442894717953,"0.5","5"
"317","GTX-680","Fan2",1.72230277369867,1.7321506026214,1.00571782678001,"0.5","5"
"600","GTX-680","Fan2",1.57624097911912,1.52436502258629,0.967088816227948,"0.5","5"
"807","GTX-680","Fan2",1.48082089267947,1.59577331585894,1.07762749954957,"0.5","5"
"616","GTX-680","Fan2",1.57388634765122,1.52486483164329,0.96885320462873,"0.5","5"
"560","GTX-680","Fan2",2.09825191175195,2.04790738586651,0.976006443457305,"0.5","5"
"822","GTX-680","Fan2",1.97264525060283,1.99853198416977,1.01312285296053,"0.5","5"
"372","GTX-680","Fan2",1.71534268054214,1.6986562579569,0.990272251268208,"0.5","5"
"297","GTX-680","Fan2",1.53599517884809,1.48789036960238,0.968681666512923,"0.5","5"
"213","GTX-680","Fan2",1.51120655438812,1.47942989199825,0.978972654467651,"0.5","5"
"489","GTX-680","Fan2",1.90466214908966,1.85454545297834,0.973687356502954,"0.5","5"
"578","GTX-680","Fan2",1.57972863632922,1.51103488083573,0.956515471129834,"0.5","5"
"814","GTX-680","Fan2",1.5075566314494,1.64090215703773,1.08845142053478,"0.5","5"
"308","GTX-680","Fan2",1.33886272574987,1.50118964562567,1.1212423923333,"0.5","5"
"747","GTX-680","Fan2",1.08400806329899,1.24146109987269,1.14525079831465,"0.5","5"
"608","GTX-680","Fan2",1.57346690622175,1.52486732911633,0.969113060520529,"0.5","5"
"294","GTX-680","Fan2",1.22820178821266,1.45433589945416,1.18411804429188,"0.5","5"
"250","GTX-680","Fan2",2.5175147177936,2.50510964790671,0.995072493598861,"0.5","5"
"355","GTX-680","Fan2",1.39344323540445,1.40439643896458,1.00786053086472,"0.5","5"
"950","GTX-680","Fan2",1.49530737555716,1.4565437225263,0.974076465036884,"0.5","5"
"114","GTX-680","Fan2",1.25239675704118,1.44897650491277,1.1569628368697,"0.5","5"
"929","GTX-680","Fan2",1.88695768078037,1.84402532799046,0.977247845446029,"0.5","5"
"676","GTX-680","Fan2",1.61959942603579,1.57943777942323,0.975202728546981,"0.5","5"
"159","GTX-680","Fan2",1.76680601265925,1.72140528801607,0.974303503430553,"0.5","5"
"500","GTX-680","Fan2",1.95755099172797,1.99282069638172,1.01801725973055,"0.5","5"
"300","GTX-680","Fan2",1.31447430358387,1.48259137301979,1.12789680937661,"0.5","5"
"731","GTX-680","Fan2",1.39424962855511,1.4193311517329,1.0179892629441,"0.5","5"
"658","GTX-680","Fan2",1.07820905740765,1.38195723380788,1.28171547466921,"0.5","5"
"771","GTX-680","Fan2",1.11173941303696,1.28310079176442,1.15413808012738,"0.5","5"
"464","GTX-680","Fan2",1.3926164495523,1.40903037923787,1.01178639652781,"0.5","5"
"247","GTX-680","Fan2",1.74592748259736,1.71939944537869,0.984805762276447,"0.5","5"
"689","GTX-680","Fan2",2.14630567652157,2.14481981458511,0.999307711873146,"0.5","5"
"978","GTX-680","Fan2",1.3980159621027,1.44405388066061,1.03293089621714,"0.5","5"
"603","GTX-680","Fan2",1.24689775476425,1.34218311760352,1.07641794403366,"0.5","5"
"848","GTX-680","Fan2",1.60698259080923,1.56045621974984,0.971047370814414,"0.5","5"
"642","GTX-680","Fan2",1.48573228274479,1.47056412549651,0.989790787058717,"0.5","5"
"15","GTX-680","Fan2",1.26573876861901,1.48093544265801,1.17001665697085,"0.5","5"
"987","GTX-680","Fan2",1.76998695102245,1.73236187400364,0.978742737624663,"0.5","5"
"421","GTX-680","Fan2",1.53739313333823,1.61211856661764,1.04860528622054,"0.5","5"
"729","GTX-680","Fan2",1.36558160020808,1.4046974130334,1.02864406844626,"0.5","5"
"569","GTX-680","Fan2",1.45433828294137,1.55145289268425,1.06677580510806,"0.5","5"
"931","GTX-680","Fan2",1.54306536578642,1.52242190199797,0.986621782689076,"0.5","5"
"396","GTX-680","Fan2",1.10920819374225,1.26432627591836,1.13984577742143,"0.5","5"
"436","GTX-680","Fan2",2.00782041966633,1.96808069806016,0.980207531900299,"0.5","5"
"589","GTX-680","Fan2",2.31135981604933,2.25596280453705,0.976032718433702,"0.5","5"
"700","GTX-680","Fan2",1.33072529054841,1.37693956796914,1.03472863839665,"0.5","5"
"555","GTX-680","Fan2",1.02667005635641,1.34478206806532,1.30984833904465,"0.5","5"
"17","GTX-680","Fan2",2.83176191434676,2.80334912350931,0.989966391350381,"0.5","5"
"239","GTX-680","Fan2",1.70130678937335,1.64007048466433,0.964006312623031,"0.5","5"
"331","GTX-680","Fan2",1.17807579778814,1.3022664206096,1.1054181938502,"0.5","5"
"158","GTX-680","Fan2",1.40638603495268,1.41056045796626,1.00296819145657,"0.5","5"
"176","GTX-680","Fan2",1.33539229758113,1.41936511161269,1.06288250590008,"0.5","5"
"93","GTX-680","Fan2",1.21251994496677,1.31865412123045,1.08753190139614,"0.5","5"
"431","GTX-680","Fan2",1.2199343801718,1.46448188255884,1.20045955451522,"0.5","5"
"709","GTX-680","Fan2",1.57954961503267,1.49926421688565,0.949171968146529,"0.5","5"
"783","GTX-680","Fan2",1.1824659115719,1.30094307806892,1.10019499533777,"0.5","5"
