"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"54","GTX-680","bpnn_adjust_weights_cuda",0.00396259661034699,1.45158298892426e-05,0.00366321160507213,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"36","GTX-680","bpnn_adjust_weights_cuda",0.00156404606553697,7.26814210358677e-06,0.00464701281102707,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"40","GTX-680","bpnn_adjust_weights_cuda",0.00365649377366002,1.3592355265552e-05,0.0037173194067678,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"30","GTX-680","bpnn_adjust_weights_cuda",0.0040125041573273,1.45668376448983e-05,0.00363036076069793,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"10","GTX-680","bpnn_adjust_weights_cuda",0.00250396079901,9.64941479665108e-06,0.00385366048880086,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"37","GTX-680","bpnn_adjust_weights_cuda",0.00333663682100785,1.2679952856856e-05,0.00380021966341123,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"18","GTX-680","bpnn_adjust_weights_cuda",0.00379129167806187,1.36827026421486e-05,0.00360898179407376,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"20","GTX-680","bpnn_adjust_weights_cuda",0.00188073052219483,7.83306708905733e-06,0.00416490666611614,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"38","GTX-680","bpnn_adjust_weights_cuda",0.00370052382475186,1.35239337091259e-05,0.00365459982142739,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"13","GTX-680","bpnn_adjust_weights_cuda",0.00310081755233363,1.17083567519894e-05,0.00377589347144202,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"28","GTX-680","bpnn_adjust_weights_cuda",0.00143137574319427,6.20658624099114e-06,0.00433609851955466,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"6","GTX-680","bpnn_adjust_weights_cuda",0.00348121996603211,1.29062094715916e-05,0.00370738120472809,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
"5","GTX-680","bpnn_adjust_weights_cuda",0.00296299941040922,1.11297045697068e-05,0.00375622908685281,"0.25",0.00609095747168297,0.00360898179407376,0.000548446678249181
