"","V1","V2"
"1","grid.y","0.97297782394306"
"2","global_load_transactions","1.01990752249996"
"3","shared_load_transactions","0.976201330084898"
"4","multiprocessor_activity",NA
"5","achieved_occupancy","0.993927433181029"
"6","device_memory_read_transactions","0.993941880534336"
"7","issued_control.flow_instructions","1.21092167026927"
"8","executed_control.flow_instructions",NA
"9","fp_instructions.single.","0.958976045247848"
"10","flop_efficiency.peak_single.","0.979349796570096"
"11","bus","0"
"12","duration","0"
"13","gpu_id","0"
"14","grid.y","0"
