"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures","NA","NA","NA"
"15","GTX-680","bpnn_layerforward_CUDA",0.00125526668188939,0.00213215905346997,1.69857057805495,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"9","GTX-680","bpnn_layerforward_CUDA",0.00108432997742118,0.00183765263752392,1.69473562088022,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"11","GTX-680","bpnn_layerforward_CUDA",0.00235414963255342,0.00397772304932902,1.6896644946968,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"51","GTX-680","bpnn_layerforward_CUDA",0.00181960517844559,0.00309541098861108,1.70114430607158,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"14","GTX-680","bpnn_layerforward_CUDA",0.00134066219496106,0.00227192061846184,1.69462570586458,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"40","GTX-680","bpnn_layerforward_CUDA",0.0022239102994686,0.003767079746768,1.69389914137641,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"36","GTX-680","bpnn_layerforward_CUDA",0.000692471748993936,0.00115806682887362,1.67236689519266,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"3","GTX-680","bpnn_layerforward_CUDA",0.00145744163062159,0.00247386374141928,1.69740159018526,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"55","GTX-680","bpnn_layerforward_CUDA",0.0016757741908854,0.00285501383889396,1.70369841857124,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"5","GTX-680","bpnn_layerforward_CUDA",0.00228485723526829,0.00387311921347657,1.69512525933454,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"31","GTX-680","bpnn_layerforward_CUDA",0.00244007373004935,0.00413209846980519,1.69343180860425,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"38","GTX-680","bpnn_layerforward_CUDA",0.00178431801655254,0.00303621225253551,1.70160936804402,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"13","GTX-680","bpnn_layerforward_CUDA",0.00212346821723211,0.00360514679521688,1.69776348238266,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"41","GTX-680","bpnn_layerforward_CUDA",0.00195889358950313,0.00332678605491259,1.69829850520692,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"21","GTX-680","bpnn_layerforward_CUDA",0.00209109500555165,0.00355035686545951,1.69784579659635,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"47","GTX-680","bpnn_layerforward_CUDA",0.000903423990536024,0.00151717624946271,1.67936236513105,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"50","GTX-680","bpnn_layerforward_CUDA",0.00199382525343702,0.00338336925861177,1.69692366609331,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"43","GTX-680","bpnn_layerforward_CUDA",0.00271214497332206,0.00457896127052378,1.68831729703412,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"34","GTX-680","bpnn_layerforward_CUDA",0.00256464542386989,0.0043335516782036,1.68972741333753,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"24","GTX-680","bpnn_layerforward_CUDA",0.00250458971985,0.00423342571633599,1.69026714546666,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"28","GTX-680","bpnn_layerforward_CUDA",0.00268415399445961,0.00453041532699174,1.68783733583953,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"10","GTX-680","bpnn_layerforward_CUDA",0.00247400590120516,0.0041829158686197,1.69074611607922,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"25","GTX-680","bpnn_layerforward_CUDA",0.00149401628591921,0.0025393493856224,1.69967985593948,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"12","GTX-680","bpnn_layerforward_CUDA",0.000750841771512454,0.00125258915908895,1.66824650227678,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"1","GTX-680","bpnn_layerforward_CUDA",0.00171502817108104,0.00291603829071141,1.70028594275121,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"32","GTX-680","bpnn_layerforward_CUDA",0.00104020075533781,0.00176032238625919,1.69229100942876,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"18","GTX-680","bpnn_layerforward_CUDA",0.00259103418469511,0.00438318152368969,1.69167259528282,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"46","GTX-680","bpnn_layerforward_CUDA",0.00253438352233734,0.00428363531744924,1.69020800510044,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"48","GTX-680","bpnn_layerforward_CUDA",0.00160601563208915,0.0027309527095938,1.70045213447973,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"17","GTX-680","bpnn_layerforward_CUDA",0.00164562394293908,0.00279332849827638,1.69742820664574,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"16","GTX-680","bpnn_layerforward_CUDA",0.00141643688806628,0.00240749744911124,1.69968564741205,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"19","GTX-680","bpnn_layerforward_CUDA",0.00240657149609877,0.00408096589867198,1.69575925971347,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
"54","GTX-680","bpnn_layerforward_CUDA",0.00117074044547063,0.00198764329876581,1.69776597917636,"0.5","10",1.7042181593178,1.66824650227678,0.00757574576709102
