"","V1","V2"
"1","input.size.1","1.01277957445486"
"2","registers.per.thread","0.971949430963281"
"3","active_cycles","1.01481494485987"
"4","multiprocessor_activity",NA
"5","issued_ipc","0.983012534279382"
"6","l1.shared_memory_utilization","0.947809968079934"
"7","global_load_transactions","1.18483773789316"
"8","l2_read_transactions",NA
"9","l2_write_transactions","0.995379587434803"
"10","eligible_warps_per_active_cycle","0.932086973930336"
"11","bus","0"
"12","duration","0"
"13","gpu_id","0"
"14","input.size.1","0"
