"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures","NA","NA","NA"
"888","GTX-680","lud_diagonal",0.000758329100460339,-1e-15,-1.31868867935169e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"250","GTX-680","lud_diagonal",0.000799463863351607,-1e-15,-1.25083827530075e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"140","GTX-680","lud_diagonal",0.000757261491178486,-1e-15,-1.32054780501746e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"554","GTX-680","lud_diagonal",0.000798420954193246,-1e-15,-1.25247213859816e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"266","GTX-680","lud_diagonal",0.000753519596452509,-1e-15,-1.32710549892517e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"994","GTX-680","lud_diagonal",0.00075619321515917,-1e-15,-1.32241334615719e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"924","GTX-680","lud_diagonal",0.000760462325877967,-1e-15,-1.31498953461696e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"559","GTX-680","lud_diagonal",0.000756727436621876,-1e-15,-1.32147977145394e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"991","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"450","GTX-680","lud_diagonal",0.000795811038090016,-1e-15,-1.25657970565481e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"146","GTX-680","lud_diagonal",0.000755107563053203,-1e-15,-1.32431463930331e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"385","GTX-680","lud_diagonal",0.000762592905462365,-1e-15,-1.31131563490444e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"906","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"224","GTX-680","lud_diagonal",0.000760462325877967,-1e-15,-1.31498953461696e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"629","GTX-680","lud_diagonal",0.000792674127657785,-1e-15,-1.2615524653931e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"561","GTX-680","lud_diagonal",0.000757795379050861,-1e-15,-1.31961744244535e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"984","GTX-680","lud_diagonal",0.000797377441618476,-1e-15,-1.25411122488022e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"702","GTX-680","lud_diagonal",0.000750841771512454,-1e-15,-1.33183852835685e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"349","GTX-680","lud_diagonal",0.000755642124229094,-1e-15,-1.32337778418613e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"956","GTX-680","lud_diagonal",0.000793197327263118,-1e-15,-1.26072033481308e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"748","GTX-680","lud_diagonal",0.00075619321515917,-1e-15,-1.32241334615719e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"143","GTX-680","lud_diagonal",0.000754589547108049,-1e-15,-1.32522376414102e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"872","GTX-680","lud_diagonal",0.000769482615014332,-1e-15,-1.29957451992775e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"57","GTX-680","lud_diagonal",0.000755124270625424,-1e-15,-1.32428533805669e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"189","GTX-680","lud_diagonal",0.000759929268117022,-1e-15,-1.3159119433284e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"52","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"515","GTX-680","lud_diagonal",0.00075619321515917,-1e-15,-1.32241334615719e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"729","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"695","GTX-680","lud_diagonal",0.000755124270625424,-1e-15,-1.32428533805669e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"852","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"493","GTX-680","lud_diagonal",0.000759396044773373,-1e-15,-1.3168359341382e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"322","GTX-680","lud_diagonal",0.00079215077512982,-1e-15,-1.26238593888407e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"642","GTX-680","lud_diagonal",0.00079215077512982,-1e-15,-1.26238593888407e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"251","GTX-680","lud_diagonal",0.000750841771512454,-1e-15,-1.33183852835685e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"719","GTX-680","lud_diagonal",0.000759929268117022,-1e-15,-1.3159119433284e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"593","GTX-680","lud_diagonal",0.000757795379050861,-1e-15,-1.31961744244535e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"546","GTX-680","lud_diagonal",0.000754054655791906,-1e-15,-1.32616381626847e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"967","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"147","GTX-680","lud_diagonal",0.000755124270625424,-1e-15,-1.32428533805669e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"737","GTX-680","lud_diagonal",0.000794766010442464,-1e-15,-1.25823196621516e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"608","GTX-680","lud_diagonal",0.000752432238959301,-1e-15,-1.32902333023783e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"464","GTX-680","lud_diagonal",0.000760462325877967,-1e-15,-1.31498953461696e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"174","GTX-680","lud_diagonal",0.000733585256436032,-1e-15,-1.36316807245866e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"270","GTX-680","lud_diagonal",0.000754589547108049,-1e-15,-1.32522376414102e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"934","GTX-680","lud_diagonal",0.000787958426738116,-1e-15,-1.26910248823617e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"649","GTX-680","lud_diagonal",0.000795288600254328,-1e-15,-1.25740517301544e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"612","GTX-680","lud_diagonal",0.000794766010442464,-1e-15,-1.25823196621516e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"683","GTX-680","lud_diagonal",0.00079424326846596,-1e-15,-1.25906008864444e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"602","GTX-680","lud_diagonal",0.000793180979588308,-1e-15,-1.26074631860063e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"722","GTX-680","lud_diagonal",0.000762060507849677,-1e-15,-1.31223175810766e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"880","GTX-680","lud_diagonal",0.000757261491178486,-1e-15,-1.32054780501746e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"47","GTX-680","lud_diagonal",0.00079215077512982,-1e-15,-1.26238593888407e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"513","GTX-680","lud_diagonal",0.000755658826567988,-1e-15,-1.32334853354622e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"348","GTX-680","lud_diagonal",0.000750841771512454,-1e-15,-1.33183852835685e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"484","GTX-680","lud_diagonal",0.000753519596452509,-1e-15,-1.32710549892517e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"95","GTX-680","lud_diagonal",0.000761527945526293,-1e-15,-1.31314944628709e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"716","GTX-680","lud_diagonal",0.000754589547108049,-1e-15,-1.32522376414102e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"708","GTX-680","lud_diagonal",0.000762592905462365,-1e-15,-1.31131563490444e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"696","GTX-680","lud_diagonal",0.000758329100460339,-1e-15,-1.31868867935169e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"1","GTX-680","lud_diagonal",0.000771618672229321,-1e-15,-1.29597693263546e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"202","GTX-680","lud_diagonal",0.00075619321515917,-1e-15,-1.32241334615719e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
"200","GTX-680","lud_diagonal",0.000788483009541985,-1e-15,-1.26825814621025e-12,"0.5","10",-1.25083827530075e-12,-1.36316807245866e-12,3.0130999981912e-14
