"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"400","GTX-680","Fan1",0.000184320011200265,-1e-15,-5.42534689254925e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"676","GTX-680","Fan1",0.000180308075339268,-1e-15,-5.54606330370061e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"449","GTX-680","Fan1",0.000363527605330805,-1e-15,-2.75082273075249e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"482","GTX-680","Fan1",0.000160674701911811,-1e-15,-6.22375512822714e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"399","GTX-680","Fan1",0.000197101989134424,-1e-15,-5.07351551545224e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"572","GTX-680","Fan1",0.000322581714371421,-1e-15,-3.0999897249247e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"577","GTX-680","Fan1",0.000173190089948185,-1e-15,-5.77400242877163e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"916","GTX-680","Fan1",0.000268293107485517,-1e-15,-3.72726682907417e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"819","GTX-680","Fan1",0.000170099735076428,-1e-15,-5.87890392392844e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"839","GTX-680","Fan1",0.00018131473611143,-1e-15,-5.51527151872219e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"659","GTX-680","Fan1",0.000153137859376147,-1e-15,-6.53006385275204e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"366","GTX-680","Fan1",0.000178287244605396,-1e-15,-5.60892621462238e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"417","GTX-680","Fan1",0.000171132595376932,-1e-15,-5.84342215927613e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"764","GTX-680","Fan1",0.000156406770228854,-1e-15,-6.39358512765659e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"327","GTX-680","Fan1",0.000239710160697701,-1e-15,-4.17170468322827e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"348","GTX-680","Fan1",0.000175236819897811,-1e-15,-5.70656327011155e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"173","GTX-680","Fan1",0.000284972236048613,-1e-15,-3.50911377847143e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"998","GTX-680","Fan1",0.000162789909831296,-1e-15,-6.14288687202009e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"783","GTX-680","Fan1",0.000175236819897811,-1e-15,-5.70656327011155e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"691","GTX-680","Fan1",0.000120104395470617,-1e-15,-8.32608994934448e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"371","GTX-680","Fan1",0.000177273021072737,-1e-15,-5.64101629198099e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"784","GTX-680","Fan1",0.00022163354549559,-1e-15,-4.51195236607311e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"202","GTX-680","Fan1",0.000157478541821716,-1e-15,-6.3500714981989e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"699","GTX-680","Fan1",0.000186311521864979,-1e-15,-5.36735457898684e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"288","GTX-680","Fan1",0.000149906125612439,-1e-15,-6.67084147438616e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"63","GTX-680","Fan1",0.000219790330807538,-1e-15,-4.54979068608647e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"976","GTX-680","Fan1",0.000179298920348686,-1e-15,-5.57727842451745e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"98","GTX-680","Fan1",0.000282498378495061,-1e-15,-3.53984332698562e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"501","GTX-680","Fan1",0.00018231892871036,-1e-15,-5.48489401003802e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"583","GTX-680","Fan1",0.000284972236048613,-1e-15,-3.50911377847143e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"253","GTX-680","Fan1",0.000349364735383625,-1e-15,-2.86233812036563e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"72","GTX-680","Fan1",0.000179298920348686,-1e-15,-5.57727842451745e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"853","GTX-680","Fan1",0.000379627704089134,-1e-15,-2.63415970233091e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"20","GTX-680","Fan1",0.000166984320981753,-1e-15,-5.98858619851663e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"299","GTX-680","Fan1",0.000269137821918928,-1e-15,-3.71556845065511e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"174","GTX-680","Fan1",0.000186311521864979,-1e-15,-5.36735457898684e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"849","GTX-680","Fan1",0.000217012595666968,-1e-15,-4.60802746000339e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"818","GTX-680","Fan1",0.000175236819897811,-1e-15,-5.70656327011155e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"345","GTX-680","Fan1",0.000155331737423664,-1e-15,-6.43783438327557e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"844","GTX-680","Fan1",0.000152086639858049,-1e-15,-6.57519951084039e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"349","GTX-680","Fan1",0.000177273021072737,-1e-15,-5.64101629198099e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"662","GTX-680","Fan1",0.000186311521864979,-1e-15,-5.36735457898684e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"88","GTX-680","Fan1",0.000148810593045722,-1e-15,-6.71995171535099e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"123","GTX-680","Fan1",0.000229845821787703,-1e-15,-4.35074256395945e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"441","GTX-680","Fan1",0.000254612357125821,-1e-15,-3.92753914730789e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"654","GTX-680","Fan1",0.000245894694054471,-1e-15,-4.06678152957004e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"266","GTX-680","Fan1",0.000243252709310543,-1e-15,-4.11095112911311e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"304","GTX-680","Fan1",0.0001115211103874,-1e-15,-8.96691215256215e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"877","GTX-680","Fan1",0.000193209143638713,-1e-15,-5.17573848300847e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"235","GTX-680","Fan1",0.000361307785128632,-1e-15,-2.76772336816374e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"308","GTX-680","Fan1",0.000153171716435582,-1e-15,-6.52862044815277e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"149","GTX-680","Fan1",0.000180308075339268,-1e-15,-5.54606330370061e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"928","GTX-680","Fan1",0.000160674701911811,-1e-15,-6.22375512822714e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"937","GTX-680","Fan1",0.000362025260529454,-1e-15,-2.76223818895268e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"544","GTX-680","Fan1",0.000199035679744159,-1e-15,-5.02422480876494e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"946","GTX-680","Fan1",0.000149906125612439,-1e-15,-6.67084147438616e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"492","GTX-680","Fan1",0.000386846404548627,-1e-15,-2.58500528437585e-12,"0.25",-2.58500528437585e-12,-8.96691215256215e-12,1.39096485055765e-12
"683","Tesla-K40","Fan1",0.00020573934822397,0.000189499023050374,0.921063591802981,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"76","Tesla-K40","Fan1",0.000166984320981753,0.000551042618869822,3.29996622215828,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"3481","Tesla-K40","Fan1",0.000225299795189622,0.000194111619943712,0.861570334674916,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"512","Tesla-K40","Fan1",0.00016489301974964,0.000144239784800081,0.874747669847292,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"39","Tesla-K40","Fan1",0.000224385722717342,0.000194043335538452,0.864775767319597,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"213","Tesla-K40","Fan1",0.000232554402427918,0.000205664660149623,0.884372250116271,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"119","Tesla-K40","Fan1",0.000216083185086144,0.000179048278755403,0.828608106105174,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"60","Tesla-K40","Fan1",0.00022163354549559,0.000184968273272989,0.834568038242522,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"758","Tesla-K40","Fan1",0.000223469998828136,0.000194722918277846,0.871360447930202,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"436","Tesla-K40","Fan1",0.000235249088429965,0.000213124691535765,0.905953315093136,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"3271","Tesla-K40","Fan1",0.000207636916227317,0.000182410882217261,0.878508916100263,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"773","Tesla-K40","Fan1",0.00021886615453862,0.000193496747748608,0.884087117793555,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"710","Tesla-K40","Fan1",0.000225299795189622,0.000197465301080782,0.876455750501622,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"624","Tesla-K40","Fan1",0.000219790330807538,0.000182062655936859,0.828346976265689,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"440","Tesla-K40","Fan1",0.000208582824676305,0.000174673577987007,0.837430302605591,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"258","Tesla-K40","Fan1",0.000241484310833424,0.00021386951674359,0.885645597452984,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"267","Tesla-K40","Fan1",0.000222552610740084,0.000186139878015822,0.836385955648089,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"914","Tesla-K40","Fan1",0.000223469998828136,0.000191849298344485,0.858501361930155,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"93","Tesla-K40","Fan1",0.000165940128846285,0.00014915801781316,0.898866469793632,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"463","Tesla-K40","Fan1",0.000228032229359665,0.00020224902126139,0.886931736927378,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"425","Tesla-K40","Fan1",0.000217012595666968,0.000172106239234165,0.793070276428944,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"684","Tesla-K40","Fan1",0.00021886615453862,0.000187073993432902,0.854741537481032,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"179","Tesla-K40","Fan1",0.000217012595666968,0.00018137770000065,0.835793422235254,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"829","Tesla-K40","Fan1",0.00022163354549559,0.000192153611124178,0.866987940361225,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"281","Tesla-K40","Fan1",0.000201920735056612,0.000171244891983313,0.848079777122945,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"75","Tesla-K40","Fan1",0.000169064090848501,0.000148869471670202,0.880550511483865,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"588","Tesla-K40","Fan1",0.000217012595666968,0.000193037829533171,0.889523619308303,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
"690","Tesla-K40","Fan1",0.00016489301974964,0.000142940224627355,0.866866437672035,"0.25",3.29996622215828,0.788670733298499,0.326343042079886
