"","","meanAcc"
"1","sm_cta_launched","0.954385081825658"
"2","inst_issued2","1.0044646856374"
"3","multiprocessor_activity","0.989824709136792"
"4","achieved_occupancy",NA
"5","global_load_transactions_per_request","1.00512465752381"
"6","theoretical_flops","1.02630739829767"
"7","duration","1.12181221958945"
"8","gpu_id",NA
"9","0","0.954342691269359"
"10","sm_cta_launched","1.04370723074836"
