"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","NA","NA","NA"
"471","Tesla-K40","bpnn_adjust_weights_cuda",0.00105821198349666,0.000892693127928972,0.843586296366858,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"161","Tesla-K40","bpnn_adjust_weights_cuda",0.0035956162649892,0.00302523794391726,0.841368411132812,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"310","Tesla-K40","bpnn_adjust_weights_cuda",0.00193127558254205,0.001633041460561,0.84557661025854,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"71","Tesla-K40","bpnn_adjust_weights_cuda",0.00309021564851095,0.00259627378066433,0.840159417973101,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"351","Tesla-K40","bpnn_adjust_weights_cuda",0.00390697131598343,0.00327938290128292,0.839367027822025,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"371","Tesla-K40","bpnn_adjust_weights_cuda",0.00395359336094953,0.00331759321641361,0.839133647173272,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"511","Tesla-K40","bpnn_adjust_weights_cuda",0.00279295771984257,0.00235267296197061,0.842358960630176,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"191","Tesla-K40","bpnn_adjust_weights_cuda",0.00149322568885982,0.00125507683221895,0.840513822915336,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"131","Tesla-K40","bpnn_adjust_weights_cuda",0.00259009516511004,0.00217671220364322,0.84039854325227,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"411","Tesla-K40","bpnn_adjust_weights_cuda",0.00294017434585225,0.00247284571419196,0.841054108808355,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"571","Tesla-K40","bpnn_adjust_weights_cuda",0.00350292501551562,0.00297226180348313,0.84850854366508,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"201","Tesla-K40","bpnn_adjust_weights_cuda",0.00175055044123427,0.00147159832979673,0.84064891541151,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"58","Tesla-K40","bpnn_adjust_weights_cuda",0.00127906159594846,0.00108345152009861,0.847067509125862,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"381","Tesla-K40","bpnn_adjust_weights_cuda",0.00313647794570393,0.00263427551635684,0.839883321980642,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"251","Tesla-K40","bpnn_adjust_weights_cuda",0.00368223392282943,0.00309606034106028,0.84081033577608,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"111","Tesla-K40","bpnn_adjust_weights_cuda",0.00284430513114236,0.00238906023307151,0.839945126461165,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"91","Tesla-K40","bpnn_adjust_weights_cuda",0.00221859422800839,0.00186273244476638,0.83960032945661,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"361","Tesla-K40","bpnn_adjust_weights_cuda",0.00210617403465434,0.00176950501886954,0.840151378639489,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"311","Tesla-K40","bpnn_adjust_weights_cuda",0.00336813425315698,0.00283187367499905,0.840784084644106,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"231","Tesla-K40","bpnn_adjust_weights_cuda",0.00204500657529441,0.00172413283846039,0.843094031720743,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"441","Tesla-K40","bpnn_adjust_weights_cuda",0.00269817506051468,0.00226581733310373,0.839759201047363,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"531","Tesla-K40","bpnn_adjust_weights_cuda",0.00253687561384597,0.00213340598349025,0.840958055588681,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"141","Tesla-K40","bpnn_adjust_weights_cuda",0.00373246411376887,0.00313475687191859,0.839862561666604,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"301","Tesla-K40","bpnn_adjust_weights_cuda",0.00243005451053481,0.00204825418341547,0.842884048294327,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"451","Tesla-K40","bpnn_adjust_weights_cuda",0.00399051972278385,0.00334956794541202,0.839381378392312,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"81","Tesla-K40","bpnn_adjust_weights_cuda",0.00142652569564724,0.00119831869156866,0.840026012307452,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"431","Tesla-K40","bpnn_adjust_weights_cuda",0.00186963916411688,0.00157590485614782,0.842892514445265,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"110","Tesla-K40","bpnn_adjust_weights_cuda",0.00332499611550962,0.00279535168845859,0.840708256896759,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
"401","Tesla-K40","bpnn_adjust_weights_cuda",0.00363943894229309,0.00306717760954685,0.842761111858171,"0.25",0.849582147794878,0.838783246990304,0.0024635406320517
