"","V1","V2"
"1","shared_memory_load_transactions_per_request","1.00533839587691"
"2","inst_issued1","0.983942726708332"
"3","inst_issued2","0.972091463595202"
"4","active_cycles",NA
"5","active_warps","1.00217698300284"
"6","multiprocessor_activity","1.01995914204489"
"7","shared_memory_efficiency","1.06037559535535"
"8","instructions_per_warp",NA
"9","shared_memory_store_transactions_per_request","0.940025586119865"
"10","device_memory_read_transactions","1.00508022679545"
"11","memory_clock","0"
"12","duration","0"
"13","gpu_id","0"
"14","shared_memory_load_transactions_per_request","0"
