"","V1","V2"
"1","device_memory_read_transactions","1.001659125735"
"2","gld_request","1.00454259439702"
"3","inst_issued1","0.988240910881338"
"4","achieved_occupancy",NA
"5","device_memory_read_throughput","0.995119019925427"
"6","global_load_transactions_per_request","1.00156497005316"
"7","instructions_per_warp","1.08670829293766"
"8","l2_read_transactions",NA
"9","flop_efficiency.peak_single.","0.98889384674076"
"10","flop_efficiency.peak_double.","0.992297403166277"
"11","bus","0"
"12","duration","0"
"13","gpu_id","0"
"14","device_memory_read_transactions","0"
