"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","numberFeatures"
"68","GTX-680","needle_cuda_shared_1",1.13620644289586,1.13945629634241,1.00286026669438,"0.5","5"
"882","GTX-680","needle_cuda_shared_1",1.12478182024161,1.13989430577447,1.01343592620443,"0.5","5"
"497","GTX-680","needle_cuda_shared_1",1.1308902280393,1.14865123955928,1.01570533645053,"0.5","5"
"985","GTX-680","needle_cuda_shared_1",1.03672784545361,1.12441875899356,1.08458431393012,"0.5","5"
"436","GTX-680","needle_cuda_shared_1",1.05100068184573,1.12886201756492,1.07408304967267,"0.5","5"
"823","GTX-680","needle_cuda_shared_1",1.04838360196232,1.12074206358989,1.06901907039764,"0.5","5"
"798","GTX-680","needle_cuda_shared_1",1.13897063375434,1.15494585573573,1.01402601744765,"0.5","5"
"635","GTX-680","needle_cuda_shared_1",1.05211818027642,1.127117732004,1.07128434156311,"0.5","5"
"633","GTX-680","needle_cuda_shared_1",1.1393716170483,1.16723113363848,1.02445165051799,"0.5","5"
"66","GTX-680","needle_cuda_shared_1",1.13562360439467,1.15019524311844,1.01283139824444,"0.5","5"
"111","GTX-680","needle_cuda_shared_1",1.13757930649706,1.14133465674067,1.00330117664954,"0.5","5"
"972","GTX-680","needle_cuda_shared_1",1.06567352052624,1.12897700932261,1.05940232874052,"0.5","5"
"911","GTX-680","needle_cuda_shared_1",1.12707500242594,1.13367760642147,1.00585817623612,"0.5","5"
"243","GTX-680","needle_cuda_shared_1",1.14139378159484,1.16056284323028,1.01679443321362,"0.5","5"
"241","GTX-680","needle_cuda_shared_1",1.12101322751819,1.1324076716483,1.01016441541492,"0.5","5"
"396","GTX-680","needle_cuda_shared_1",1.05368568845123,1.12826455366709,1.07077904353573,"0.5","5"
"388","GTX-680","needle_cuda_shared_1",1.04964166643621,1.12614488534453,1.07288508198046,"0.5","5"
"477","GTX-680","needle_cuda_shared_1",1.04947303793868,1.12636618252963,1.07326833735717,"0.5","5"
"229","GTX-680","needle_cuda_shared_1",1.13351419088228,1.13710317272425,1.00316624341437,"0.5","5"
"371","GTX-680","needle_cuda_shared_1",1.14346932340571,1.17790186762668,1.03011234627478,"0.5","5"
"720","GTX-680","needle_cuda_shared_1",1.14242958037918,1.16836249983256,1.02269979690544,"0.5","5"
"658","GTX-680","needle_cuda_shared_1",1.13543005230767,1.1501179768261,1.01293600119935,"0.5","5"
"159","GTX-680","needle_cuda_shared_1",1.11168967590336,1.13696522173861,1.02273615234819,"0.5","5"
"287","GTX-680","needle_cuda_shared_1",1.13581751927868,1.1474215693702,1.01021647394459,"0.5","5"
"469","GTX-680","needle_cuda_shared_1",1.11512802609859,1.13067482595275,1.01394171744437,"0.5","5"
"932","GTX-680","needle_cuda_shared_1",1.04067519525749,1.1278409246063,1.08375882287388,"0.5","5"
"230","GTX-680","needle_cuda_shared_1",1.13956640348686,1.16057085164245,1.01843196508016,"0.5","5"
