"","V1","V2"
"1","static.smem","1.0034003873104"
"2","flop_efficiency.peak_single.","0.992917069557"
"3","global_load_transactions_per_request","1.01401657710896"
"4","issue_slot_utilization",NA
"5","shared_memory_store_throughput","1.01110714763203"
"6","device_memory_read_throughput","1.00261477819026"
"7","device_memory_write_throughput","0.994213516098183"
"8","l2_throughput_.reads.",NA
"9","executed_load.store_instructions","1.01005249983012"
"10","ecc_throughput","0.98923930336841"
"11","max_clock_rate","0"
"12","duration","0"
"13","gpu_id","0"
"14","static.smem","0"
