"","Gpus","Kernels","Measured","Predicted","Accuracy","threshCorr","maxAccuracy","minAccuracy","sdAccuracy"
"518","GTX-680","Fan1",0.000275853913722552,0.000252560381398924,0.915558449001903,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"45","GTX-680","Fan1",0.0001922305098298,0.000203660191899711,1.05945821024993,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"80","GTX-680","Fan1",0.000238820903671153,0.000228365806549387,0.956222018420288,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"443","GTX-680","Fan1",0.000173190089948185,0.000205099536564688,1.18424522226445,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"551","GTX-680","Fan1",0.000394718735240474,0.00032235194628639,0.816662391487459,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"407","GTX-680","Fan1",0.000307624290659545,0.000248580033269976,0.808063734944408,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"18","GTX-680","Fan1",0.000150998125210066,0.000149702619554317,0.991420385823023,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"237","GTX-680","Fan1",0.000428295949602051,0.000338073970238598,0.789346643489664,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"533","GTX-680","Fan1",0.000176256222197925,0.000209749634566621,1.19002683678926,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"687","GTX-680","Fan1",0.000149906125612439,0.000155655749061876,1.03835482656861,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"805","GTX-680","Fan1",0.000203834000395952,0.000207836301638806,1.01963510128379,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"922","GTX-680","Fan1",0.00018231892871036,0.000204663157684284,1.122555727658,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"266","GTX-680","Fan1",0.000243252709310543,0.000280435106547876,1.15285501790594,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"275","GTX-680","Fan1",0.000177273021072737,0.000204011088060758,1.1508298714955,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"876","GTX-680","Fan1",0.000228032229359665,0.000233668098567995,1.02471523093098,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"883","GTX-680","Fan1",0.00021512287320528,0.000210901267048632,0.980375837800292,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"264","GTX-680","Fan1",0.000262346694270841,0.000243224942460967,0.927112663405116,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"663","GTX-680","Fan1",0.000149906125612439,0.000154227839453127,1.02882946792889,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"801","GTX-680","Fan1",0.000441944322309521,0.000337042820007527,0.762636384253569,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"297","GTX-680","Fan1",0.00022163354549559,0.000218415500368458,0.985480333674506,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"228","GTX-680","Fan1",0.00018131473611143,0.000211457443051939,1.16624521308618,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"12","GTX-680","Fan1",0.000223469998828136,0.000211491589621454,0.946398132771754,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"367","GTX-680","Fan1",0.000153171716435582,0.000161157057458816,1.05213326068976,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"736","GTX-680","Fan1",0.000202878366188651,0.000205017200663332,1.01054244725479,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"836","GTX-680","Fan1",0.000152086639858049,0.000151108611521602,0.99356926856061,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"931","GTX-680","Fan1",0.000147711478310036,0.000151032073862486,1.02248028108878,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"56","GTX-680","Fan1",0.000147711478310036,0.000157749437325395,1.0679565266708,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"575","GTX-680","Fan1",0.000160674701911811,0.000159464341824642,0.992467015200483,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"410","GTX-680","Fan1",0.000362788333622673,0.00028229708965906,0.778131663827618,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"507","GTX-680","Fan1",0.000187303748030724,0.000211558976312976,1.12949675880631,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"767","GTX-680","Fan1",0.000219790330807538,0.000221924496401817,1.00971000674342,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"212","GTX-680","Fan1",0.00018231892871036,0.000210542488693188,1.15480323509176,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"149","GTX-680","Fan1",0.000180308075339268,0.000205115853552129,1.13758550839269,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"744","GTX-680","Fan1",0.000323360380765379,0.00027877410502714,0.862115836106127,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"432","GTX-680","Fan1",0.000198069879093942,0.000205857352202781,1.03931679639763,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"742","GTX-680","Fan1",0.000180308075339268,0.000212945529313456,1.18100938581246,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"382","GTX-680","Fan1",0.000173190089948185,0.000193950894708412,1.1198729371088,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"385","GTX-680","Fan1",0.000170099735076428,0.00019826143215115,1.16555991143707,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
"765","GTX-680","Fan1",0.000325691419714543,0.000231504911288174,0.710810593325054,"0.5",1.23793160072754,0.710810593325054,0.12823223701173
