20,0:02.61, 0.43,0.60
21,0:02.71, 0.42,0.64
22,0:02.71, 0.48,0.60
23,0:02.71, 0.48,0.62
24,0:02.71, 0.55,0.59
25,0:02.81, 0.54,0.61
26,0:02.81, 0.56,0.60
27,0:02.81, 0.62,0.57
28,0:02.81, 0.60,0.64
29,0:02.93, 0.62,0.62
30,0:02.91, 0.61,0.68
31,0:02.91, 0.66,0.66
32,0:02.91, 0.71,0.62
33,0:03.01, 0.70,0.66
34,0:03.01, 0.68,0.70
35,0:03.02, 0.77,0.65
36,0:03.01, 0.80,0.65
37,0:03.11, 0.80,0.66
38,0:03.11, 0.81,0.68
39,0:03.11, 0.78,0.74
40,0:03.11, 0.87,0.65
41,0:03.21, 0.88,0.68
42,0:03.21, 0.92,0.69
43,0:03.21, 0.91,0.69
44,0:03.21, 0.96,0.69
45,0:03.31, 0.98,0.68
46,0:03.31, 0.92,0.76
47,0:03.31, 0.97,0.73
48,0:03.31, 1.05,0.69
49,0:03.41, 1.03,0.72
50,0:03.41, 1.07,0.72
51,0:03.41, 1.09,0.74
52,0:03.41, 1.12,0.73
53,0:03.51, 1.15,0.73
54,0:03.51, 1.18,0.74
55,0:03.61, 1.24,0.70
56,0:03.61, 1.20,0.75
57,0:03.61, 1.19,0.77
58,0:03.61, 1.27,0.75
59,0:03.61, 1.22,0.80
60,0:03.71, 1.24,0.82
61,0:03.71, 1.26,0.82
62,0:03.71, 1.38,0.74
63,0:03.71, 1.37,0.75
64,0:03.81, 1.37,0.78
65,0:03.81, 1.41,0.75
66,0:03.81, 1.35,0.86
67,0:03.81, 1.44,0.78
68,0:03.81, 1.43,0.82
69,0:03.91, 1.51,0.76
70,0:03.91, 1.46,0.87
71,0:03.91, 1.53,0.78
72,0:03.91, 1.50,0.85
73,0:04.01, 1.54,0.84
74,0:04.01, 1.56,0.84
75,0:04.01, 1.59,0.84
76,0:04.01, 1.62,0.84
77,0:04.11, 1.61,0.84
78,0:04.22, 1.71,0.81
79,0:04.11, 1.62,0.96
80,0:04.11, 1.71,0.84
81,0:04.21, 1.72,0.86
82,0:04.21, 1.84,0.78
83,0:04.21, 1.74,0.90
84,0:04.32, 1.86,0.80
85,0:04.31, 1.83,0.87
86,0:04.31, 1.82,0.88
87,0:04.31, 1.86,0.86
88,0:04.31, 1.85,0.88
89,0:04.41, 1.84,0.95
90,0:04.41, 1.86,0.93
91,0:04.41, 1.88,0.94
92,0:04.41, 1.92,0.92
93,0:04.51, 1.96,0.91
94,0:04.51, 2.00,0.91
95,0:04.51, 1.99,0.92
96,0:04.51, 1.99,0.94
97,0:04.61, 2.06,0.92
98,0:04.61, 1.98,0.98
99,0:04.61, 2.12,0.88
100,0:04.61, 2.11,0.92
101,0:04.61, 2.13,0.92
102,0:04.71, 2.10,1.00
103,0:04.71, 2.18,0.92
104,0:04.71, 2.20,0.95
