2,100,0:04.21, 1.15,0.52
2,110,0:03.31, 1.22,0.50
2,120,0:03.41, 1.28,0.52
2,130,0:03.41, 1.34,0.52
2,140,0:03.51, 1.45,0.50
2,150,0:03.61, 1.48,0.51
2,160,0:03.61, 1.51,0.52
2,170,0:03.71, 1.58,0.52
2,180,0:03.71, 1.66,0.52
2,190,0:03.81, 1.76,0.52
2,200,0:03.91, 1.78,0.57
2,210,0:04.01, 1.92,0.52
2,220,0:04.01, 1.90,0.50
2,230,0:04.01, 1.92,0.53
2,240,0:04.21, 2.10,0.53
2,250,0:04.21, 2.13,0.53
2,260,0:04.21, 2.14,0.53
2,270,0:04.22, 2.17,0.52
2,280,0:04.31, 2.23,0.52
2,290,0:04.41, 2.32,0.51
2,300,0:04.41, 2.37,0.51
2,310,0:04.51, 2.44,0.51
2,320,0:04.61, 2.47,0.54
2,330,0:04.61, 2.59,0.50
2,340,0:04.81, 2.67,0.55
2,350,0:04.81, 2.74,0.52
2,360,0:04.91, 2.82,0.52
2,370,0:05.01, 2.88,0.50
2,380,0:05.01, 2.98,0.52
2,390,0:05.21, 3.08,0.53
2,400,0:05.11, 3.04,0.51
2,410,0:05.21, 3.18,0.52
2,420,0:05.21, 3.12,0.51
2,430,0:05.31, 3.29,0.54
2,440,0:05.41, 3.36,0.52
2,450,0:05.41, 3.28,0.54
2,460,0:05.41, 3.36,0.52
2,470,0:05.51, 3.50,0.50
2,480,0:05.71, 3.66,0.52
2,490,0:05.61, 3.58,0.53
2,500,0:05.61, 3.58,0.51
2,510,0:05.71, 3.66,0.54
2,520,0:05.71, 3.69,0.53
2,530,0:05.91, 3.80,0.54
2,540,0:05.91, 3.83,0.53
2,550,0:05.92, 3.89,0.54
2,560,0:06.01, 4.00,0.52
2,570,0:06.11, 4.08,0.52
2,580,0:06.12, 4.10,0.54
2,590,0:06.31, 4.30,0.53
2,600,0:06.31, 4.23,0.53
2,610,0:06.31, 4.28,0.55
2,620,0:06.41, 4.33,0.54
2,630,0:06.41, 4.41,0.54
2,640,0:06.51, 4.47,0.52
2,650,0:06.63, 4.58,0.55
2,660,0:06.61, 4.58,0.54
2,670,0:06.71, 4.65,0.52
2,680,0:06.71, 4.70,0.54
2,690,0:06.91, 4.83,0.59
2,700,0:06.91, 4.83,0.53
2,710,0:07.01, 4.91,0.55
2,720,0:07.11, 5.05,0.54
2,730,0:07.11, 5.05,0.52
2,740,0:07.13, 5.12,0.54
2,750,0:07.23, 5.19,0.56
2,760,0:07.23, 5.24,0.52
