"","","meanAcc"
"1","gst_request",NA
"2","warps_launched",NA
"3","executed_ipc",NA
"4","requested_global_load_throughput",NA
"5","flop_efficiency.peak_single.",NA
"6","theoretical_flops",NA
"7","memory_clock",NA
"8","duration",NA
"9","kernel",NA
"10","0","0.985729862182962"
